iter,point value,point opt_lb,point uni_opt_lb,agg value,agg opt_lb,agg uni_opt_lb,true value,true opt_lb,true uni_opt_lb
1,3.918784e+01,-8.364477e+01,-2.564323e+02,3.918784e+01,-8.364477e+01,-2.564323e+02,0.000000e+00,0.000000e+00,0.000000e+00
2,2.581597e+01,-7.220311e+01,-3.187968e+02,3.250190e+01,-5.393365e+01,-1.631119e+02,0.000000e+00,0.000000e+00,0.000000e+00
3,1.598268e+01,-4.260052e+01,-2.376250e+02,2.699550e+01,-3.752663e+01,-9.704337e+01,0.000000e+00,0.000000e+00,0.000000e+00
4,1.168781e+01,-2.146916e+01,-2.374561e+02,2.316857e+01,-2.805301e+01,-8.845911e+01,0.000000e+00,0.000000e+00,0.000000e+00
5,9.666323e+00,-1.204957e+01,-1.689856e+02,2.046812e+01,-2.141119e+01,-6.849244e+01,0.000000e+00,0.000000e+00,0.000000e+00
6,8.309497e+00,-7.605194e+00,-2.133169e+02,1.844169e+01,-1.708824e+01,-5.524727e+01,0.000000e+00,0.000000e+00,0.000000e+00
7,7.532434e+00,-7.092453e+00,-1.186254e+02,1.688322e+01,-1.396352e+01,-4.348081e+01,0.000000e+00,0.000000e+00,0.000000e+00
8,6.685241e+00,-6.350227e+00,-1.093031e+02,1.560847e+01,-1.161496e+01,-3.955939e+01,0.000000e+00,0.000000e+00,0.000000e+00
9,6.263553e+00,-7.621578e+00,-1.301879e+02,1.457015e+01,-9.885187e+00,-3.174200e+01,0.000000e+00,0.000000e+00,0.000000e+00
10,5.741818e+00,-7.750242e+00,-1.215806e+02,1.368732e+01,-8.488565e+00,-2.838897e+01,0.000000e+00,0.000000e+00,0.000000e+00
11,5.258630e+00,-6.273924e+00,-9.278501e+01,1.292107e+01,-7.439729e+00,-2.703454e+01,0.000000e+00,0.000000e+00,0.000000e+00
12,4.949165e+00,-6.726607e+00,-1.060727e+02,1.225675e+01,-6.558266e+00,-2.608942e+01,0.000000e+00,0.000000e+00,0.000000e+00
13,4.453710e+00,-7.256572e+00,-1.175998e+02,1.165651e+01,-5.851466e+00,-2.321836e+01,0.000000e+00,0.000000e+00,0.000000e+00
14,4.140537e+00,-8.409371e+00,-5.992919e+01,1.111966e+01,-5.269075e+00,-2.173460e+01,0.000000e+00,0.000000e+00,0.000000e+00
15,3.866144e+00,-8.820475e+00,-9.454332e+01,1.063609e+01,-4.777764e+00,-1.990678e+01,0.000000e+00,0.000000e+00,0.000000e+00
16,3.403255e+00,-9.801234e+00,-9.268635e+01,1.018404e+01,-4.422112e+00,-1.823570e+01,0.000000e+00,0.000000e+00,0.000000e+00
17,2.998647e+00,-1.149539e+01,-9.791525e+01,9.761368e+00,-4.117257e+00,-1.722954e+01,0.000000e+00,0.000000e+00,0.000000e+00
18,2.637397e+00,-1.266379e+01,-7.065147e+01,9.365591e+00,-3.871108e+00,-1.574888e+01,0.000000e+00,0.000000e+00,0.000000e+00
19,2.107934e+00,-1.350536e+01,-9.422110e+01,8.983609e+00,-3.712182e+00,-1.476365e+01,0.000000e+00,0.000000e+00,0.000000e+00
20,1.457112e+00,-1.405936e+01,-8.959944e+01,8.607285e+00,-3.618433e+00,-1.354277e+01,0.000000e+00,0.000000e+00,0.000000e+00
21,1.201534e+00,-1.579809e+01,-1.046792e+02,8.254630e+00,-3.522220e+00,-1.345529e+01,0.000000e+00,0.000000e+00,0.000000e+00
22,6.878703e-01,-1.508778e+01,-8.020788e+01,7.910686e+00,-3.431627e+00,-1.296162e+01,0.000000e+00,0.000000e+00,0.000000e+00
23,3.777796e-01,-1.578298e+01,-8.349436e+01,7.583168e+00,-3.383133e+00,-1.302691e+01,0.000000e+00,0.000000e+00,0.000000e+00
24,-1.343813e-01,-1.411913e+01,-7.975103e+01,7.261604e+00,-3.336628e+00,-1.298900e+01,0.000000e+00,0.000000e+00,0.000000e+00
25,-4.686805e-01,-1.534965e+01,-8.064300e+01,6.952393e+00,-3.290784e+00,-1.283334e+01,0.000000e+00,0.000000e+00,0.000000e+00
26,-8.815920e-01,-1.432991e+01,-1.031983e+02,6.651085e+00,-3.268992e+00,-1.301844e+01,0.000000e+00,0.000000e+00,0.000000e+00
27,-1.101555e+00,-1.420128e+01,-8.174541e+01,6.363951e+00,-3.245482e+00,-1.262029e+01,0.000000e+00,0.000000e+00,0.000000e+00
28,-1.460170e+00,-1.391900e+01,-8.409025e+01,6.084518e+00,-3.236838e+00,-1.201059e+01,0.000000e+00,0.000000e+00,0.000000e+00
29,-1.752875e+00,-1.236204e+01,-6.990039e+01,5.814263e+00,-3.244256e+00,-1.138764e+01,0.000000e+00,0.000000e+00,0.000000e+00
30,-1.913539e+00,-1.180385e+01,-7.150245e+01,5.556669e+00,-3.247688e+00,-1.126156e+01,0.000000e+00,0.000000e+00,0.000000e+00
31,-2.130352e+00,-1.165171e+01,-8.528743e+01,5.308701e+00,-3.258432e+00,-1.060399e+01,0.000000e+00,0.000000e+00,0.000000e+00
32,-2.206769e+00,-1.097564e+01,-8.437947e+01,5.073843e+00,-3.267788e+00,-1.010116e+01,0.000000e+00,0.000000e+00,0.000000e+00
33,-2.433344e+00,-1.063317e+01,-8.140272e+01,4.846352e+00,-3.281442e+00,-9.881988e+00,0.000000e+00,0.000000e+00,0.000000e+00
34,-2.421031e+00,-9.616088e+00,-8.599250e+01,4.632605e+00,-3.287659e+00,-9.909293e+00,0.000000e+00,0.000000e+00,0.000000e+00
35,-2.535104e+00,-9.597819e+00,-5.408162e+01,4.427814e+00,-3.292266e+00,-9.883717e+00,0.000000e+00,0.000000e+00,0.000000e+00
