iter,average value,advantage gap,greedy advantage gap
1,1.714063e+01,4.123023e+00,1.296511e+00
2,-9.912278e+02,2.453148e+00,7.774690e-01
3,-1.825636e+03,1.077232e+00,1.373675e-01
4,-2.238457e+03,7.106106e-01,1.373675e-01
5,-2.402911e+03,4.267080e-01,1.373675e-01
6,-2.473825e+03,2.565486e-01,1.373675e-01
7,-2.509067e+03,1.786571e-01,1.725517e-03
8,-2.528871e+03,1.459055e-01,1.725517e-03
9,-2.541117e+03,1.235186e-01,1.725517e-03
10,-2.549259e+03,1.055507e-01,1.725517e-03
11,-2.554978e+03,9.107344e-02,1.725517e-03
12,-2.559168e+03,7.930169e-02,1.725517e-03
13,-2.562342e+03,6.962525e-02,1.725517e-03
14,-2.564809e+03,6.158362e-02,2.493797e-03
15,-2.566768e+03,5.483148e-02,2.493797e-03
16,-2.568352e+03,4.910873e-02,2.493797e-03
17,-2.569652e+03,4.421748e-02,2.493797e-03
18,-2.570732e+03,4.000543e-02,2.493797e-03
19,-2.571639e+03,3.736993e-02,2.493797e-03
20,-2.572408e+03,3.531045e-02,2.493797e-03
21,-2.573065e+03,3.338865e-02,2.493797e-03
22,-2.573631e+03,3.159140e-02,2.493797e-03
23,-2.574122e+03,2.990847e-02,2.493797e-03
24,-2.574549e+03,2.833127e-02,2.493797e-03
25,-2.574923e+03,2.685228e-02,2.493797e-03
26,-2.575253e+03,2.546469e-02,2.493797e-03
27,-2.575545e+03,2.416219e-02,2.493797e-03
28,-2.575804e+03,2.293894e-02,2.493797e-03
29,-2.576035e+03,2.178945e-02,2.493797e-03
30,-2.576242e+03,2.070861e-02,2.493797e-03
31,-2.576427e+03,1.969164e-02,2.493797e-03
32,-2.576594e+03,1.873408e-02,4.547474e-13
32,-2.578992e+03,1.873408e-02,4.547474e-13
