iter,average value,advantage gap,greedy advantage gap
1,-2.599392e+00,3.802571e+00,1.632628e+00
2,-9.730263e+02,2.085534e+00,1.632628e+00
3,-1.736250e+03,1.062350e+00,1.629185e-01
4,-2.128696e+03,6.213447e-01,1.629185e-01
5,-2.296482e+03,4.408460e-01,5.146661e-02
6,-2.374583e+03,3.109020e-01,5.146661e-02
7,-2.415884e+03,2.281088e-01,5.171355e-02
8,-2.440004e+03,1.752232e-01,2.465197e-02
9,-2.455154e+03,1.484078e-01,2.418639e-03
10,-2.465185e+03,1.297684e-01,2.418639e-03
11,-2.472097e+03,1.149322e-01,2.418639e-03
12,-2.477018e+03,1.028757e-01,2.418639e-03
13,-2.480624e+03,9.286755e-02,2.418639e-03
14,-2.483336e+03,8.439095e-02,2.418639e-03
15,-2.485424e+03,7.708095e-02,2.418639e-03
16,-2.487066e+03,7.067885e-02,2.418639e-03
17,-2.488383e+03,6.499943e-02,2.418639e-03
18,-2.489455e+03,5.990827e-02,2.418639e-03
19,-2.490343e+03,5.530620e-02,2.418639e-03
20,-2.491087e+03,5.111864e-02,2.418639e-03
21,-2.491719e+03,4.728840e-02,2.418639e-03
22,-2.492261e+03,4.377071e-02,2.418639e-03
23,-2.492731e+03,4.052985e-02,2.418639e-03
24,-2.493141e+03,3.753679e-02,2.418639e-03
25,-2.493502e+03,3.476750e-02,4.547474e-13
25,-2.497733e+03,3.476750e-02,4.547474e-13
