iter,point value,point opt_lb,point uni_opt_lb,agg value,agg opt_lb,agg uni_opt_lb,true value,true opt_lb,true uni_opt_lb
1,1.048897e+01,3.754565e+00,-1.504401e+02,1.048897e+01,3.754565e+00,-1.504401e+02,1.119058e+01,4.889408e+00,-6.022702e+01
2,9.873093e+00,8.676935e+00,-3.522520e+02,1.018103e+01,6.632618e+00,-1.817223e+02,9.869945e+00,9.181460e+00,-1.837383e+02
3,9.396915e+00,-3.378958e-01,-7.189363e+01,9.919658e+00,5.003834e+00,-1.178810e+02,9.232587e+00,6.578178e+00,-4.041436e+01
4,8.525808e+00,4.156819e+00,-1.103152e+02,9.571196e+00,5.832414e+00,-8.629472e+01,8.522655e+00,7.983955e+00,-2.871082e+01
5,7.770594e+00,6.591823e+00,-9.065336e+01,9.211075e+00,5.984296e+00,-6.879676e+01,8.508179e+00,7.973517e+00,-2.814309e+01
6,8.507313e+00,-3.864904e-02,-9.995838e+01,9.093782e+00,6.401013e+00,-5.593538e+01,8.460581e+00,8.298651e+00,-3.521204e+01
7,8.379305e+00,-6.414347e-01,-9.526872e+01,8.991714e+00,6.092424e+00,-4.674759e+01,8.454540e+00,8.318856e+00,-3.368132e+01
8,8.483469e+00,-2.941913e-01,-1.034882e+02,8.928183e+00,6.418271e+00,-4.454985e+01,8.430234e+00,8.299987e+00,-2.227300e+01
9,8.152366e+00,3.441148e+00,-1.045448e+02,8.841981e+00,6.403177e+00,-3.878689e+01,8.357630e+00,7.910813e+00,-2.475501e+01
10,8.248235e+00,4.520914e+00,-7.272265e+01,8.782606e+00,6.580090e+00,-3.408257e+01,8.199742e+00,7.875243e+00,-2.073329e+01
11,7.211832e+00,-1.322254e-01,-7.917850e+01,8.639809e+00,6.207073e+00,-3.033944e+01,8.179172e+00,7.927000e+00,-1.830143e+01
12,8.276055e+00,2.172418e+00,-5.501988e+01,8.609496e+00,6.389770e+00,-2.712162e+01,8.162267e+00,7.845684e+00,-1.485780e+01
13,7.350598e+00,6.623646e+00,-6.216165e+01,8.512658e+00,6.442073e+00,-2.447012e+01,8.116149e+00,7.755017e+00,-2.409998e+01
