iter,point value,point opt_lb,point uni_opt_lb,agg value,agg opt_lb,agg uni_opt_lb,true value,true opt_lb,true uni_opt_lb
1,3.920083e+01,-8.277250e+01,-2.552681e+02,3.920083e+01,-8.277250e+01,-2.552681e+02,3.930216e+01,3.462548e+00,-1.176403e+02
2,2.712025e+01,-7.659028e+01,-3.712603e+02,3.316054e+01,-5.341542e+01,-1.529614e+02,2.717255e+01,-1.483142e+01,-2.239008e+02
3,1.729832e+01,-4.881164e+01,-3.065404e+02,2.787313e+01,-3.867259e+01,-1.021884e+02,1.728368e+01,-9.182866e+00,-1.652072e+02
4,1.211599e+01,-2.577988e+01,-2.329247e+02,2.393384e+01,-2.856930e+01,-7.613346e+01,1.209416e+01,-4.308966e+00,-1.994951e+02
5,9.676640e+00,-1.476477e+01,-2.167994e+02,2.108240e+01,-2.220417e+01,-6.094993e+01,9.664656e+00,-1.332621e+00,-1.359147e+02
6,8.160892e+00,-9.093556e+00,-1.469120e+02,1.892882e+01,-1.770819e+01,-5.059941e+01,8.247267e+00,-1.236157e+00,-1.090174e+02
7,7.239280e+00,-6.102282e+00,-1.436075e+02,1.725888e+01,-1.452081e+01,-4.211978e+01,7.351709e+00,-1.092316e+00,-1.075374e+02
8,6.867995e+00,-6.372936e+00,-1.587325e+02,1.596002e+01,-1.204549e+01,-3.570895e+01,6.797996e+00,-1.111361e+00,-1.300144e+02
9,6.298635e+00,-5.554670e+00,-1.132001e+02,1.488654e+01,-1.024778e+01,-3.176544e+01,6.238720e+00,-1.593853e+00,-1.139197e+02
10,5.732843e+00,-6.562144e+00,-9.431897e+01,1.397117e+01,-8.856741e+00,-2.745830e+01,5.781656e+00,-1.748243e+00,-8.091616e+01
11,5.245135e+00,-6.260116e+00,-1.098837e+02,1.317789e+01,-7.730586e+00,-2.688343e+01,5.294706e+00,-2.073047e+00,-7.840392e+01
12,4.857088e+00,-6.260952e+00,-8.498331e+01,1.248449e+01,-6.809128e+00,-2.485593e+01,4.936434e+00,-2.117699e+00,-7.419605e+01
13,4.524796e+00,-8.723559e+00,-1.205488e+02,1.187221e+01,-6.092595e+00,-2.277762e+01,4.554613e+00,-2.379869e+00,-7.088426e+01
14,4.161231e+00,-1.034419e+01,-1.287540e+02,1.132142e+01,-5.516409e+00,-2.178130e+01,4.157907e+00,-2.736185e+00,-6.956740e+01
15,3.631993e+00,-1.105772e+01,-1.313773e+02,1.080879e+01,-5.108778e+00,-2.047121e+01,3.692019e+00,-2.993587e+00,-6.125502e+01
16,3.240140e+00,-1.142027e+01,-1.068026e+02,1.033575e+01,-4.731328e+00,-1.976736e+01,3.202613e+00,-3.356050e+00,-5.310321e+01
17,2.858376e+00,-1.397695e+01,-1.012652e+02,9.895907e+00,-4.435809e+00,-1.929740e+01,2.800210e+00,-3.879045e+00,-5.308851e+01
18,2.183473e+00,-1.437453e+01,-9.560483e+01,9.467438e+00,-4.182664e+00,-1.818796e+01,2.289310e+00,-4.405592e+00,-4.816560e+01
19,1.825389e+00,-1.552813e+01,-8.818593e+01,9.065225e+00,-3.998318e+00,-1.711537e+01,1.865678e+00,-4.755242e+00,-5.432051e+01
20,1.329478e+00,-1.474626e+01,-8.942180e+01,8.678438e+00,-3.881189e+00,-1.629679e+01,1.436338e+00,-5.083881e+00,-5.637817e+01
21,8.344116e-01,-1.454502e+01,-8.095229e+01,8.304913e+00,-3.793836e+00,-1.546680e+01,9.131094e-01,-5.534463e+00,-7.327873e+01
22,4.364456e-01,-1.524019e+01,-9.545856e+01,7.947255e+00,-3.705319e+00,-1.475840e+01,4.634781e-01,-5.768759e+00,-7.828885e+01
23,1.295489e-01,-1.480307e+01,-8.087485e+01,7.607355e+00,-3.641191e+00,-1.410973e+01,8.277592e-02,-5.935515e+00,-7.973444e+01
24,-2.771348e-01,-1.566459e+01,-9.353427e+01,7.278835e+00,-3.580293e+00,-1.352607e+01,-2.817741e-01,-6.020665e+00,-7.840645e+01
25,-6.393928e-01,-1.398480e+01,-7.704551e+01,6.962106e+00,-3.517192e+00,-1.307045e+01,-6.158423e-01,-5.882458e+00,-7.815008e+01
26,-7.668305e-01,-1.388762e+01,-9.374159e+01,6.664839e+00,-3.476945e+00,-1.263913e+01,-8.792038e-01,-5.720773e+00,-7.603230e+01
