iter,point value,point opt_lb,point uni_opt_lb,agg value,agg opt_lb,agg uni_opt_lb,true value,true opt_lb,true uni_opt_lb
1,3.899879e+01,-8.472088e+01,-2.334801e+02,3.899879e+01,-8.472088e+01,-2.334801e+02,3.930216e+01,3.462548e+00,-1.176403e+02
2,2.614938e+01,-7.361984e+01,-3.396398e+02,3.257408e+01,-5.315073e+01,-1.291098e+02,2.638729e+01,-1.263728e+01,-1.559858e+02
3,1.678562e+01,-4.675075e+01,-6.036562e+02,2.731126e+01,-3.862888e+01,-1.509554e+02,1.669948e+01,-9.722421e+00,-2.530326e+02
4,1.169642e+01,-2.228778e+01,-2.247494e+02,2.340755e+01,-2.874028e+01,-1.151033e+02,1.171229e+01,-3.181681e+00,-1.209656e+02
5,9.711286e+00,-1.173875e+01,-1.345944e+02,2.066830e+01,-2.200528e+01,-9.075225e+01,9.567328e+00,-4.857813e-01,-1.209125e+02
6,8.232925e+00,-6.932650e+00,-1.329712e+02,1.859574e+01,-1.757370e+01,-7.476201e+01,8.408451e+00,-3.931721e-01,-1.260943e+02
7,7.564766e+00,-5.707258e+00,-1.428800e+02,1.701988e+01,-1.431975e+01,-6.338011e+01,7.613670e+00,-7.908325e-01,-9.515860e+01
8,7.055012e+00,-5.732673e+00,-1.044614e+02,1.577428e+01,-1.189894e+01,-5.477607e+01,7.062764e+00,-1.048517e+00,-8.198000e+01
9,6.512827e+00,-5.040625e+00,-1.182946e+02,1.474523e+01,-1.003149e+01,-4.810077e+01,6.535608e+00,-1.252570e+00,-1.106603e+02
10,6.092725e+00,-6.168096e+00,-1.442629e+02,1.387998e+01,-8.597575e+00,-4.278633e+01,6.110661e+00,-1.230698e+00,-1.138637e+02
11,5.623242e+00,-5.305381e+00,-1.142514e+02,1.312936e+01,-7.492068e+00,-3.847743e+01,5.647972e+00,-1.452946e+00,-9.637837e+01
