iter,point value,point opt_lb,point uni_opt_lb,agg value,agg opt_lb,agg uni_opt_lb,true value,true opt_lb,true uni_opt_lb
1,7.838304e+01,-2.585460e+02,-7.228003e+02,7.838304e+01,-2.585460e+02,-7.228003e+02,0.000000e+00,0.000000e+00,0.000000e+00
2,7.512182e+01,-2.681466e+02,-7.686407e+02,7.675243e+01,-1.723546e+02,-4.961041e+02,0.000000e+00,0.000000e+00,0.000000e+00
3,7.220738e+01,-2.626865e+02,-6.927539e+02,7.523741e+01,-1.412236e+02,-3.753400e+02,0.000000e+00,0.000000e+00,0.000000e+00
4,6.778750e+01,-2.615540e+02,-7.426824e+02,7.337494e+01,-1.176235e+02,-3.794383e+02,0.000000e+00,0.000000e+00,0.000000e+00
5,6.481010e+01,-2.496657e+02,-6.455094e+02,7.166197e+01,-1.011712e+02,-3.311898e+02,0.000000e+00,0.000000e+00,0.000000e+00
6,6.188875e+01,-2.393588e+02,-6.535014e+02,7.003310e+01,-8.894206e+01,-2.636514e+02,0.000000e+00,0.000000e+00,0.000000e+00
7,5.855291e+01,-2.449860e+02,-6.564155e+02,6.839307e+01,-8.227601e+01,-2.408109e+02,0.000000e+00,0.000000e+00,0.000000e+00
8,5.517448e+01,-2.378132e+02,-6.504922e+02,6.674075e+01,-7.538548e+01,-2.253458e+02,0.000000e+00,0.000000e+00,0.000000e+00
9,5.254223e+01,-2.284289e+02,-6.996131e+02,6.516313e+01,-7.058532e+01,-2.190507e+02,0.000000e+00,0.000000e+00,0.000000e+00
10,5.008852e+01,-2.174029e+02,-5.487845e+02,6.365567e+01,-6.580189e+01,-2.036739e+02,0.000000e+00,0.000000e+00,0.000000e+00
11,4.751564e+01,-2.156714e+02,-5.906450e+02,6.218840e+01,-6.255929e+01,-1.894455e+02,0.000000e+00,0.000000e+00,0.000000e+00
12,4.515817e+01,-1.940668e+02,-6.988134e+02,6.076921e+01,-5.873577e+01,-1.809602e+02,0.000000e+00,0.000000e+00,0.000000e+00
13,4.213103e+01,-1.903352e+02,-6.917042e+02,5.933551e+01,-5.556387e+01,-1.847559e+02,0.000000e+00,0.000000e+00,0.000000e+00
14,4.046992e+01,-1.881352e+02,-5.383129e+02,5.798796e+01,-5.237836e+01,-1.667695e+02,0.000000e+00,0.000000e+00,0.000000e+00
15,3.835752e+01,-1.779845e+02,-5.383239e+02,5.667927e+01,-4.967735e+01,-1.591974e+02,0.000000e+00,0.000000e+00,0.000000e+00
16,3.658673e+01,-1.709223e+02,-4.814777e+02,5.542348e+01,-4.691039e+01,-1.499671e+02,0.000000e+00,0.000000e+00,0.000000e+00
17,3.493648e+01,-1.673296e+02,-4.616737e+02,5.421837e+01,-4.445126e+01,-1.418923e+02,0.000000e+00,0.000000e+00,0.000000e+00
