iter,nu_lb,t_mix
0,9.336863e-04,1.358495e+03
1,6.746345e-07,2.172839e+04
2,1.195695e-06,1.012561e+04
3,1.918423e-06,5.892325e+03
4,1.981617e-06,1.616392e+04
5,2.887202e-06,1.248271e+04
6,2.855773e-06,1.110320e+04
7,4.299372e-06,6.205760e+03
8,4.213186e-06,4.254908e+03
9,4.199283e-06,3.872255e+03
10,4.144406e-06,4.221931e+03
11,6.230134e-06,3.317438e+03
12,7.632099e-06,1.694368e+03
13,9.407918e-06,7.797445e+02
14,6.541985e-06,1.804941e+03
15,8.558869e-06,6.451978e+02
16,9.087581e-06,5.877992e+02
17,9.230504e-06,5.890919e+02
18,9.350990e-06,5.559572e+02
19,9.418145e-06,5.298829e+02
20,9.752986e-06,5.308385e+02
21,1.011550e-05,5.389359e+02
22,1.032421e-05,5.394956e+02
23,1.000704e-05,5.238047e+02
24,9.958230e-06,6.239446e+02
25,1.026502e-05,5.219117e+02
26,1.026501e-05,5.287245e+02
27,1.024639e-05,5.473507e+02
28,1.027153e-05,5.482136e+02
29,1.035968e-05,5.335068e+02
30,1.042182e-05,5.310187e+02
31,1.047438e-05,4.851289e+02
32,1.063125e-05,4.438567e+02
33,1.082140e-05,1.666066e+02
34,1.069063e-05,3.896204e+02
35,1.073208e-05,3.861740e+02
36,1.067335e-05,3.804545e+02
37,1.072003e-05,3.554916e+02
38,1.085167e-05,1.666409e+02
39,1.088844e-05,1.081045e+02
40,1.089748e-05,9.105149e+01
41,1.089085e-05,1.152923e+02
42,1.094556e-05,8.398313e+01
43,1.095323e-05,7.898314e+01
44,1.084231e-05,3.933394e+02
45,1.087772e-05,2.937476e+02
46,1.091080e-05,2.182047e+02
47,1.094092e-05,1.581457e+02
48,1.098239e-05,7.994293e+01
49,1.098435e-05,8.034332e+01
50,1.076223e-05,8.042558e+01
51,1.076333e-05,8.048721e+01
52,1.077077e-05,8.038565e+01
53,1.076539e-05,8.054549e+01
54,1.077505e-05,8.037654e+01
55,1.077841e-05,8.006600e+01
56,1.078100e-05,8.003870e+01
57,1.077490e-05,8.025025e+01
58,1.077345e-05,7.925665e+01
59,1.077343e-05,7.931553e+01
60,1.077097e-05,7.956295e+01
61,1.072110e-05,1.235580e+02
62,1.074525e-05,7.870854e+01
63,1.077109e-05,8.016099e+01
64,1.071482e-05,1.018438e+02
65,1.073067e-05,8.549856e+01
66,1.075029e-05,7.899553e+01
67,1.075127e-05,7.858037e+01
68,1.076266e-05,7.854516e+01
69,1.076734e-05,7.887885e+01
70,1.077383e-05,7.916603e+01
71,1.077508e-05,7.952611e+01
72,1.077207e-05,7.887544e+01
73,1.077221e-05,7.890699e+01
