iter,nu_lb,t_mix
0,9.336863e-04,1.358495e+03
1,2.860147e-06,1.681580e+04
2,1.726922e-06,1.903162e+04
3,1.795853e-06,5.412405e+03
4,3.423044e-06,3.940084e+03
5,3.939624e-06,1.183428e+04
6,5.243267e-06,5.228339e+03
7,4.733345e-06,4.675352e+03
8,6.321508e-06,2.226107e+03
9,7.213541e-06,2.005306e+03
10,1.015387e-05,8.379460e+02
11,1.261132e-05,7.865128e+02
12,1.249506e-05,7.691666e+02
13,1.099331e-05,7.768487e+02
14,9.135338e-06,7.750370e+02
15,9.082163e-06,7.802568e+02
16,1.405307e-05,7.080008e+02
17,1.176484e-05,7.167947e+02
18,1.554562e-05,6.935777e+02
19,1.582665e-05,6.576536e+02
20,1.720138e-05,8.525942e+01
21,1.155710e-05,8.628489e+01
22,1.011534e-05,6.919047e+02
23,1.069301e-05,4.359797e+02
24,1.100458e-05,2.403714e+02
25,1.109646e-05,1.383446e+02
26,1.108921e-05,1.098797e+02
27,1.148779e-05,1.294901e+02
28,1.103621e-05,8.678180e+01
29,1.114838e-05,7.852527e+01
30,1.131625e-05,7.863657e+01
31,1.104224e-05,3.815739e+02
32,1.098912e-05,3.383060e+02
33,1.094549e-05,1.621955e+02
34,1.122587e-05,7.994249e+01
35,1.102038e-05,2.532629e+02
36,1.105010e-05,2.203780e+02
37,1.106126e-05,1.123354e+02
38,1.106219e-05,1.191511e+02
39,1.107531e-05,1.147881e+02
40,1.116133e-05,8.444190e+01
41,1.128915e-05,8.108366e+01
42,1.125498e-05,8.062143e+01
43,1.149473e-05,7.971400e+01
44,1.122746e-05,2.086507e+02
45,1.265541e-05,7.751272e+01
46,1.615434e-05,7.624011e+01
47,1.327557e-05,7.799399e+01
48,1.173590e-05,7.873800e+01
49,1.213386e-05,2.149894e+02
50,1.199696e-05,2.266594e+02
51,1.212156e-05,1.234753e+02
52,1.169684e-05,8.347539e+01
53,1.253022e-05,7.997524e+01
54,1.084589e-05,8.151441e+01
55,1.084526e-05,8.170120e+01
56,1.084693e-05,8.195702e+01
57,1.085951e-05,8.114318e+01
58,1.086695e-05,8.105691e+01
59,1.095915e-05,8.113719e+01
60,1.092503e-05,8.107026e+01
61,1.097467e-05,8.069567e+01
62,1.112696e-05,8.052217e+01
63,1.091385e-05,8.036762e+01
64,1.087075e-05,8.057366e+01
65,1.123150e-05,8.037286e+01
66,1.093243e-05,8.057562e+01
67,1.093779e-05,8.054532e+01
68,1.089905e-05,8.074288e+01
69,1.141447e-05,9.066670e+01
70,1.086838e-05,8.104963e+01
71,1.085878e-05,8.103906e+01
72,1.086295e-05,8.059281e+01
73,1.086372e-05,8.065763e+01
74,1.086139e-05,8.048415e+01
75,1.084868e-05,7.886821e+01
76,1.085817e-05,7.851099e+01
77,1.085428e-05,7.851659e+01
78,1.085773e-05,7.852572e+01
