iter,nu_lb,t_mix
177,1.078057e-05,1.263260e+02
178,1.078785e-05,1.115915e+02
179,1.079056e-05,8.965517e+01
180,1.078846e-05,9.136622e+01
181,1.079211e-05,8.385808e+01
182,1.079412e-05,8.364021e+01
183,1.079673e-05,8.306643e+01
184,1.079490e-05,8.245193e+01
185,1.079499e-05,8.214464e+01
186,1.079398e-05,8.226948e+01
187,1.079615e-05,8.172976e+01
188,1.076771e-05,2.134533e+02
189,1.077021e-05,1.510874e+02
190,1.073945e-05,2.065426e+02
191,1.075516e-05,1.723361e+02
192,1.076430e-05,1.351838e+02
193,1.079836e-05,7.792622e+01
194,1.080235e-05,7.785935e+01
195,1.080323e-05,7.781777e+01
196,1.076940e-05,2.030988e+02
197,1.076681e-05,1.940164e+02
198,1.068446e-05,4.462837e+02
199,1.069917e-05,4.046661e+02
