iter,point value,point opt_lb,point uni_opt_lb,agg value,agg opt_lb,agg uni_opt_lb,true value,true opt_lb,true uni_opt_lb
1,1.372843e+01,-2.045195e+01,-1.456193e+02,1.372843e+01,-2.045195e+01,-1.456193e+02,0.000000e+00,0.000000e+00,0.000000e+00
2,9.933352e+00,1.300505e+00,-1.431668e+02,1.183089e+01,-7.350974e+00,-8.805556e+01,0.000000e+00,0.000000e+00,0.000000e+00
3,9.040004e+00,1.466282e+00,-7.166137e+01,1.090059e+01,-2.868903e+00,-5.569037e+01,0.000000e+00,0.000000e+00,0.000000e+00
4,8.385620e+00,1.331954e-01,-1.228312e+02,1.027185e+01,-9.177014e-01,-3.966936e+01,0.000000e+00,0.000000e+00,0.000000e+00
5,7.914557e+00,-1.210109e+00,-1.151947e+02,9.800392e+00,2.471608e-01,-3.015258e+01,0.000000e+00,0.000000e+00,0.000000e+00
6,7.681211e+00,-2.500440e+00,-8.678159e+01,9.447195e+00,1.201611e+00,-2.384695e+01,0.000000e+00,0.000000e+00,0.000000e+00
7,7.477670e+00,-1.917098e+00,-8.318962e+01,9.165834e+00,1.819938e+00,-1.937200e+01,0.000000e+00,0.000000e+00,0.000000e+00
8,7.144791e+00,-3.152976e+00,-9.983558e+01,8.913204e+00,2.165334e+00,-1.605740e+01,0.000000e+00,0.000000e+00,0.000000e+00
9,6.737169e+00,-1.901640e+00,-1.075790e+02,8.671422e+00,2.493744e+00,-1.352467e+01,0.000000e+00,0.000000e+00,0.000000e+00
10,6.486594e+00,-2.293509e+00,-7.960058e+01,8.452939e+00,2.755196e+00,-1.152285e+01,0.000000e+00,0.000000e+00,0.000000e+00
11,6.482741e+00,-3.877969e+00,-9.175258e+01,8.273831e+00,2.956854e+00,-9.885976e+00,0.000000e+00,0.000000e+00,0.000000e+00
12,6.581827e+00,-2.545746e+00,-1.120271e+02,8.132830e+00,3.139000e+00,-8.510441e+00,0.000000e+00,0.000000e+00,0.000000e+00
13,6.143664e+00,-4.073818e+00,-9.546815e+01,7.979817e+00,3.258382e+00,-7.377421e+00,0.000000e+00,0.000000e+00,0.000000e+00
14,5.839111e+00,-3.894125e+00,-1.253587e+02,7.826910e+00,3.373161e+00,-8.515860e+00,0.000000e+00,0.000000e+00,0.000000e+00
15,5.648780e+00,-3.272933e+00,-1.264750e+02,7.681701e+00,3.441792e+00,-7.577401e+00,0.000000e+00,0.000000e+00,0.000000e+00
16,5.594568e+00,-2.818265e+00,-6.985562e+01,7.551255e+00,3.508646e+00,-6.753561e+00,0.000000e+00,0.000000e+00,0.000000e+00
17,5.516641e+00,-2.112727e+00,-1.088136e+02,7.431572e+00,3.566296e+00,-6.029703e+00,0.000000e+00,0.000000e+00,0.000000e+00
18,5.675195e+00,-3.584651e+00,-1.026448e+02,7.333996e+00,3.638846e+00,-5.363617e+00,0.000000e+00,0.000000e+00,0.000000e+00
19,5.502940e+00,-1.891417e+00,-1.086894e+02,7.237624e+00,3.705907e+00,-4.716992e+00,0.000000e+00,0.000000e+00,0.000000e+00
20,5.492504e+00,-2.173346e+00,-1.020630e+02,7.150368e+00,3.751500e+00,-4.789832e+00,0.000000e+00,0.000000e+00,0.000000e+00
21,5.474275e+00,-2.625177e+00,-1.146490e+02,7.070554e+00,3.776832e+00,-4.293275e+00,0.000000e+00,0.000000e+00,0.000000e+00
22,5.442230e+00,-2.676397e+00,-7.253333e+01,6.996540e+00,3.820403e+00,-3.806575e+00,0.000000e+00,0.000000e+00,0.000000e+00
23,5.362027e+00,-1.738649e+00,-1.025244e+02,6.925474e+00,3.870761e+00,-3.464308e+00,0.000000e+00,0.000000e+00,0.000000e+00
24,5.379252e+00,-2.463310e+00,-1.311401e+02,6.861048e+00,3.905896e+00,-3.038208e+00,0.000000e+00,0.000000e+00,0.000000e+00
25,5.228099e+00,-1.769008e+00,-8.500977e+01,6.795730e+00,3.944942e+00,-2.780261e+00,0.000000e+00,0.000000e+00,0.000000e+00
26,5.336856e+00,-2.965266e+00,-1.139043e+02,6.739619e+00,3.982120e+00,-2.482660e+00,0.000000e+00,0.000000e+00,0.000000e+00
27,5.439559e+00,-2.750151e+00,-7.847436e+01,6.691469e+00,4.013321e+00,-2.170022e+00,0.000000e+00,0.000000e+00,0.000000e+00
28,5.406116e+00,-3.863768e+00,-1.112453e+02,6.645564e+00,4.047275e+00,-2.359121e+00,0.000000e+00,0.000000e+00,0.000000e+00
29,5.408733e+00,-3.050044e+00,-7.472859e+01,6.602914e+00,4.074595e+00,-2.090972e+00,0.000000e+00,0.000000e+00,0.000000e+00
30,5.268993e+00,-2.665238e+00,-7.639836e+01,6.558450e+00,4.091099e+00,-1.845911e+00,0.000000e+00,0.000000e+00,0.000000e+00
31,5.287161e+00,-2.223801e+00,-7.844896e+01,6.517441e+00,4.113046e+00,-1.615829e+00,0.000000e+00,0.000000e+00,0.000000e+00
32,5.412595e+00,-2.786430e+00,-1.457399e+02,6.482914e+00,4.142539e+00,-1.395969e+00,0.000000e+00,0.000000e+00,0.000000e+00
33,5.284731e+00,-1.728199e+00,-9.445159e+01,6.446606e+00,4.163664e+00,-1.451384e+00,0.000000e+00,0.000000e+00,0.000000e+00
34,5.343981e+00,-2.498917e+00,-8.400245e+01,6.414176e+00,4.187168e+00,-1.234755e+00,0.000000e+00,0.000000e+00,0.000000e+00
35,5.300898e+00,-2.182998e+00,-6.827326e+01,6.382368e+00,4.211423e+00,-1.552759e+00,0.000000e+00,0.000000e+00,0.000000e+00
36,5.365595e+00,-3.495919e+00,-1.248488e+02,6.354124e+00,4.226797e+00,-1.376782e+00,0.000000e+00,0.000000e+00,0.000000e+00
37,5.318074e+00,-3.391194e+00,-1.347324e+02,6.326123e+00,4.239088e+00,-1.196332e+00,0.000000e+00,0.000000e+00,0.000000e+00
38,5.137561e+00,-2.015884e+00,-1.045973e+02,6.294845e+00,4.247556e+00,-1.029962e+00,0.000000e+00,0.000000e+00,0.000000e+00
39,5.346956e+00,-4.339278e+00,-1.189388e+02,6.270540e+00,4.259284e+00,-8.664486e-01,0.000000e+00,0.000000e+00,0.000000e+00
40,5.240182e+00,-2.912311e+00,-1.066939e+02,6.244781e+00,4.275025e+00,-7.139070e-01,0.000000e+00,0.000000e+00,0.000000e+00
41,5.346069e+00,-3.443219e+00,-1.550048e+02,6.222861e+00,4.289751e+00,-5.661025e-01,0.000000e+00,0.000000e+00,0.000000e+00
42,5.243233e+00,-2.360539e+00,-8.448519e+01,6.199537e+00,4.302640e+00,-4.277826e-01,0.000000e+00,0.000000e+00,0.000000e+00
43,5.231588e+00,-1.893527e+00,-7.950613e+01,6.177026e+00,4.316769e+00,-7.296405e-01,0.000000e+00,0.000000e+00,0.000000e+00
44,5.293622e+00,-1.943034e+00,-9.531604e+01,6.156949e+00,4.325486e+00,-5.929401e-01,0.000000e+00,0.000000e+00,0.000000e+00
45,5.228996e+00,-3.097321e+00,-7.741390e+01,6.136328e+00,4.335835e+00,-4.641777e-01,0.000000e+00,0.000000e+00,0.000000e+00
46,5.129596e+00,-1.786834e+00,-8.079169e+01,6.114442e+00,4.342307e+00,-3.425916e-01,0.000000e+00,0.000000e+00,0.000000e+00
47,5.219205e+00,-2.968377e+00,-6.163874e+01,6.095395e+00,4.355329e+00,-2.242555e-01,0.000000e+00,0.000000e+00,0.000000e+00
48,5.397663e+00,-3.529630e+00,-1.152313e+02,6.080859e+00,4.367974e+00,-1.071323e-01,0.000000e+00,0.000000e+00,0.000000e+00
49,5.281077e+00,-3.011412e+00,-8.783939e+01,6.064536e+00,4.380005e+00,2.831200e-03,0.000000e+00,0.000000e+00,0.000000e+00
50,5.169349e+00,-2.059143e+00,-9.625012e+01,6.046633e+00,4.389818e+00,1.061616e-01,0.000000e+00,0.000000e+00,0.000000e+00
51,5.130229e+00,-2.308069e+00,-6.946990e+01,6.028664e+00,4.399375e+00,2.046727e-01,0.000000e+00,0.000000e+00,0.000000e+00
52,5.143258e+00,-2.963503e+00,-1.037053e+02,6.011637e+00,4.403745e+00,2.996455e-01,0.000000e+00,0.000000e+00,0.000000e+00
53,5.104579e+00,-2.529785e+00,-8.428074e+01,5.994523e+00,4.416566e+00,3.903046e-01,0.000000e+00,0.000000e+00,0.000000e+00
54,5.220145e+00,-3.383459e+00,-1.449593e+02,5.980182e+00,4.426707e+00,4.797461e-01,0.000000e+00,0.000000e+00,0.000000e+00
55,5.328409e+00,-3.153302e+00,-9.882310e+01,5.968332e+00,4.439138e+00,5.679036e-01,0.000000e+00,0.000000e+00,0.000000e+00
56,5.336362e+00,-3.605918e+00,-8.001790e+01,5.957047e+00,4.450550e+00,9.718992e-02,0.000000e+00,0.000000e+00,0.000000e+00
57,5.095366e+00,-2.284898e+00,-7.311848e+01,5.941930e+00,4.458422e+00,1.855344e-01,0.000000e+00,0.000000e+00,0.000000e+00
58,5.212679e+00,-1.768054e+00,-8.798149e+01,5.929356e+00,4.467074e+00,2.756823e-01,0.000000e+00,0.000000e+00,0.000000e+00
59,5.174050e+00,-3.196277e+00,-8.348308e+01,5.916554e+00,4.475006e+00,2.728943e-01,0.000000e+00,0.000000e+00,0.000000e+00
60,5.097223e+00,-1.540259e+00,-5.414312e+01,5.902899e+00,4.481263e+00,3.533001e-01,0.000000e+00,0.000000e+00,0.000000e+00
61,5.102214e+00,-2.073968e+00,-1.147911e+02,5.889773e+00,4.487800e+00,4.311506e-01,0.000000e+00,0.000000e+00,0.000000e+00
62,5.140237e+00,-2.764321e+00,-1.406137e+02,5.877684e+00,4.495356e+00,5.071031e-01,0.000000e+00,0.000000e+00,0.000000e+00
63,5.266146e+00,-2.787644e+00,-7.406521e+01,5.867977e+00,4.501598e+00,5.826413e-01,0.000000e+00,0.000000e+00,0.000000e+00
64,5.087038e+00,-2.106774e+00,-8.354325e+01,5.855775e+00,4.506523e+00,6.530225e-01,0.000000e+00,0.000000e+00,0.000000e+00
65,5.304820e+00,-3.811103e+00,-1.296440e+02,5.847298e+00,4.509251e+00,7.245886e-01,0.000000e+00,0.000000e+00,0.000000e+00
66,5.200680e+00,-2.429572e+00,-9.439839e+01,5.837501e+00,4.517109e+00,7.924082e-01,0.000000e+00,0.000000e+00,0.000000e+00
67,5.144724e+00,-2.657873e+00,-1.072401e+02,5.827161e+00,4.522141e+00,8.573681e-01,0.000000e+00,0.000000e+00,0.000000e+00
68,5.260907e+00,-3.244725e+00,-1.476731e+02,5.818834e+00,4.525011e+00,9.221260e-01,0.000000e+00,0.000000e+00,0.000000e+00
69,5.135207e+00,-2.178997e+00,-1.006957e+02,5.808926e+00,4.530149e+00,9.831852e-01,0.000000e+00,0.000000e+00,0.000000e+00
70,5.258736e+00,-2.029799e+00,-1.034130e+02,5.801066e+00,4.535706e+00,9.461603e-01,0.000000e+00,0.000000e+00,0.000000e+00
71,5.115245e+00,-1.765894e+00,-1.464262e+02,5.791407e+00,4.536329e+00,2.098387e-01,0.000000e+00,0.000000e+00,0.000000e+00
72,5.188927e+00,-2.505458e+00,-9.876425e+01,5.783039e+00,4.540132e+00,2.790076e-01,0.000000e+00,0.000000e+00,0.000000e+00
73,5.101068e+00,-2.614400e+00,-1.081597e+02,5.773697e+00,4.542297e+00,3.452508e-01,0.000000e+00,0.000000e+00,0.000000e+00
74,5.074448e+00,-1.376514e+00,-1.576833e+02,5.764248e+00,4.541015e+00,4.091974e-01,0.000000e+00,0.000000e+00,0.000000e+00
75,5.022516e+00,-1.903347e+00,-7.312570e+01,5.754358e+00,4.543519e+00,4.709283e-01,0.000000e+00,0.000000e+00,0.000000e+00
76,5.207088e+00,-2.581277e+00,-1.125842e+02,5.747157e+00,4.549605e+00,5.316153e-01,0.000000e+00,0.000000e+00,0.000000e+00
77,5.064968e+00,-2.346452e+00,-7.395055e+01,5.738298e+00,4.553894e+00,5.923604e-01,0.000000e+00,0.000000e+00,0.000000e+00
78,5.175368e+00,-3.665490e+00,-1.114388e+02,5.731080e+00,4.556676e+00,6.443038e-01,0.000000e+00,0.000000e+00,0.000000e+00
79,5.197755e+00,-2.234281e+00,-8.905948e+01,5.724329e+00,4.562101e+00,7.063407e-01,0.000000e+00,0.000000e+00,0.000000e+00
80,5.350469e+00,-2.880533e+00,-1.428110e+02,5.719656e+00,4.566003e+00,7.579142e-01,0.000000e+00,0.000000e+00,0.000000e+00
81,5.248810e+00,-2.673596e+00,-9.672137e+01,5.713843e+00,4.570061e+00,8.107476e-01,0.000000e+00,0.000000e+00,0.000000e+00
82,5.258734e+00,-2.522047e+00,-9.233205e+01,5.708293e+00,4.575073e+00,8.670653e-01,0.000000e+00,0.000000e+00,0.000000e+00
83,5.364650e+00,-3.727775e+00,-1.258046e+02,5.704153e+00,4.581339e+00,9.093866e-01,0.000000e+00,0.000000e+00,0.000000e+00
84,5.179822e+00,-2.542505e+00,-6.841604e+01,5.697911e+00,4.586684e+00,9.592926e-01,0.000000e+00,0.000000e+00,0.000000e+00
85,5.150190e+00,-2.489998e+00,-6.784086e+01,5.691467e+00,4.590298e+00,1.011267e+00,0.000000e+00,0.000000e+00,0.000000e+00
86,5.116061e+00,-3.189508e+00,-9.941562e+01,5.684776e+00,4.593006e+00,1.070109e+00,0.000000e+00,0.000000e+00,0.000000e+00
87,5.252523e+00,-3.180381e+00,-1.234541e+02,5.679808e+00,4.596715e+00,1.121702e+00,0.000000e+00,0.000000e+00,0.000000e+00
88,5.125328e+00,-2.175402e+00,-8.955977e+01,5.673507e+00,4.597457e+00,1.123697e+00,0.000000e+00,0.000000e+00,0.000000e+00
89,5.250382e+00,-3.578654e+00,-1.074592e+02,5.668753e+00,4.600427e+00,1.037754e+00,0.000000e+00,0.000000e+00,0.000000e+00
90,5.206353e+00,-1.931678e+00,-9.160642e+01,5.663615e+00,4.605295e+00,1.095259e+00,0.000000e+00,0.000000e+00,0.000000e+00
91,5.136936e+00,-2.109956e+00,-1.116475e+02,5.657827e+00,4.609302e+00,1.138428e+00,0.000000e+00,0.000000e+00,0.000000e+00
92,5.283759e+00,-2.814604e+00,-7.141361e+01,5.653761e+00,4.612892e+00,1.186702e+00,0.000000e+00,0.000000e+00,0.000000e+00
93,5.090868e+00,-1.637083e+00,-8.076844e+01,5.647709e+00,4.616671e+00,1.237670e+00,0.000000e+00,0.000000e+00,0.000000e+00
94,5.274719e+00,-3.728413e+00,-1.429844e+02,5.643741e+00,4.617268e+00,-2.167245e-01,0.000000e+00,0.000000e+00,0.000000e+00
95,5.194137e+00,-1.802807e+00,-1.405451e+02,5.639008e+00,4.621843e+00,-1.597681e-01,0.000000e+00,0.000000e+00,0.000000e+00
96,5.036940e+00,-2.494979e+00,-1.262587e+02,5.632737e+00,4.623484e+00,-1.056357e-01,0.000000e+00,0.000000e+00,0.000000e+00
97,4.996548e+00,-2.149722e+00,-9.060745e+01,5.626178e+00,4.625475e+00,-5.303588e-02,0.000000e+00,0.000000e+00,0.000000e+00
98,5.096948e+00,-1.371477e+00,-8.601164e+01,5.620778e+00,4.629633e+00,-4.850255e-04,0.000000e+00,0.000000e+00,0.000000e+00
99,5.149160e+00,-2.379068e+00,-1.129510e+02,5.616014e+00,4.632235e+00,5.153159e-02,0.000000e+00,0.000000e+00,0.000000e+00
100,5.292143e+00,-2.542997e+00,-1.444070e+02,5.612775e+00,4.637322e+00,1.039377e-01,0.000000e+00,0.000000e+00,0.000000e+00
101,5.149181e+00,-1.788728e+00,-8.570581e+01,5.608185e+00,4.640763e+00,1.538906e-01,0.000000e+00,0.000000e+00,0.000000e+00
102,5.185870e+00,-3.173494e+00,-7.720892e+01,5.604045e+00,4.643737e+00,2.032237e-01,0.000000e+00,0.000000e+00,0.000000e+00
103,5.199619e+00,-3.180662e+00,-9.429613e+01,5.600118e+00,4.646453e+00,2.517324e-01,0.000000e+00,0.000000e+00,0.000000e+00
104,5.115433e+00,-2.632307e+00,-9.015798e+01,5.595458e+00,4.649087e+00,2.984988e-01,0.000000e+00,0.000000e+00,0.000000e+00
105,5.323062e+00,-4.087052e+00,-1.049264e+02,5.592864e+00,4.653512e+00,3.463518e-01,0.000000e+00,0.000000e+00,0.000000e+00
106,5.085282e+00,-2.922479e+00,-8.347414e+01,5.588075e+00,4.655423e+00,3.910587e-01,0.000000e+00,0.000000e+00,0.000000e+00
107,5.169051e+00,-2.176956e+00,-1.023415e+02,5.584159e+00,4.657487e+00,4.357128e-01,0.000000e+00,0.000000e+00,0.000000e+00
108,5.135772e+00,-2.000085e+00,-8.995465e+01,5.580007e+00,4.659751e+00,4.792318e-01,0.000000e+00,0.000000e+00,0.000000e+00
109,5.226161e+00,-2.808872e+00,-8.807626e+01,5.576761e+00,4.661975e+00,5.227816e-01,0.000000e+00,0.000000e+00,0.000000e+00
110,5.176783e+00,-2.404163e+00,-1.044996e+02,5.573125e+00,4.662841e+00,5.650907e-01,0.000000e+00,0.000000e+00,0.000000e+00
111,5.071405e+00,-1.649669e+00,-7.573865e+01,5.568605e+00,4.663301e+00,6.056882e-01,0.000000e+00,0.000000e+00,0.000000e+00
112,5.122461e+00,-2.288569e+00,-8.983409e+01,5.564621e+00,4.665853e+00,6.460165e-01,0.000000e+00,0.000000e+00,0.000000e+00
113,5.114324e+00,-2.621762e+00,-8.709828e+01,5.560636e+00,4.668072e+00,6.855590e-01,0.000000e+00,0.000000e+00,0.000000e+00
114,5.231571e+00,-3.006930e+00,-9.595148e+01,5.557750e+00,4.671465e+00,7.254363e-01,0.000000e+00,0.000000e+00,0.000000e+00
115,5.188157e+00,-2.790078e+00,-7.579219e+01,5.554536e+00,4.673950e+00,7.642426e-01,0.000000e+00,0.000000e+00,0.000000e+00
116,5.111914e+00,-1.548119e+00,-7.426500e+01,5.550720e+00,4.675758e+00,8.017225e-01,0.000000e+00,0.000000e+00,0.000000e+00
117,5.262255e+00,-3.808117e+00,-7.740997e+01,5.548255e+00,4.679801e+00,8.398467e-01,0.000000e+00,0.000000e+00,0.000000e+00
118,5.126853e+00,-2.467029e+00,-1.340470e+02,5.544684e+00,4.682445e+00,8.761773e-01,0.000000e+00,0.000000e+00,0.000000e+00
