iter,point value,point opt_lb,point uni_opt_lb,agg value,agg opt_lb,agg uni_opt_lb,true value,true opt_lb,true uni_opt_lb
1,1.359321e+01,-1.888384e+01,-2.010159e+02,1.359321e+01,-1.888384e+01,-2.010159e+02,0.000000e+00,0.000000e+00,0.000000e+00
2,9.797775e+00,1.869974e+00,-1.796844e+02,1.169549e+01,-6.830205e+00,-9.560907e+01,0.000000e+00,0.000000e+00,0.000000e+00
3,8.942237e+00,3.561114e-01,-8.678842e+01,1.077774e+01,-2.858186e+00,-6.075864e+01,0.000000e+00,0.000000e+00,0.000000e+00
4,8.146198e+00,-7.143521e-01,-9.646541e+01,1.011986e+01,-9.174078e-01,-4.353243e+01,0.000000e+00,0.000000e+00,0.000000e+00
5,7.759645e+00,-2.588308e+00,-6.476058e+01,9.647813e+00,2.536217e-01,-3.327401e+01,0.000000e+00,0.000000e+00,0.000000e+00
6,7.114909e+00,-2.238681e+00,-7.046228e+01,9.225663e+00,1.002631e+00,-2.654253e+01,0.000000e+00,0.000000e+00,0.000000e+00
7,6.683370e+00,-2.822775e+00,-1.147081e+02,8.862478e+00,1.469389e+00,-2.179597e+01,0.000000e+00,0.000000e+00,0.000000e+00
8,6.580998e+00,-4.580042e+00,-7.540362e+01,8.577293e+00,1.862252e+00,-1.824885e+01,0.000000e+00,0.000000e+00,0.000000e+00
9,6.215410e+00,-4.130401e+00,-1.043177e+02,8.314861e+00,2.138769e+00,-1.553060e+01,0.000000e+00,0.000000e+00,0.000000e+00
10,6.012553e+00,-3.614285e+00,-8.837364e+01,8.084631e+00,2.375639e+00,-1.337628e+01,0.000000e+00,0.000000e+00,0.000000e+00
11,5.803348e+00,-3.192546e+00,-8.607970e+01,7.877241e+00,2.549945e+00,-1.163268e+01,0.000000e+00,0.000000e+00,0.000000e+00
12,5.865696e+00,-4.116367e+00,-1.380993e+02,7.709612e+00,2.670414e+00,-1.017448e+01,0.000000e+00,0.000000e+00,0.000000e+00
13,5.589561e+00,-3.114928e+00,-8.359324e+01,7.546532e+00,2.839903e+00,-8.961863e+00,0.000000e+00,0.000000e+00,0.000000e+00
14,5.538388e+00,-2.993244e+00,-1.145858e+02,7.403093e+00,2.953725e+00,-8.670799e+00,0.000000e+00,0.000000e+00,0.000000e+00
15,5.475144e+00,-2.377382e+00,-6.252713e+01,7.274563e+00,3.061546e+00,-7.695547e+00,0.000000e+00,0.000000e+00,0.000000e+00
16,5.378579e+00,-2.785432e+00,-6.973493e+01,7.156064e+00,3.164674e+00,-6.930814e+00,0.000000e+00,0.000000e+00,0.000000e+00
17,5.268726e+00,-2.124430e+00,-9.556577e+01,7.045044e+00,3.255786e+00,-6.189126e+00,0.000000e+00,0.000000e+00,0.000000e+00
18,5.250753e+00,-2.106718e+00,-7.754857e+01,6.945361e+00,3.317000e+00,-5.689719e+00,0.000000e+00,0.000000e+00,0.000000e+00
19,5.490657e+00,-3.050815e+00,-1.005108e+02,6.868798e+00,3.410250e+00,-5.123249e+00,0.000000e+00,0.000000e+00,0.000000e+00
20,5.281112e+00,-2.513054e+00,-6.449322e+01,6.789414e+00,3.484381e+00,-4.604887e+00,0.000000e+00,0.000000e+00,0.000000e+00
21,5.264684e+00,-3.503706e+00,-9.001677e+01,6.716807e+00,3.540766e+00,-4.134721e+00,0.000000e+00,0.000000e+00,0.000000e+00
22,5.316118e+00,-3.529881e+00,-1.339741e+02,6.653140e+00,3.584579e+00,-3.863097e+00,0.000000e+00,0.000000e+00,0.000000e+00
23,5.159464e+00,-2.575695e+00,-7.751048e+01,6.588197e+00,3.641974e+00,-3.470152e+00,0.000000e+00,0.000000e+00,0.000000e+00
24,5.113527e+00,-2.640146e+00,-1.019747e+02,6.526753e+00,3.674600e+00,-3.114910e+00,0.000000e+00,0.000000e+00,0.000000e+00
25,5.287523e+00,-2.887574e+00,-1.482273e+02,6.477183e+00,3.697574e+00,-3.656603e+00,0.000000e+00,0.000000e+00,0.000000e+00
26,5.264296e+00,-2.013946e+00,-9.815723e+01,6.430534e+00,3.743932e+00,-3.313592e+00,0.000000e+00,0.000000e+00,0.000000e+00
27,5.147509e+00,-2.471053e+00,-8.234430e+01,6.383014e+00,3.771270e+00,-3.000952e+00,0.000000e+00,0.000000e+00,0.000000e+00
28,5.263878e+00,-2.680298e+00,-1.083470e+02,6.343045e+00,3.815315e+00,-2.706157e+00,0.000000e+00,0.000000e+00,0.000000e+00
29,5.279734e+00,-2.686880e+00,-7.028134e+01,6.306379e+00,3.853623e+00,-2.430542e+00,0.000000e+00,0.000000e+00,0.000000e+00
30,5.294617e+00,-2.722235e+00,-7.777709e+01,6.272654e+00,3.879600e+00,-2.193944e+00,0.000000e+00,0.000000e+00,0.000000e+00
31,5.234991e+00,-2.133431e+00,-9.841944e+01,6.239181e+00,3.917906e+00,-1.942952e+00,0.000000e+00,0.000000e+00,0.000000e+00
32,5.245791e+00,-2.513748e+00,-8.442335e+01,6.208138e+00,3.943594e+00,-2.575130e+00,0.000000e+00,0.000000e+00,0.000000e+00
33,5.259454e+00,-2.732648e+00,-1.342451e+02,6.179390e+00,3.965547e+00,-2.347588e+00,0.000000e+00,0.000000e+00,0.000000e+00
34,5.227329e+00,-3.803742e+00,-9.227688e+01,6.151388e+00,3.992205e+00,-2.125245e+00,0.000000e+00,0.000000e+00,0.000000e+00
35,5.251706e+00,-2.895565e+00,-1.059812e+02,6.125683e+00,4.011110e+00,-1.915706e+00,0.000000e+00,0.000000e+00,0.000000e+00
36,5.148652e+00,-2.864879e+00,-9.632944e+01,6.098543e+00,4.034288e+00,-1.720553e+00,0.000000e+00,0.000000e+00,0.000000e+00
37,5.222585e+00,-2.119722e+00,-7.624372e+01,6.074868e+00,4.055266e+00,-1.532899e+00,0.000000e+00,0.000000e+00,0.000000e+00
38,5.105291e+00,-1.521509e+00,-4.789785e+01,6.049353e+00,4.074637e+00,-1.358209e+00,0.000000e+00,0.000000e+00,0.000000e+00
39,5.292124e+00,-3.692320e+00,-1.772422e+02,6.029937e+00,4.094183e+00,-1.187744e+00,0.000000e+00,0.000000e+00,0.000000e+00
40,5.238602e+00,-2.231606e+00,-8.077916e+01,6.010154e+00,4.109914e+00,-1.027085e+00,0.000000e+00,0.000000e+00,0.000000e+00
41,5.181093e+00,-2.175008e+00,-1.009214e+02,5.989933e+00,4.123050e+00,-8.756664e-01,0.000000e+00,0.000000e+00,0.000000e+00
42,5.304755e+00,-3.565434e+00,-1.097198e+02,5.973619e+00,4.142351e+00,-7.285135e-01,0.000000e+00,0.000000e+00,0.000000e+00
43,5.069405e+00,-2.443178e+00,-8.033464e+01,5.952591e+00,4.149601e+00,-1.096324e+00,0.000000e+00,0.000000e+00,0.000000e+00
44,5.161850e+00,-2.582731e+00,-1.327896e+02,5.934619e+00,4.160777e+00,-9.570285e-01,0.000000e+00,0.000000e+00,0.000000e+00
45,5.192629e+00,-2.731915e+00,-1.004739e+02,5.918131e+00,4.175353e+00,-8.210034e-01,0.000000e+00,0.000000e+00,0.000000e+00
46,5.209435e+00,-2.213559e+00,-1.062411e+02,5.902724e+00,4.186461e+00,-6.914800e-01,0.000000e+00,0.000000e+00,0.000000e+00
47,5.183071e+00,-3.812113e+00,-1.063854e+02,5.887412e+00,4.199231e+00,-5.667218e-01,0.000000e+00,0.000000e+00,0.000000e+00
48,5.232544e+00,-3.170153e+00,-8.130436e+01,5.873769e+00,4.216436e+00,-4.464416e-01,0.000000e+00,0.000000e+00,0.000000e+00
49,5.317794e+00,-2.768114e+00,-1.748052e+02,5.862423e+00,4.233641e+00,-3.316173e-01,0.000000e+00,0.000000e+00,0.000000e+00
50,5.281048e+00,-1.976541e+00,-7.817639e+01,5.850795e+00,4.250948e+00,-2.216878e-01,0.000000e+00,0.000000e+00,0.000000e+00
51,5.157747e+00,-2.312233e+00,-9.229249e+01,5.837206e+00,4.262628e+00,-1.162087e-01,0.000000e+00,0.000000e+00,0.000000e+00
52,5.077887e+00,-2.208984e+00,-1.084520e+02,5.822604e+00,4.270472e+00,-1.632257e-02,0.000000e+00,0.000000e+00,0.000000e+00
53,5.311816e+00,-3.157804e+00,-8.872056e+01,5.812966e+00,4.286506e+00,8.420831e-02,0.000000e+00,0.000000e+00,0.000000e+00
54,5.354598e+00,-3.714134e+00,-9.196916e+01,5.804478e+00,4.298714e+00,1.818081e-01,0.000000e+00,0.000000e+00,0.000000e+00
55,5.224684e+00,-2.937065e+00,-9.319949e+01,5.793936e+00,4.311699e+00,2.734968e-01,0.000000e+00,0.000000e+00,0.000000e+00
56,5.093345e+00,-1.803026e+00,-1.201279e+02,5.781426e+00,4.314613e+00,3.595655e-01,0.000000e+00,0.000000e+00,0.000000e+00
57,5.168259e+00,-1.729929e+00,-8.814751e+01,5.770669e+00,4.326013e+00,4.439285e-01,0.000000e+00,0.000000e+00,0.000000e+00
58,5.202818e+00,-2.382472e+00,-7.942565e+01,5.760878e+00,4.336444e+00,3.238444e-01,0.000000e+00,0.000000e+00,0.000000e+00
59,5.152103e+00,-2.896790e+00,-1.061563e+02,5.750560e+00,4.347499e+00,4.074748e-01,0.000000e+00,0.000000e+00,0.000000e+00
60,5.369288e+00,-3.794743e+00,-9.927727e+01,5.744205e+00,4.358848e+00,4.794640e-01,0.000000e+00,0.000000e+00,0.000000e+00
61,5.181079e+00,-2.934081e+00,-1.046140e+02,5.734974e+00,4.367430e+00,5.555841e-01,0.000000e+00,0.000000e+00,0.000000e+00
62,5.117210e+00,-1.499482e+00,-8.137647e+01,5.725010e+00,4.375227e+00,6.297319e-01,0.000000e+00,0.000000e+00,0.000000e+00
63,5.132331e+00,-2.067340e+00,-6.346935e+01,5.715602e+00,4.384729e+00,7.024485e-01,0.000000e+00,0.000000e+00,0.000000e+00
64,5.289830e+00,-3.096119e+00,-7.507826e+01,5.708949e+00,4.397498e+00,7.789718e-01,0.000000e+00,0.000000e+00,0.000000e+00
65,5.242691e+00,-3.773492e+00,-9.213571e+01,5.701776e+00,4.405350e+00,8.465293e-01,0.000000e+00,0.000000e+00,0.000000e+00
66,5.224797e+00,-3.092360e+00,-1.449347e+02,5.694549e+00,4.412767e+00,9.104565e-01,0.000000e+00,0.000000e+00,0.000000e+00
67,5.277909e+00,-2.537885e+00,-9.611862e+01,5.688331e+00,4.420689e+00,9.795349e-01,0.000000e+00,0.000000e+00,0.000000e+00
68,5.059061e+00,-3.097354e+00,-7.468936e+01,5.679077e+00,4.426997e+00,1.054429e+00,0.000000e+00,0.000000e+00,0.000000e+00
69,5.143786e+00,-3.562100e+00,-9.438251e+01,5.671319e+00,4.431510e+00,1.120973e+00,0.000000e+00,0.000000e+00,0.000000e+00
70,5.277746e+00,-3.337653e+00,-1.009757e+02,5.665697e+00,4.437218e+00,1.185057e+00,0.000000e+00,0.000000e+00,0.000000e+00
71,5.216093e+00,-2.279456e+00,-1.124045e+02,5.659364e+00,4.443216e+00,1.272043e+00,0.000000e+00,0.000000e+00,0.000000e+00
72,5.306834e+00,-2.955282e+00,-8.867627e+01,5.654468e+00,4.451002e+00,1.308962e+00,0.000000e+00,0.000000e+00,0.000000e+00
73,5.248142e+00,-2.977994e+00,-1.543130e+02,5.648902e+00,4.458391e+00,1.326781e+00,0.000000e+00,0.000000e+00,0.000000e+00
74,5.076325e+00,-1.455503e+00,-8.412655e+01,5.641164e+00,4.463207e+00,1.346906e+00,0.000000e+00,0.000000e+00,0.000000e+00
75,5.079998e+00,-1.959203e+00,-5.887673e+01,5.633682e+00,4.467016e+00,1.406941e+00,0.000000e+00,0.000000e+00,0.000000e+00
76,5.060086e+00,-3.126737e+00,-8.476982e+01,5.626135e+00,4.468540e+00,1.461020e+00,0.000000e+00,0.000000e+00,0.000000e+00
77,5.128738e+00,-2.508752e+00,-1.231250e+02,5.619675e+00,4.473776e+00,1.485843e+00,0.000000e+00,0.000000e+00,0.000000e+00
78,5.162803e+00,-2.004536e+00,-1.070746e+02,5.613818e+00,4.479498e+00,1.518367e+00,0.000000e+00,0.000000e+00,0.000000e+00
79,5.157332e+00,-1.796866e+00,-7.270862e+01,5.608039e+00,4.483135e+00,1.565961e+00,0.000000e+00,0.000000e+00,0.000000e+00
80,5.237147e+00,-3.890080e+00,-1.415304e+02,5.603403e+00,4.491325e+00,1.367835e+00,0.000000e+00,0.000000e+00,0.000000e+00
81,5.309133e+00,-2.860428e+00,-1.064511e+02,5.599770e+00,4.498775e+00,1.416216e+00,0.000000e+00,0.000000e+00,0.000000e+00
82,5.154675e+00,-2.625951e+00,-7.144623e+01,5.594342e+00,4.502429e+00,1.461807e+00,0.000000e+00,0.000000e+00,0.000000e+00
83,5.256780e+00,-3.356336e+00,-1.272695e+02,5.590275e+00,4.507736e+00,1.053712e+00,0.000000e+00,0.000000e+00,0.000000e+00
84,5.199167e+00,-1.995482e+00,-9.187807e+01,5.585619e+00,4.513428e+00,1.104003e+00,0.000000e+00,0.000000e+00,0.000000e+00
85,5.259987e+00,-3.561555e+00,-1.583871e+02,5.581788e+00,4.520534e+00,1.157342e+00,0.000000e+00,0.000000e+00,0.000000e+00
86,5.180527e+00,-2.893710e+00,-9.950590e+01,5.577122e+00,4.525118e+00,1.156465e+00,0.000000e+00,0.000000e+00,0.000000e+00
87,5.337933e+00,-4.118397e+00,-8.233317e+01,5.574373e+00,4.532275e+00,1.204713e+00,0.000000e+00,0.000000e+00,0.000000e+00
88,5.100090e+00,-1.951551e+00,-9.253600e+01,5.568983e+00,4.536848e+00,1.249037e+00,0.000000e+00,0.000000e+00,0.000000e+00
89,5.242098e+00,-3.772459e+00,-8.372253e+01,5.565311e+00,4.542848e+00,1.295118e+00,0.000000e+00,0.000000e+00,0.000000e+00
