iter,nu_lb,t_mix
0,9.336863e-04,1.358495e+03
1,2.753895e-07,2.250686e+04
2,3.270403e-07,4.120027e+04
3,6.495975e-07,9.751862e+03
4,1.676555e-06,7.500166e+03
5,2.399015e-06,3.211208e+03
6,3.338194e-06,3.123180e+03
7,4.188570e-06,2.901081e+03
8,5.514721e-06,2.939256e+03
9,5.579228e-06,3.028759e+03
10,6.622185e-06,2.676206e+03
11,7.618641e-06,2.509176e+03
12,7.471032e-06,2.506732e+03
13,7.363594e-06,2.514861e+03
14,6.496719e-06,3.214040e+03
15,7.547033e-06,2.701885e+03
16,6.410848e-06,3.233688e+03
17,7.068989e-06,2.688448e+03
18,3.558900e-06,6.069162e+03
19,3.554997e-06,5.985158e+03
20,4.490353e-06,5.419110e+03
21,6.818237e-06,3.492599e+03
22,7.362185e-06,3.264200e+03
23,7.700032e-06,3.073033e+03
24,7.869244e-06,2.946327e+03
25,8.948711e-06,1.992534e+03
26,1.096858e-05,1.307663e+03
27,1.060601e-05,9.447983e+02
28,1.009199e-05,8.785917e+02
29,1.021940e-05,7.987350e+02
30,9.469765e-06,1.081696e+03
31,9.621144e-06,1.004890e+03
32,9.907605e-06,8.736321e+02
33,1.029191e-05,7.490531e+02
34,9.948583e-06,1.081940e+03
35,1.001597e-05,1.028085e+03
36,1.021774e-05,8.195434e+02
37,1.032961e-05,7.036055e+02
38,1.042700e-05,5.799903e+02
39,8.723134e-06,2.170037e+03
40,9.602232e-06,1.372245e+03
41,9.346368e-06,1.699277e+03
42,1.082031e-05,1.055926e+03
43,1.041509e-05,8.233275e+02
44,1.037893e-05,7.268872e+02
45,1.043942e-05,6.395031e+02
46,9.133575e-06,2.046626e+03
47,9.841946e-06,1.295190e+03
48,1.020040e-05,8.105467e+02
49,8.586734e-06,2.399310e+03
50,8.610923e-06,2.373637e+03
51,1.040737e-05,4.635390e+02
52,1.052950e-05,3.361183e+02
53,1.072226e-05,1.686167e+02
54,1.022354e-05,5.157090e+02
55,1.023405e-05,5.085186e+02
56,1.023557e-05,4.985938e+02
57,1.034364e-05,4.058070e+02
58,1.076529e-05,1.820601e+02
59,1.071847e-05,3.423769e+02
60,1.075228e-05,3.206665e+02
61,1.081812e-05,1.295390e+02
62,1.084858e-05,7.918351e+01
63,1.087316e-05,2.483076e+02
64,1.071751e-05,2.901649e+02
65,1.086478e-05,2.073189e+02
66,1.099753e-05,1.337601e+02
67,1.080595e-05,1.667906e+02
68,1.083531e-05,8.940566e+01
69,1.098446e-05,7.926292e+01
70,1.093920e-05,8.662970e+01
71,1.110236e-05,7.958068e+01
72,1.105747e-05,7.972179e+01
73,1.099199e-05,7.994550e+01
74,1.099737e-05,7.983822e+01
75,1.093845e-05,8.038317e+01
76,1.092025e-05,7.983228e+01
77,1.090404e-05,7.997260e+01
78,1.082584e-05,2.461189e+02
79,1.082359e-05,2.332772e+02
80,1.086340e-05,8.008648e+01
81,1.085807e-05,7.958214e+01
82,1.085024e-05,7.961616e+01
83,1.085357e-05,8.020373e+01
84,1.097244e-05,8.013299e+01
85,1.095403e-05,8.010744e+01
86,1.096158e-05,8.008948e+01
87,1.087537e-05,8.011873e+01
88,1.087530e-05,8.011879e+01
89,1.086555e-05,8.013297e+01
90,1.086133e-05,8.006672e+01
91,1.085995e-05,7.998958e+01
92,1.092543e-05,8.001899e+01
93,1.092100e-05,7.998177e+01
94,1.091510e-05,7.994891e+01
95,1.089551e-05,7.999659e+01
96,1.091933e-05,7.991614e+01
97,1.091219e-05,7.987268e+01
98,1.091875e-05,7.995943e+01
99,1.091898e-05,7.992453e+01
100,1.092344e-05,7.992535e+01
101,1.092450e-05,8.007280e+01
102,1.092341e-05,8.010545e+01
103,1.091447e-05,8.006398e+01
104,1.090505e-05,8.006775e+01
105,1.091934e-05,8.010926e+01
106,1.091118e-05,8.001939e+01
107,1.091232e-05,8.001704e+01
108,1.091826e-05,7.999965e+01
109,1.092242e-05,7.999501e+01
110,1.095052e-05,7.989191e+01
111,1.095416e-05,7.987307e+01
112,1.094054e-05,7.994447e+01
113,1.093992e-05,7.998962e+01
114,1.093010e-05,8.005399e+01
115,1.093215e-05,8.010186e+01
116,1.093593e-05,8.009700e+01
117,1.092505e-05,8.015123e+01
118,1.093400e-05,8.015805e+01
119,1.093551e-05,8.009716e+01
120,1.091414e-05,7.997269e+01
121,1.089829e-05,7.996249e+01
122,1.090023e-05,7.999011e+01
123,1.089110e-05,8.001144e+01
124,1.111624e-05,7.910460e+01
125,1.103248e-05,7.912020e+01
126,1.097138e-05,7.928749e+01
127,1.095438e-05,7.929883e+01
128,1.103064e-05,7.934111e+01
129,1.102018e-05,7.939898e+01
130,1.103177e-05,7.946888e+01
131,1.096633e-05,7.965470e+01
132,1.094396e-05,7.992608e+01
133,1.094798e-05,8.002104e+01
134,1.093945e-05,8.004149e+01
135,1.093628e-05,8.005362e+01
136,1.094083e-05,8.008298e+01
137,1.095698e-05,8.012173e+01
138,1.084715e-05,8.013415e+01
139,1.092780e-05,8.007760e+01
140,1.092451e-05,8.005171e+01
141,1.092326e-05,8.009587e+01
142,1.092534e-05,8.003794e+01
143,1.091854e-05,8.006993e+01
144,1.092607e-05,8.003169e+01
145,1.093165e-05,7.999120e+01
146,1.093188e-05,8.006512e+01
147,1.092565e-05,8.004903e+01
148,1.092991e-05,7.997064e+01
149,1.090183e-05,7.998217e+01
150,1.090131e-05,7.997692e+01
151,1.090047e-05,7.997707e+01
152,1.089700e-05,8.002170e+01
153,1.087213e-05,7.890593e+01
154,1.088906e-05,7.901270e+01
155,1.088051e-05,7.901330e+01
156,1.088318e-05,7.899926e+01
157,1.088784e-05,7.927085e+01
158,1.089368e-05,8.011116e+01
159,1.088637e-05,8.022002e+01
160,1.085726e-05,8.016921e+01
161,1.087845e-05,8.019270e+01
162,1.087654e-05,8.011726e+01
163,1.087898e-05,8.013631e+01
164,1.087870e-05,8.019310e+01
165,1.088669e-05,8.022204e+01
166,1.086765e-05,8.029527e+01
167,1.081916e-05,8.036919e+01
168,1.081686e-05,8.040274e+01
169,1.081697e-05,8.013050e+01
170,1.081837e-05,8.014878e+01
171,1.081860e-05,8.013180e+01
172,1.081099e-05,7.923861e+01
173,1.081721e-05,7.944468e+01
174,1.078715e-05,1.498300e+02
175,1.081481e-05,8.473812e+01
176,1.084340e-05,8.004975e+01
177,1.084120e-05,8.021512e+01
178,1.083550e-05,8.041752e+01
179,1.084410e-05,8.025136e+01
180,1.084743e-05,8.013888e+01
181,1.084345e-05,8.019705e+01
182,1.084544e-05,8.024685e+01
183,1.084577e-05,8.018812e+01
184,1.084168e-05,8.028427e+01
185,1.083692e-05,8.039775e+01
186,1.082453e-05,8.040659e+01
187,1.082115e-05,8.041268e+01
188,1.081740e-05,8.045696e+01
189,1.081708e-05,8.045221e+01
190,1.081645e-05,8.044759e+01
191,1.082205e-05,8.039481e+01
192,1.082216e-05,8.042900e+01
193,1.081519e-05,8.044013e+01
194,1.081687e-05,8.044361e+01
195,1.081995e-05,8.039728e+01
196,1.082178e-05,8.035068e+01
197,1.082230e-05,8.033665e+01
198,1.082098e-05,8.034923e+01
199,1.082408e-05,8.025672e+01
