iter,nu_lb,t_mix
0,9.336863e-04,1.358495e+03
1,2.931174e-06,3.778585e+03
2,6.707911e-07,9.047060e+03
3,1.175372e-06,9.127693e+03
4,1.378074e-06,7.396357e+03
5,1.808310e-06,2.645301e+03
6,2.579485e-06,2.886611e+03
7,2.909254e-06,2.762515e+03
8,2.941157e-06,3.143715e+03
9,3.461292e-06,4.177664e+03
10,4.777694e-06,3.658237e+03
11,4.421456e-06,3.770334e+03
12,7.045227e-06,2.128332e+03
13,9.782862e-06,1.655360e+03
14,1.064081e-05,1.390342e+03
15,1.125056e-05,1.213158e+03
16,8.843942e-06,1.259459e+03
17,8.838495e-06,1.245234e+03
18,9.233231e-06,1.062995e+03
19,9.533724e-06,8.347140e+02
20,9.596097e-06,8.358034e+02
21,9.836001e-06,6.457516e+02
22,9.259577e-06,1.256219e+03
23,9.960281e-06,6.343998e+02
24,1.031202e-05,2.863156e+02
25,1.042488e-05,1.389593e+02
26,9.857530e-06,7.070413e+02
27,1.017560e-05,4.090766e+02
28,1.040605e-05,2.956864e+02
29,1.029126e-05,3.293841e+02
30,1.032258e-05,2.947616e+02
31,1.040412e-05,2.573383e+02
32,1.050383e-05,2.974428e+02
33,1.057668e-05,8.983382e+01
34,1.061321e-05,8.025741e+01
35,1.063392e-05,7.969307e+01
36,1.066763e-05,7.940844e+01
37,1.070420e-05,7.970330e+01
38,1.071143e-05,7.920751e+01
39,1.071185e-05,7.961197e+01
40,1.072217e-05,7.925164e+01
41,1.073270e-05,7.956161e+01
42,1.072637e-05,7.938438e+01
43,1.056927e-05,2.547892e+02
44,1.073119e-05,7.971036e+01
45,1.075407e-05,7.968502e+01
46,1.075707e-05,7.947125e+01
47,1.076764e-05,8.003701e+01
48,1.076030e-05,8.053108e+01
49,1.076720e-05,8.054193e+01
50,1.076398e-05,8.023874e+01
51,1.077072e-05,7.990647e+01
52,1.078321e-05,7.971136e+01
53,1.078466e-05,7.962087e+01
54,1.076907e-05,7.839631e+01
55,1.078053e-05,7.935991e+01
56,1.080294e-05,7.940174e+01
57,1.080855e-05,7.924832e+01
58,1.079963e-05,7.918954e+01
59,1.084635e-05,7.911748e+01
60,1.082641e-05,7.914882e+01
61,1.084321e-05,7.907313e+01
62,1.084263e-05,7.902507e+01
63,1.081130e-05,7.907968e+01
64,1.079675e-05,7.910391e+01
65,1.081511e-05,7.907375e+01
66,1.084464e-05,7.900149e+01
67,1.086511e-05,7.905952e+01
68,1.080594e-05,7.905946e+01
69,1.079720e-05,7.908908e+01
70,1.078897e-05,7.880172e+01
71,1.079263e-05,7.868813e+01
72,1.079504e-05,7.888822e+01
73,1.079602e-05,7.961108e+01
74,1.079785e-05,7.976562e+01
75,1.079496e-05,7.972058e+01
76,1.079706e-05,7.968128e+01
77,1.079901e-05,7.969709e+01
78,1.080007e-05,7.970426e+01
79,1.079496e-05,7.967931e+01
80,1.052892e-05,4.139716e+02
81,1.050307e-05,4.079441e+02
82,1.049477e-05,4.311699e+02
83,1.057087e-05,3.276430e+02
84,1.063168e-05,2.747973e+02
85,1.062527e-05,2.962972e+02
86,1.069316e-05,1.981951e+02
87,1.075115e-05,9.318897e+01
88,1.070783e-05,1.650389e+02
89,1.071322e-05,1.705330e+02
90,1.073122e-05,1.181515e+02
91,1.071796e-05,1.367737e+02
92,1.076749e-05,7.890671e+01
93,1.078667e-05,7.847886e+01
94,1.078316e-05,7.846286e+01
95,1.078805e-05,7.865029e+01
96,1.080589e-05,7.891561e+01
97,1.080480e-05,7.912531e+01
98,1.081007e-05,7.966192e+01
99,1.080896e-05,7.966955e+01
100,1.080748e-05,7.965507e+01
101,1.080433e-05,7.925207e+01
102,1.080223e-05,7.883047e+01
103,1.080765e-05,7.907879e+01
104,1.080660e-05,7.910400e+01
105,1.090864e-05,7.924884e+01
106,1.091590e-05,7.923401e+01
107,1.091954e-05,7.922117e+01
108,1.092034e-05,7.923469e+01
109,1.091975e-05,7.926907e+01
110,1.091895e-05,7.932519e+01
111,1.092058e-05,7.936905e+01
112,1.091989e-05,7.937904e+01
113,1.091993e-05,7.936281e+01
114,1.092150e-05,7.937502e+01
115,1.092165e-05,7.930839e+01
116,1.091835e-05,7.931163e+01
117,1.091982e-05,7.921094e+01
118,1.092078e-05,7.927067e+01
119,1.092398e-05,7.918806e+01
120,1.092536e-05,7.908687e+01
121,1.092457e-05,7.905845e+01
122,1.092449e-05,7.903990e+01
123,1.092447e-05,7.903213e+01
124,1.092235e-05,7.903120e+01
125,1.092886e-05,7.902121e+01
126,1.092979e-05,7.903283e+01
127,1.093021e-05,7.902253e+01
128,1.093095e-05,7.901672e+01
129,1.092790e-05,7.854290e+01
130,1.063570e-05,4.474460e+02
131,1.067668e-05,3.881890e+02
132,1.074804e-05,2.836919e+02
133,1.080081e-05,2.069978e+02
134,1.081463e-05,1.859224e+02
135,1.083852e-05,1.546032e+02
136,1.085260e-05,1.327994e+02
137,1.092772e-05,7.836440e+01
138,1.092982e-05,7.863194e+01
139,1.069332e-05,3.652196e+02
140,1.076527e-05,2.604156e+02
141,1.086312e-05,1.171174e+02
142,1.085467e-05,1.292537e+02
143,1.088404e-05,8.623591e+01
144,1.090737e-05,7.797460e+01
145,1.089440e-05,7.825182e+01
146,1.087929e-05,9.279091e+01
147,1.090345e-05,7.806105e+01
148,1.091943e-05,7.797490e+01
149,1.091975e-05,7.796309e+01
150,1.091958e-05,7.799825e+01
151,1.092045e-05,7.797498e+01
152,1.092560e-05,7.798301e+01
153,1.092716e-05,7.819711e+01
154,1.092867e-05,7.857744e+01
155,1.093047e-05,7.868607e+01
156,1.093124e-05,7.875602e+01
157,1.067764e-05,3.730843e+02
158,1.073843e-05,2.913754e+02
159,1.077294e-05,2.432107e+02
160,1.081399e-05,1.840945e+02
161,1.087406e-05,9.420765e+01
162,1.087996e-05,9.005236e+01
163,1.088253e-05,8.162999e+01
164,1.072462e-05,3.092860e+02
165,1.064359e-05,4.278175e+02
166,1.067086e-05,3.871289e+02
167,1.077175e-05,2.346664e+02
168,1.078308e-05,2.179606e+02
169,1.087186e-05,8.606248e+01
170,1.088636e-05,7.776978e+01
171,1.088671e-05,7.710766e+01
