iter,nu_lb,t_mix
0,9.336863e-04,1.358495e+03
1,7.432494e-06,4.760658e+03
2,2.339493e-06,4.204443e+03
3,2.538867e-06,3.589361e+03
4,3.443960e-06,2.418402e+03
5,4.868367e-06,2.256036e+03
6,5.508228e-06,2.311298e+03
7,1.040641e-05,1.285558e+03
8,7.712029e-06,1.483306e+03
9,9.953844e-06,1.049746e+03
10,1.411568e-05,6.441755e+02
11,1.418868e-05,5.477261e+02
12,1.300712e-05,1.128421e+03
13,1.358451e-05,1.084219e+03
14,1.330511e-05,1.051299e+03
15,1.123896e-05,9.513425e+02
16,1.129522e-05,8.831898e+02
17,1.138634e-05,8.252801e+02
18,1.118384e-05,1.033963e+03
19,1.137370e-05,4.523098e+02
20,1.299583e-05,4.577053e+02
21,1.561470e-05,3.002881e+02
22,1.552988e-05,2.996282e+02
23,1.456994e-05,3.929789e+02
24,1.266537e-05,3.687153e+02
25,1.392236e-05,2.691039e+02
26,1.364763e-05,4.142697e+02
27,1.379935e-05,4.171498e+02
28,1.374039e-05,3.562683e+02
29,1.279890e-05,3.586368e+02
30,1.303512e-05,2.213616e+02
31,1.229903e-05,2.049526e+02
32,1.343894e-05,1.683903e+02
33,1.314874e-05,3.825880e+02
34,1.322604e-05,3.799890e+02
35,1.354280e-05,3.772923e+02
36,1.330958e-05,9.365129e+01
37,1.329513e-05,8.332225e+01
38,1.331156e-05,8.314295e+01
39,1.385732e-05,8.233421e+01
40,1.357566e-05,7.877426e+01
41,1.333511e-05,7.889422e+01
42,1.341133e-05,7.874280e+01
43,1.326344e-05,2.765201e+02
44,1.305641e-05,3.102822e+02
45,1.324881e-05,2.344676e+02
46,1.315479e-05,2.751632e+02
47,1.311426e-05,2.649296e+02
48,1.308420e-05,2.223787e+02
49,1.319290e-05,2.082684e+02
50,1.323615e-05,1.289345e+02
51,1.334171e-05,8.976317e+01
52,1.330136e-05,1.175839e+02
53,1.330626e-05,7.764347e+01
54,1.330833e-05,7.768809e+01
55,1.329717e-05,7.773250e+01
56,1.329271e-05,7.797969e+01
57,1.329101e-05,7.803904e+01
58,1.328137e-05,7.842418e+01
59,1.323126e-05,7.840723e+01
60,1.321373e-05,7.834547e+01
61,1.325715e-05,7.834835e+01
62,1.323908e-05,7.865474e+01
63,1.315458e-05,7.839300e+01
64,1.301694e-05,7.845403e+01
65,1.301656e-05,7.842706e+01
66,1.301407e-05,7.841531e+01
67,1.299979e-05,7.841357e+01
68,1.280857e-05,7.861990e+01
69,1.232184e-05,7.905348e+01
70,1.099145e-05,7.976343e+01
71,1.092620e-05,8.007083e+01
72,1.101078e-05,7.973575e+01
73,1.114586e-05,7.965179e+01
74,1.100575e-05,7.968871e+01
75,1.089537e-05,7.972204e+01
76,1.090227e-05,7.976572e+01
77,1.091149e-05,7.970660e+01
78,1.086886e-05,7.976417e+01
79,1.088819e-05,7.974230e+01
80,1.090112e-05,7.960058e+01
81,1.111702e-05,8.046763e+01
82,1.150391e-05,7.982584e+01
83,1.225950e-05,8.033085e+01
84,1.190555e-05,7.957740e+01
85,1.260367e-05,7.891169e+01
86,1.224645e-05,7.912023e+01
87,1.419889e-05,7.817406e+01
88,1.252572e-05,7.894638e+01
89,1.297116e-05,7.871847e+01
90,1.222601e-05,7.903941e+01
91,1.731755e-05,7.695377e+01
92,1.464303e-05,7.800750e+01
93,1.277718e-05,7.886993e+01
94,1.146593e-05,7.954029e+01
95,1.120748e-05,7.966199e+01
96,1.081430e-05,7.999794e+01
97,1.081463e-05,7.996366e+01
98,1.081467e-05,7.998210e+01
99,1.082062e-05,7.996603e+01
100,1.082140e-05,7.996554e+01
101,1.082080e-05,7.997344e+01
102,1.081634e-05,8.000113e+01
103,1.081866e-05,8.000948e+01
104,1.082155e-05,8.000702e+01
105,1.080914e-05,1.339433e+02
106,1.086355e-05,1.354285e+02
107,1.084836e-05,1.231635e+02
108,1.088823e-05,9.984103e+01
109,1.092254e-05,7.994348e+01
110,1.099928e-05,7.991037e+01
111,1.102441e-05,7.977690e+01
112,1.103034e-05,7.990387e+01
113,1.104575e-05,7.969309e+01
114,1.104915e-05,7.975369e+01
115,1.101631e-05,7.976495e+01
116,1.101095e-05,7.981170e+01
117,1.099603e-05,7.981684e+01
118,1.099515e-05,7.979828e+01
119,1.099380e-05,7.978012e+01
120,1.099390e-05,7.977233e+01
121,1.099391e-05,7.976445e+01
122,1.102422e-05,7.972553e+01
123,1.105234e-05,7.969172e+01
124,1.105214e-05,7.966878e+01
125,1.104193e-05,7.966354e+01
126,1.104753e-05,7.970927e+01
127,1.105649e-05,7.974665e+01
128,1.106145e-05,7.964858e+01
129,1.106812e-05,7.959836e+01
130,1.105929e-05,7.967184e+01
131,1.106084e-05,7.963615e+01
132,1.104041e-05,7.966766e+01
133,1.105293e-05,7.965506e+01
134,1.104928e-05,7.956114e+01
135,1.107537e-05,7.952135e+01
136,1.107619e-05,7.951191e+01
137,1.107368e-05,7.953998e+01
138,1.107707e-05,7.948518e+01
139,1.107647e-05,7.949769e+01
140,1.106825e-05,7.958288e+01
141,1.107424e-05,7.948267e+01
142,1.107639e-05,7.950895e+01
143,1.108037e-05,7.948223e+01
144,1.108484e-05,7.942882e+01
145,1.108668e-05,7.940533e+01
146,1.107725e-05,7.950161e+01
