iter,nu_lb,t_mix
0,9.336863e-04,1.358495e+03
1,8.855763e-07,1.195608e+04
2,2.081941e-06,5.874577e+03
3,3.354407e-06,8.242043e+03
4,4.246603e-06,7.540904e+03
5,4.644948e-06,6.225593e+03
6,7.566946e-06,4.639161e+03
7,1.354222e-05,1.798288e+03
8,1.919415e-05,1.507462e+03
9,1.434746e-05,1.533587e+03
10,1.547900e-05,1.527422e+03
11,1.673929e-05,1.598556e+03
12,1.692754e-05,1.613574e+03
13,1.953559e-05,1.565160e+03
14,1.951129e-05,1.534261e+03
15,1.769059e-05,1.535859e+03
16,1.765043e-05,1.521650e+03
17,1.647825e-05,1.526130e+03
18,1.010095e-05,1.488474e+03
19,1.057637e-05,1.400881e+03
20,9.786260e-06,1.322394e+03
21,1.002260e-05,1.094873e+03
22,1.020152e-05,1.021274e+03
23,1.023398e-05,9.837957e+02
24,1.023051e-05,9.818387e+02
25,1.023137e-05,9.716185e+02
26,1.035364e-05,9.483775e+02
27,1.044405e-05,9.231672e+02
28,1.031770e-05,9.961677e+02
29,1.037023e-05,9.487208e+02
30,1.183959e-05,7.263972e+02
31,1.187751e-05,7.040921e+02
32,1.238218e-05,6.614788e+02
33,1.194446e-05,1.205468e+03
34,1.226833e-05,9.660573e+02
35,1.253852e-05,9.839563e+02
36,1.269792e-05,8.352012e+02
37,1.279339e-05,7.624622e+02
38,1.290107e-05,6.320151e+02
39,1.300704e-05,5.509816e+02
40,1.308064e-05,4.278217e+02
41,1.291623e-05,3.906834e+02
42,1.335499e-05,3.785903e+02
43,1.391235e-05,4.825175e+02
44,1.265595e-05,4.320403e+02
45,1.111208e-05,4.314873e+02
46,1.103949e-05,4.102598e+02
47,1.284305e-05,3.911735e+02
48,1.143199e-05,3.936419e+02
49,1.115035e-05,3.808144e+02
50,1.116077e-05,3.635178e+02
51,1.107555e-05,3.286729e+02
52,1.130227e-05,2.651272e+02
53,1.129110e-05,2.058262e+02
54,1.105090e-05,1.403181e+02
55,1.103937e-05,1.167558e+02
56,1.121063e-05,9.581504e+01
57,1.138096e-05,8.372655e+01
58,1.099709e-05,8.415550e+01
59,1.089557e-05,8.400627e+01
60,1.097618e-05,8.388698e+01
61,1.167223e-05,8.294283e+01
62,1.152183e-05,8.222913e+01
63,1.132534e-05,8.271736e+01
64,1.121484e-05,8.238579e+01
65,1.138391e-05,7.990710e+01
66,1.121783e-05,8.038854e+01
67,1.117511e-05,8.083589e+01
68,1.119075e-05,8.114579e+01
69,1.116873e-05,8.160480e+01
70,1.125646e-05,8.102967e+01
71,1.116308e-05,8.119067e+01
72,1.120063e-05,8.163947e+01
73,1.118934e-05,8.158108e+01
74,1.117973e-05,8.204754e+01
75,1.115644e-05,8.196291e+01
76,1.113186e-05,7.992316e+01
77,1.113821e-05,7.997594e+01
78,1.108327e-05,8.006052e+01
79,1.115618e-05,8.001306e+01
80,1.103051e-05,8.027438e+01
81,1.103435e-05,8.023372e+01
82,1.102499e-05,8.054391e+01
83,1.102590e-05,8.028643e+01
84,1.103606e-05,7.998824e+01
85,1.103731e-05,8.143243e+01
86,1.101864e-05,8.117106e+01
87,1.103670e-05,8.060485e+01
88,1.104625e-05,8.067304e+01
89,1.104834e-05,8.104007e+01
90,1.107938e-05,8.119849e+01
91,1.107884e-05,8.077232e+01
92,1.151194e-05,8.090261e+01
93,1.193297e-05,8.178764e+01
94,1.133090e-05,8.232983e+01
95,1.199998e-05,8.147850e+01
96,1.263264e-05,8.098204e+01
97,1.243936e-05,8.105774e+01
98,1.212857e-05,8.150522e+01
99,1.181973e-05,8.215973e+01
100,1.217133e-05,7.911120e+01
101,1.208895e-05,7.916806e+01
102,1.124332e-05,7.961527e+01
103,1.125183e-05,7.957159e+01
104,1.175693e-05,7.925818e+01
105,1.161701e-05,7.928954e+01
106,1.107274e-05,7.956803e+01
107,1.107177e-05,7.956279e+01
108,1.106958e-05,7.928763e+01
109,1.107652e-05,7.925920e+01
110,1.107574e-05,7.909093e+01
111,1.108024e-05,7.948649e+01
112,1.107984e-05,7.950538e+01
113,1.109248e-05,7.963945e+01
114,1.109409e-05,7.964070e+01
115,1.111541e-05,7.964551e+01
116,1.166287e-05,7.934755e+01
117,1.106502e-05,7.993853e+01
118,1.107180e-05,7.966718e+01
119,1.106357e-05,8.053824e+01
120,1.106258e-05,8.060745e+01
121,1.106985e-05,8.056401e+01
122,1.106589e-05,8.064453e+01
123,1.106169e-05,8.066275e+01
124,1.105132e-05,8.063554e+01
125,1.104802e-05,8.045768e+01
126,1.106051e-05,8.029388e+01
127,1.106069e-05,8.033762e+01
128,1.101244e-05,7.976590e+01
129,1.105267e-05,8.032879e+01
130,1.100204e-05,8.034212e+01
131,1.100006e-05,8.030427e+01
132,1.099932e-05,8.030381e+01
133,1.097137e-05,8.571500e+01
134,1.087060e-05,3.834255e+02
135,1.087263e-05,3.814891e+02
136,1.087693e-05,3.661388e+02
137,1.089691e-05,3.354490e+02
138,1.093979e-05,2.396902e+02
139,1.099284e-05,7.952867e+01
140,1.105114e-05,7.929052e+01
141,1.104180e-05,7.951588e+01
142,1.153236e-05,7.929519e+01
143,1.103543e-05,7.908194e+01
144,1.123022e-05,7.893058e+01
145,1.111383e-05,7.914417e+01
146,1.105216e-05,7.900827e+01
147,1.103008e-05,7.905752e+01
148,1.102319e-05,7.911897e+01
149,1.097218e-05,2.300804e+02
150,1.123819e-05,1.087063e+02
151,1.098052e-05,1.073101e+02
152,1.098318e-05,8.401759e+01
153,1.099212e-05,7.808398e+01
154,1.099716e-05,7.849920e+01
155,1.099728e-05,7.870034e+01
156,1.094968e-05,2.563168e+02
157,1.095147e-05,2.491682e+02
158,1.099323e-05,7.871298e+01
159,1.098993e-05,7.875644e+01
160,1.099148e-05,7.917420e+01
161,1.098997e-05,7.930829e+01
162,1.098564e-05,7.939902e+01
163,1.098428e-05,7.946916e+01
164,1.098251e-05,7.951528e+01
165,1.097782e-05,7.954909e+01
166,1.098398e-05,7.949873e+01
167,1.098850e-05,7.948508e+01
168,1.099143e-05,7.949666e+01
169,1.098925e-05,7.953669e+01
170,1.098778e-05,7.955026e+01
171,1.099277e-05,7.955777e+01
172,1.099390e-05,7.960287e+01
173,1.099590e-05,7.957728e+01
174,1.099344e-05,7.943549e+01
175,1.098878e-05,7.935826e+01
176,1.099075e-05,7.935433e+01
177,1.099223e-05,7.938492e+01
178,1.097884e-05,7.950151e+01
179,1.099114e-05,7.941263e+01
180,1.098996e-05,7.947780e+01
181,1.099110e-05,7.962200e+01
182,1.099108e-05,7.959946e+01
183,1.098976e-05,7.958165e+01
184,1.098617e-05,7.964777e+01
185,1.097401e-05,7.978504e+01
186,1.097257e-05,7.971956e+01
187,1.097740e-05,7.986181e+01
188,1.097733e-05,7.989120e+01
189,1.097738e-05,7.994039e+01
190,1.097832e-05,7.995789e+01
191,1.097295e-05,7.973304e+01
192,1.096957e-05,7.970254e+01
193,1.097169e-05,7.970767e+01
194,1.099115e-05,7.948356e+01
195,1.098685e-05,7.950992e+01
196,1.098038e-05,7.960389e+01
197,1.099093e-05,7.947884e+01
198,1.099327e-05,7.979947e+01
199,1.099399e-05,7.980399e+01
