iter,average value,advantage gap,greedy advantage gap
1,-1.465271e+01,3.415844e+00,9.057658e-01
2,-7.261140e+01,3.349774e+00,9.057658e-01
3,-1.305732e+02,3.283814e+00,9.057658e-01
4,-1.885396e+02,3.217963e+00,9.057658e-01
5,-2.465121e+02,3.152219e+00,9.057658e-01
6,-3.043006e+02,3.086579e+00,8.587344e-01
7,-3.612977e+02,3.021041e+00,8.587344e-01
8,-4.168617e+02,2.961227e+00,8.587344e-01
9,-4.698319e+02,2.906775e+00,8.587344e-01
10,-5.196466e+02,2.853121e+00,8.648671e-01
11,-5.663964e+02,2.798612e+00,8.648671e-01
12,-6.103991e+02,2.746615e+00,8.648671e-01
13,-6.515199e+02,2.703836e+00,8.648671e-01
14,-6.900446e+02,2.665897e+00,8.648671e-01
15,-7.260599e+02,2.629893e+00,8.648671e-01
16,-7.596358e+02,2.594787e+00,8.648671e-01
17,-7.911872e+02,2.561535e+00,8.648671e-01
18,-8.207875e+02,2.530362e+00,8.648671e-01
19,-8.485685e+02,2.500206e+00,8.648671e-01
20,-8.747934e+02,2.471804e+00,8.648671e-01
21,-8.995230e+02,2.445942e+00,8.648671e-01
22,-9.230444e+02,2.422552e+00,8.648671e-01
23,-9.453679e+02,2.400986e+00,8.648671e-01
24,-9.665893e+02,2.380645e+00,8.648671e-01
25,-9.868883e+02,2.361377e+00,8.648671e-01
26,-1.006356e+03,2.343436e+00,8.648671e-01
27,-1.024935e+03,2.326207e+00,8.648671e-01
28,-1.042719e+03,2.309342e+00,8.648671e-01
29,-1.059848e+03,2.293239e+00,8.648671e-01
30,-1.076325e+03,2.277719e+00,8.648671e-01
31,-1.092231e+03,2.262408e+00,8.648671e-01
32,-1.107591e+03,2.247260e+00,8.648671e-01
33,-1.122352e+03,2.232535e+00,8.648671e-01
34,-1.136589e+03,2.218285e+00,8.648671e-01
35,-1.150382e+03,2.204243e+00,8.648671e-01
36,-1.163720e+03,2.190599e+00,8.648671e-01
37,-1.176629e+03,2.177497e+00,8.648671e-01
38,-1.189122e+03,2.164654e+00,8.648671e-01
39,-1.201246e+03,2.152182e+00,8.648671e-01
40,-1.213000e+03,2.140466e+00,8.648671e-01
41,-1.224377e+03,2.129104e+00,8.648671e-01
42,-1.235445e+03,2.117793e+00,8.648671e-01
43,-1.246202e+03,2.106564e+00,8.648671e-01
44,-1.256719e+03,2.095390e+00,8.648671e-01
45,-1.266948e+03,2.084318e+00,8.648671e-01
46,-1.276934e+03,2.073292e+00,8.648671e-01
47,-1.286704e+03,2.062284e+00,8.648671e-01
48,-1.296240e+03,2.051374e+00,8.648671e-01
49,-1.305540e+03,2.040804e+00,8.648671e-01
50,-1.314632e+03,2.030478e+00,8.587344e-01
51,-1.323545e+03,2.020252e+00,8.587344e-01
52,-1.332284e+03,2.010046e+00,8.587344e-01
53,-1.340827e+03,2.000076e+00,8.587344e-01
54,-1.349172e+03,1.990424e+00,8.587344e-01
55,-1.357323e+03,1.980936e+00,8.587344e-01
56,-1.365269e+03,1.971695e+00,8.587344e-01
57,-1.373040e+03,1.962494e+00,8.587344e-01
58,-1.380662e+03,1.953433e+00,8.587344e-01
59,-1.388155e+03,1.944428e+00,8.587344e-01
60,-1.395483e+03,1.935660e+00,8.587344e-01
61,-1.402682e+03,1.927077e+00,8.587344e-01
62,-1.409748e+03,1.918640e+00,8.587344e-01
63,-1.416681e+03,1.910313e+00,8.587344e-01
64,-1.423510e+03,1.902023e+00,8.587344e-01
65,-1.430222e+03,1.893790e+00,8.587344e-01
66,-1.436787e+03,1.885574e+00,8.587344e-01
67,-1.443219e+03,1.877456e+00,8.587344e-01
68,-1.449551e+03,1.869463e+00,8.587344e-01
69,-1.455795e+03,1.861474e+00,8.587344e-01
70,-1.461954e+03,1.853491e+00,8.587344e-01
71,-1.468003e+03,1.845513e+00,8.587344e-01
72,-1.473955e+03,1.837546e+00,8.587344e-01
73,-1.479799e+03,1.829640e+00,8.587344e-01
74,-1.485552e+03,1.821855e+00,8.587344e-01
75,-1.491218e+03,1.814115e+00,8.587344e-01
76,-1.496808e+03,1.806392e+00,8.587344e-01
77,-1.502317e+03,1.798976e+00,8.587344e-01
78,-1.507737e+03,1.791855e+00,8.587344e-01
79,-1.513086e+03,1.784802e+00,8.587344e-01
80,-1.518335e+03,1.777961e+00,8.587344e-01
81,-1.523511e+03,1.771224e+00,8.587344e-01
82,-1.528612e+03,1.764533e+00,8.587344e-01
83,-1.533649e+03,1.757913e+00,8.587344e-01
84,-1.538596e+03,1.751490e+00,8.587344e-01
85,-1.543455e+03,1.745144e+00,8.587344e-01
86,-1.548249e+03,1.738807e+00,8.587344e-01
87,-1.552975e+03,1.732699e+00,8.587344e-01
88,-1.557638e+03,1.726730e+00,8.587344e-01
