iter,average value,advantage gap
1,1.011746e+03,1.192283e+01
2,1.000408e+03,3.726108e+00
3,1.000298e+03,1.247565e-01
4,1.000274e+03,1.465263e-02
5,1.000266e+03,8.017074e-03
6,1.000262e+03,3.009069e-02
7,1.000256e+03,3.166532e-02
8,1.000252e+03,5.507606e-03
9,1.000247e+03,2.770972e-02
10,1.000243e+03,2.394760e-03
11,1.000240e+03,5.577861e-04
12,1.000240e+03,6.475750e-03
13,1.000238e+03,7.385251e-03
14,1.000237e+03,4.695578e-05
15,1.000237e+03,3.135841e-07
16,1.000237e+03,7.958079e-13
16,1.000237e+03,7.958079e-13
