iter,average value,advantage gap
1,1.000000e+03,2.100000e+01
2,8.320000e+02,2.097900e+04
3,4.813567e+02,2.095802e+04
4,-4.744298e+02,2.093706e+04
5,-2.239054e+03,2.091613e+04
6,-4.494089e+03,2.089521e+04
7,-5.532762e+03,1.038529e+04
8,-6.364062e+03,1.065718e+04
9,-7.276229e+03,1.109908e+04
10,-8.344047e+03,1.175288e+04
11,-1.015980e+04,1.322640e+04
12,-1.315415e+04,1.573043e+04
13,-1.464965e+04,1.637135e+04
14,-1.603819e+04,1.725441e+04
15,-1.774269e+04,1.867276e+04
16,-1.955161e+04,1.091394e-11
17,-1.955161e+04,7.275958e-12
18,-1.955161e+04,7.275958e-12
19,-1.955161e+04,7.275958e-12
19,-1.955161e+04,7.275958e-12
