iter,average value,advantage gap,greedy advantage gap
1,1.065847e+02,1.045222e+01,9.546193e-01
2,1.063365e+02,9.959793e+00,9.546193e-01
3,1.058949e+02,9.098146e+00,9.546193e-01
4,1.051766e+02,7.739863e+00,5.331777e-01
5,1.041502e+02,5.902609e+00,5.327803e-01
6,1.028874e+02,3.839652e+00,5.328359e-01
7,1.016309e+02,2.062565e+00,6.089931e-01
8,1.009326e+02,1.044819e+00,4.943272e-01
9,1.007359e+02,5.691409e-01,4.941711e-01
10,1.005833e+02,2.981224e-01,4.942184e-01
11,1.004051e+02,1.541476e-01,1.229716e-01
12,1.003567e+02,6.853587e-02,6.166164e-02
13,1.003092e+02,4.389864e-02,2.602921e-02
14,1.002868e+02,3.905979e-02,2.958277e-02
15,1.002762e+02,5.150747e-02,3.802300e-02
16,1.002617e+02,4.247030e-02,1.554435e-02
17,1.002505e+02,1.720258e-02,1.027162e-02
18,1.002411e+02,2.004675e-02,1.085060e-02
19,1.002372e+02,4.882898e-03,1.457010e-02
20,1.002328e+02,8.809885e-03,4.032429e-03
21,1.002298e+02,1.008971e-02,1.524685e-03
22,1.002285e+02,2.831268e-03,1.536370e-03
23,1.002277e+02,7.208451e-04,5.651438e-04
24,1.002273e+02,3.485509e-04,1.759175e-04
25,1.002269e+02,2.665704e-04,2.703142e-04
26,1.002267e+02,1.646358e-04,1.035414e-05
27,1.002266e+02,5.539429e-05,7.203242e-06
28,1.002265e+02,6.626526e-06,2.073506e-10
29,1.002265e+02,5.229462e-06,3.024354e-10
30,1.002265e+02,7.164127e-07,3.024354e-10
31,1.002265e+02,2.325011e-07,9.947598e-14
31,1.002265e+02,2.325011e-07,9.947598e-14
