iter,average value,advantage gap
1,-1.907701e+02,7.797382e+00
2,-2.363346e+03,1.831769e+00
3,-2.494100e+03,8.523555e-02
4,-2.495911e+03,4.547474e-13
4,-2.495911e+03,4.547474e-13
