iter,average value,advantage gap
1,-2.185183e+01,6.883138e+00
2,-2.404518e+03,1.583645e+00
3,-2.519599e+03,4.870280e-01
4,-2.526950e+03,4.547474e-13
4,-2.526950e+03,4.547474e-13
