iter,average value,advantage gap
1,1.411514e+02,1.968117e+01
2,9.983737e+01,9.149635e+00
3,9.695503e+01,1.170331e+01
4,8.928219e+01,1.650123e+01
5,4.784328e+01,8.225162e+00
6,4.408973e+01,5.918657e+00
7,4.356766e+01,1.418219e-01
8,4.352079e+01,6.605005e-03
9,4.351973e+01,7.169892e-04
10,4.351962e+01,2.842171e-14
10,4.351962e+01,2.842171e-14
