iter,point value,point opt_lb,point uni_opt_lb,agg value,agg opt_lb,agg uni_opt_lb,true value,true opt_lb,true uni_opt_lb
1,3.616893e+02,-3.400766e+03,-8.048093e+03,3.616893e+02,-3.400766e+03,-8.048093e+03,3.943987e+02,-8.570916e+00,-1.084205e+03
2,3.779211e+02,-1.555425e+04,-7.494080e+04,3.698052e+02,-8.033716e+03,-3.640946e+04,4.044340e+02,-9.177333e+03,-7.007833e+04
3,3.364167e+02,-1.629712e+04,-8.236832e+04,3.586757e+02,-8.974761e+03,-4.348288e+04,3.658480e+02,-1.527958e+04,-8.963314e+04
4,1.975954e+02,-7.146898e+03,-8.366217e+04,3.184056e+02,-7.845011e+03,-3.356511e+04,2.164842e+02,-7.446373e+03,-8.978351e+04
5,1.103595e+02,-1.688658e+03,-8.259437e+04,2.767964e+02,-6.449662e+03,-2.683001e+04,1.194146e+02,-1.581304e+03,-8.988058e+04
6,1.056112e+02,-1.041178e+03,-8.097062e+04,2.482655e+02,-5.401379e+03,-2.234074e+04,1.157304e+02,-1.145466e+03,-8.299394e+04
7,9.878216e+01,-4.591165e+02,-4.221094e+04,2.269108e+02,-4.643613e+03,-1.913510e+04,1.073157e+02,-4.970231e+02,-4.230419e+04
8,9.184432e+01,5.520397e+01,-2.008159e+03,2.100275e+02,-4.051717e+03,-1.673173e+04,9.997020e+01,6.615837e+01,-1.990612e+03
9,9.181310e+01,5.829480e+01,-2.008188e+03,1.968925e+02,-3.591409e+03,-1.486245e+04,9.991196e+01,6.857670e+01,-1.995698e+03
10,9.178389e+01,5.483573e+01,-2.008217e+03,1.863817e+02,-3.223143e+03,-1.336702e+04,9.986375e+01,6.856403e+01,-1.998351e+03
11,9.163047e+01,5.167480e+01,-2.008370e+03,1.777679e+02,-2.921953e+03,-1.214351e+04,9.977902e+01,6.525917e+01,-1.999495e+03
12,9.160665e+01,5.806724e+01,-2.008393e+03,1.705878e+02,-2.670849e+03,-1.112392e+04,9.972347e+01,6.290039e+01,-1.999982e+03
13,9.160393e+01,5.430268e+01,-2.008396e+03,1.645121e+02,-2.458356e+03,-1.026118e+04,9.971181e+01,6.246686e+01,-2.000171e+03
14,9.160344e+01,5.435093e+01,-2.008397e+03,1.593044e+02,-2.276216e+03,-9.521699e+03,9.970914e+01,6.236050e+01,-2.000267e+03
15,9.160255e+01,5.220939e+01,-2.008397e+03,1.547909e+02,-2.118355e+03,-8.880812e+03,9.970298e+01,6.180026e+01,-2.000480e+03
16,9.153904e+01,3.583821e+01,-2.008461e+03,1.508377e+02,-1.980198e+03,-8.320040e+03,9.966088e+01,5.768406e+01,-2.001825e+03
17,9.138933e+01,1.282755e+01,-2.008611e+03,1.473407e+02,-1.858534e+03,-7.825250e+03,9.947818e+01,3.987964e+01,-2.007272e+03
18,9.116811e+01,-1.073360e+00,-2.008832e+03,1.442200e+02,-1.750290e+03,-7.385449e+03,9.927272e+01,2.007977e+01,-2.012589e+03
19,9.099632e+01,5.651494e+00,-2.009004e+03,1.414188e+02,-1.653392e+03,-6.991952e+03,9.919247e+01,1.280248e+01,-2.013883e+03
20,9.108327e+01,-3.113738e+00,-2.008917e+03,1.389020e+02,-1.566169e+03,-6.637800e+03,9.917283e+01,1.172098e+01,-2.014068e+03
21,9.093522e+01,-1.217894e+01,-2.009065e+03,1.366179e+02,-1.487258e+03,-6.317384e+03,9.908627e+01,9.041158e+00,-2.014175e+03
22,9.093642e+01,-5.580562e+00,-2.009064e+03,1.345414e+02,-1.415522e+03,-6.026097e+03,9.904377e+01,7.427108e+00,-2.014217e+03
23,9.079989e+01,-1.794226e+01,-2.009200e+03,1.326396e+02,-1.350020e+03,-5.760145e+03,9.891530e+01,1.965291e+00,-2.014326e+03
24,9.071324e+01,-3.713843e+01,-2.009285e+03,1.308927e+02,-1.290046e+03,-5.516359e+03,9.880530e+01,-9.067689e+00,-2.014279e+03
25,9.057901e+01,-3.164326e+01,-2.009406e+03,1.292801e+02,-1.234901e+03,-5.292082e+03,9.869796e+01,-1.912019e+01,-2.013102e+03
26,9.049489e+01,-3.146795e+01,-2.009386e+03,1.277884e+02,-1.183974e+03,-5.085059e+03,9.864758e+01,-2.235324e+01,-2.002722e+03
27,9.053672e+01,-4.024496e+01,-3.851485e+03,1.264087e+02,-1.136762e+03,-4.893371e+03,9.860993e+01,-2.387825e+01,-1.993521e+03
28,9.043101e+01,-4.758649e+01,-1.988569e+03,1.251238e+02,-1.092978e+03,-4.715378e+03,9.851647e+01,-2.781891e+01,-1.993615e+03
29,9.025750e+01,-5.079070e+01,-3.659070e+03,1.239215e+02,-1.052334e+03,-4.549666e+03,9.834268e+01,-3.434883e+01,-1.993789e+03
30,9.011029e+01,-5.655595e+01,-3.487638e+03,1.227945e+02,-1.014329e+03,-4.395007e+03,9.822968e+01,-3.810129e+01,-1.993905e+03
31,9.013066e+01,-6.005745e+01,-1.988869e+03,1.217408e+02,-9.787255e+02,-4.250325e+03,9.818070e+01,-3.933343e+01,-1.993978e+03
32,9.004281e+01,-5.850904e+01,-1.988957e+03,1.207502e+02,-9.453378e+02,-4.114689e+03,9.814649e+01,-4.060305e+01,-1.994210e+03
33,8.999891e+01,-5.458334e+01,-1.989001e+03,1.198184e+02,-9.139760e+02,-3.987274e+03,9.811375e+01,-4.081836e+01,-1.995568e+03
34,8.987212e+01,-6.260034e+01,-1.989128e+03,1.189376e+02,-8.844090e+02,-3.867358e+03,9.798480e+01,-4.326405e+01,-2.002845e+03
35,8.959082e+01,-1.064856e+02,-3.052521e+03,1.180991e+02,-8.567022e+02,-3.754302e+03,9.775860e+01,-4.701894e+01,-2.014736e+03
36,8.920792e+01,-1.126663e+02,-1.989792e+03,1.172966e+02,-8.305901e+02,-3.647538e+03,9.732457e+01,-5.390131e+01,-2.040169e+03
37,8.888988e+01,-1.110536e+02,-3.652596e+03,1.165288e+02,-8.057749e+02,-3.546553e+03,9.695436e+01,-5.804699e+01,-2.057815e+03
38,8.892623e+01,-1.172783e+02,-3.425942e+03,1.158025e+02,-7.821882e+02,-3.450883e+03,9.689435e+01,-5.754064e+01,-2.066585e+03
39,8.869410e+01,-1.127163e+02,-3.788595e+03,1.151074e+02,-7.598863e+02,-3.360125e+03,9.677032e+01,-5.817791e+01,-2.073476e+03
40,8.847643e+01,-1.093314e+02,-3.406698e+03,1.144416e+02,-7.388135e+02,-3.273910e+03,9.663753e+01,-5.840104e+01,-2.083823e+03
41,8.838790e+01,-1.481146e+02,-3.828066e+03,1.138061e+02,-7.187647e+02,-3.191902e+03,9.645359e+01,-5.954837e+01,-2.099091e+03
42,8.811495e+01,-1.163096e+02,-3.796029e+03,1.131944e+02,-6.996742e+02,-3.113807e+03,9.624776e+01,-5.696823e+01,-2.112547e+03
