iter,average value,advantage gap
1,1.423706e+01,9.044016e+00
2,1.013839e+01,7.045879e+00
3,9.657001e+00,5.791294e+00
4,8.194561e+00,4.394062e+00
5,7.684205e+00,1.167578e+00
6,7.522670e+00,3.889820e-01
7,7.518161e+00,1.072378e-02
8,7.517529e+00,9.614311e-04
9,7.517517e+00,4.424860e-06
10,7.517517e+00,1.065814e-14
10,7.517517e+00,1.065814e-14
