iter,point value,point opt_lb,point uni_opt_lb,agg value,agg opt_lb,agg uni_opt_lb,true value,true opt_lb,true uni_opt_lb
1,1.308603e+02,-2.104694e+03,-7.003364e+03,1.308603e+02,-2.104694e+03,-7.003364e+03,1.416978e+02,-1.850892e+02,-1.224160e+03
2,9.861165e+01,-6.447666e+02,-1.299510e+04,1.147360e+02,-1.163327e+03,-5.652576e+03,1.069169e+02,-9.697299e+01,-1.250228e+04
3,9.773700e+01,-5.469134e+02,-3.526569e+04,1.090696e+02,-8.611196e+02,-1.039951e+04,1.051271e+02,-8.475514e+01,-1.127605e+04
4,9.297608e+01,-1.614520e+02,-3.069744e+03,1.050463e+02,-6.295473e+02,-7.834710e+03,1.010418e+02,2.564718e+01,-7.143300e+02
5,9.232006e+01,-1.622884e+02,-2.743301e+03,1.025010e+02,-4.900578e+02,-6.251462e+03,1.003140e+02,3.414679e+01,-6.781281e+02
6,9.186704e+01,-2.075341e+02,-3.917667e+03,1.007287e+02,-3.992961e+02,-5.195131e+03,9.983861e+01,2.173016e+01,-9.653788e+02
7,9.098973e+01,-2.184685e+02,-2.030940e+03,9.933740e+01,-3.353811e+02,-4.439971e+03,9.896996e+01,2.177150e+01,-7.048421e+02
8,9.046567e+01,-2.366291e+02,-2.819505e+03,9.822844e+01,-2.877074e+02,-3.873668e+03,9.842883e+01,1.792093e+01,-6.651345e+02
9,8.959232e+01,-2.781551e+02,-2.490954e+03,9.726887e+01,-2.491660e+02,-3.433299e+03,9.768316e+01,6.022389e+00,-7.407562e+02
10,8.891669e+01,-3.172690e+02,-2.201375e+03,9.643365e+01,-2.186713e+02,-3.081393e+03,9.660787e+01,1.731209e+00,-8.601435e+02
11,8.771489e+01,-3.450645e+02,-2.443053e+03,9.564104e+01,-1.959094e+02,-2.793315e+03,9.570522e+01,-5.288319e+00,-8.865766e+02
12,8.713025e+01,-4.506999e+02,-2.955318e+03,9.493180e+01,-1.768290e+02,-2.553264e+03,9.475707e+01,-1.004537e+01,-7.187778e+02
13,8.370203e+01,-5.146335e+02,-2.829907e+03,9.406797e+01,-1.631245e+02,-2.350420e+03,9.129695e+01,-2.314854e+01,-7.401921e+02
14,8.235217e+01,-5.972122e+02,-2.972330e+03,9.323113e+01,-1.523435e+02,-2.176650e+03,8.989244e+01,-2.659012e+01,-8.162148e+02
15,8.090624e+01,-5.432371e+02,-2.937705e+03,9.240947e+01,-1.419208e+02,-2.026152e+03,8.829840e+01,-2.721888e+01,-8.804610e+02
16,7.777054e+01,-6.279624e+02,-2.637612e+03,9.149454e+01,-1.326612e+02,-1.894646e+03,8.498340e+01,-3.383030e+01,-9.135162e+02
17,7.634060e+01,-7.324632e+02,-2.973104e+03,9.060313e+01,-1.253686e+02,-1.778649e+03,8.274614e+01,-3.350765e+01,-9.932621e+02
18,8.043570e+01,-5.960506e+02,-3.368971e+03,9.003827e+01,-1.180108e+02,-1.675563e+03,8.694157e+01,-1.068598e+01,-9.450275e+02
19,7.811140e+01,-6.110513e+02,-3.690343e+03,8.941054e+01,-1.119004e+02,-1.583351e+03,8.480984e+01,-1.488673e+01,-4.835514e+02
20,7.618801e+01,-6.596731e+02,-3.056641e+03,8.874942e+01,-1.070101e+02,-1.500370e+03,8.293904e+01,-2.599934e+01,-5.666614e+02
21,7.483681e+01,-7.218563e+02,-4.294188e+03,8.808691e+01,-1.029288e+02,-1.425313e+03,8.134995e+01,-3.084400e+01,-7.427457e+02
22,7.641664e+01,-6.065535e+02,-2.862777e+03,8.755644e+01,-9.893887e+01,-1.357046e+03,8.352583e+01,-1.546878e+01,-7.958442e+02
23,7.050889e+01,-8.084217e+02,-3.913884e+03,8.681525e+01,-9.637580e+01,-1.295044e+03,7.647853e+01,-3.460008e+01,-6.466931e+02
24,6.908984e+01,-7.652646e+02,-3.689486e+03,8.607669e+01,-9.314676e+01,-1.238348e+03,7.504941e+01,-3.814007e+01,-7.930666e+02
25,7.163820e+01,-7.839443e+02,-3.737252e+03,8.549915e+01,-9.040617e+01,-1.185948e+03,7.721899e+01,-3.168300e+01,-7.521720e+02
26,7.160429e+01,-6.839467e+02,-3.896699e+03,8.496473e+01,-8.683420e+01,-1.137665e+03,7.797571e+01,-2.339272e+01,-6.414615e+02
27,6.900091e+01,-8.057584e+02,-4.145791e+03,8.437348e+01,-8.435120e+01,-1.092958e+03,7.500180e+01,-4.422943e+01,-7.530770e+02
28,6.602558e+01,-8.492735e+02,-3.665655e+03,8.371820e+01,-8.159661e+01,-1.051574e+03,7.201196e+01,-4.286925e+01,-9.730077e+02
29,6.585254e+01,-7.944053e+02,-4.757508e+03,8.310214e+01,-7.949125e+01,-1.013049e+03,7.188727e+01,-4.391490e+01,-1.568083e+03
30,6.693788e+01,-7.582750e+02,-4.857518e+03,8.256333e+01,-7.832184e+01,-9.769971e+02,7.278590e+01,-2.604480e+01,-8.207691e+02
