iter,point value,point opt_lb,point uni_opt_lb,agg value,agg opt_lb,agg uni_opt_lb,true value,true opt_lb,true uni_opt_lb
1,1.301211e+02,-2.130136e+03,-7.362083e+03,1.301211e+02,-2.130136e+03,-7.362083e+03,1.416978e+02,-1.850892e+02,-1.224160e+03
2,1.030187e+02,-9.106625e+02,-7.139429e+03,1.165699e+02,-1.235293e+03,-3.628670e+03,1.113615e+02,-1.684754e+02,-2.825716e+03
3,9.477316e+01,-4.120719e+02,-9.981911e+03,1.093043e+02,-8.155681e+02,-3.125268e+03,1.028767e+02,-3.159874e+01,-7.537805e+03
4,9.237011e+01,-2.647614e+02,-2.662343e+03,1.050708e+02,-6.016324e+02,-2.327489e+03,1.006086e+02,4.257624e+00,-8.876767e+02
5,9.096968e+01,-2.559519e+02,-2.783785e+03,1.022506e+02,-4.726512e+02,-1.846656e+03,9.933890e+01,6.170059e+00,-7.910714e+02
6,9.081171e+01,-3.000552e+02,-2.566374e+03,1.003441e+02,-3.843087e+02,-1.523695e+03,9.858692e+01,7.637130e+00,-7.423092e+02
7,8.928039e+01,-2.946409e+02,-2.276040e+03,9.876355e+01,-3.210991e+02,-1.297067e+03,9.708473e+01,3.834984e+00,-7.796183e+02
8,8.856231e+01,-3.578756e+02,-2.115027e+03,9.748840e+01,-2.757564e+02,-1.124080e+03,9.602744e+01,-4.351574e+00,-8.075074e+02
9,8.686979e+01,-3.507999e+02,-3.270555e+03,9.630855e+01,-2.396671e+02,-9.893470e+02,9.476407e+01,-3.527611e+00,-9.534414e+02
10,8.599950e+01,-3.746021e+02,-2.385694e+03,9.527765e+01,-2.125783e+02,-8.815820e+02,9.394128e+01,-4.527011e+00,-9.140172e+02
11,8.491722e+01,-4.107437e+02,-2.466954e+03,9.433579e+01,-1.907154e+02,-7.934747e+02,9.228186e+01,-1.141452e+01,-9.482341e+02
12,8.381767e+01,-4.129522e+02,-2.105760e+03,9.345928e+01,-1.724158e+02,-7.205913e+02,9.160406e+01,-1.542080e+00,-7.003299e+02
13,8.260040e+01,-5.163742e+02,-3.362209e+03,9.262398e+01,-1.573150e+02,-6.592851e+02,8.973908e+01,-7.333299e+00,-9.694581e+02
14,7.999649e+01,-6.729986e+02,-3.928047e+03,9.172202e+01,-1.475519e+02,-6.062020e+02,8.735734e+01,-2.836399e+01,-1.355612e+03
15,7.792405e+01,-6.661165e+02,-3.122022e+03,9.080215e+01,-1.384188e+02,-5.607462e+02,8.480373e+01,-2.918013e+01,-1.074050e+03
16,7.656416e+01,-7.586633e+02,-3.653937e+03,8.991228e+01,-1.312568e+02,-5.196703e+02,8.326709e+01,-3.890386e+01,-1.278417e+03
17,7.497711e+01,-7.385971e+02,-3.525163e+03,8.903374e+01,-1.260897e+02,-4.949660e+02,8.167229e+01,-3.480639e+01,-7.591320e+02
18,7.212204e+01,-7.449189e+02,-3.154377e+03,8.809420e+01,-1.199991e+02,-4.651006e+02,7.794583e+01,-2.932489e+01,-6.401197e+02
19,7.078161e+01,-6.589455e+02,-2.941213e+03,8.718301e+01,-1.149692e+02,-4.368670e+02,7.769524e+01,-2.875975e+01,-6.222908e+02
20,7.042083e+01,-6.638125e+02,-2.833177e+03,8.634490e+01,-1.106379e+02,-4.114902e+02,7.668873e+01,-3.079003e+01,-9.105748e+02
21,7.098381e+01,-6.472339e+02,-3.619096e+03,8.561342e+01,-1.052452e+02,-3.884889e+02,7.760591e+01,-2.109306e+01,-9.354499e+02
22,7.288543e+01,-6.439351e+02,-3.048645e+03,8.503488e+01,-9.931275e+01,-3.675481e+02,7.865083e+01,-1.358866e+01,-8.006976e+02
23,7.358869e+01,-6.748090e+02,-3.282962e+03,8.453722e+01,-9.410619e+01,-3.483048e+02,7.957247e+01,-1.101359e+01,-8.132904e+02
24,7.085914e+01,-7.609760e+02,-3.784323e+03,8.396730e+01,-8.992605e+01,-3.308241e+02,7.699283e+01,-1.971318e+01,-8.311258e+02
25,6.876301e+01,-7.115045e+02,-3.686835e+03,8.335913e+01,-8.647507e+01,-3.149064e+02,7.424195e+01,-2.252354e+01,-6.450740e+02
26,6.906838e+01,-6.843698e+02,-2.996772e+03,8.280948e+01,-8.378052e+01,-3.000443e+02,7.501370e+01,-3.124348e+01,-6.520648e+02
27,6.655635e+01,-7.931122e+02,-3.272812e+03,8.220751e+01,-8.064735e+01,-2.867303e+02,7.214223e+01,-2.542716e+01,-6.541018e+02
28,6.934370e+01,-7.545535e+02,-3.575247e+03,8.174809e+01,-7.857228e+01,-2.738401e+02,7.566258e+01,-2.642265e+01,-6.750014e+02
29,6.789576e+01,-7.411132e+02,-4.068345e+03,8.127043e+01,-7.572072e+01,-2.615955e+02,7.407002e+01,-3.363680e+01,-7.555984e+02
