iter,average value,advantage gap,greedy advantage gap
1,-1.309520e+00,4.014326e+00,8.834003e-03
2,-4.950351e+01,3.512901e+00,3.195649e-02
3,-8.196933e+01,3.146942e+00,3.195649e-02
4,-1.014445e+02,2.896338e+00,3.195649e-02
5,-1.148148e+02,2.728095e+00,3.195649e-02
6,-1.250388e+02,2.600770e+00,3.195649e-02
7,-1.332161e+02,2.487675e+00,3.195649e-02
8,-1.399624e+02,2.385845e+00,3.195649e-02
9,-1.456907e+02,2.302313e+00,3.195649e-02
10,-1.506599e+02,2.229855e+00,3.195649e-02
11,-1.550495e+02,2.160140e+00,3.195649e-02
12,-1.589763e+02,2.094511e+00,8.834003e-03
13,-1.625031e+02,2.034231e+00,8.834003e-03
14,-1.657375e+02,1.980932e+00,8.834003e-03
15,-1.686913e+02,1.929457e+00,8.834003e-03
16,-1.714262e+02,1.879277e+00,8.834003e-03
17,-1.739621e+02,1.833780e+00,8.834003e-03
18,-1.763142e+02,1.790123e+00,8.834003e-03
19,-1.785467e+02,1.748093e+00,8.834003e-03
20,-1.806508e+02,1.706069e+00,8.834003e-03
21,-1.826041e+02,1.667092e+00,8.834003e-03
22,-1.844274e+02,1.628798e+00,8.834003e-03
23,-1.861380e+02,1.590436e+00,8.834003e-03
24,-1.877596e+02,1.552141e+00,8.834003e-03
25,-1.892992e+02,1.514363e+00,8.834003e-03
26,-1.907451e+02,1.478453e+00,8.834003e-03
27,-1.921140e+02,1.443994e+00,8.834003e-03
28,-1.934180e+02,1.410678e+00,8.834003e-03
29,-1.946688e+02,1.377387e+00,8.834003e-03
30,-1.958661e+02,1.344074e+00,8.834003e-03
31,-1.970124e+02,1.310781e+00,8.834003e-03
32,-1.981218e+02,1.277491e+00,8.834003e-03
33,-1.991941e+02,1.244198e+00,8.834003e-03
34,-2.002224e+02,1.212072e+00,8.834003e-03
35,-2.012169e+02,1.182154e+00,8.834003e-03
36,-2.021794e+02,1.153158e+00,8.834003e-03
37,-2.031060e+02,1.124163e+00,8.834003e-03
38,-2.039891e+02,1.096322e+00,8.834003e-03
39,-2.048452e+02,1.069043e+00,8.834003e-03
40,-2.056801e+02,1.041746e+00,8.834003e-03
41,-2.064866e+02,1.015721e+00,8.834003e-03
42,-2.072635e+02,9.902528e-01,8.834003e-03
43,-2.080130e+02,9.647746e-01,8.834003e-03
44,-2.087386e+02,9.393018e-01,8.834003e-03
45,-2.094432e+02,9.138334e-01,8.834003e-03
46,-2.101302e+02,8.883623e-01,8.820741e-03
47,-2.108008e+02,8.629401e-01,8.820741e-03
48,-2.114527e+02,8.391652e-01,8.820741e-03
49,-2.120836e+02,8.173697e-01,8.820741e-03
50,-2.126947e+02,7.957112e-01,8.820741e-03
51,-2.132945e+02,7.783980e-01,8.820741e-03
52,-2.138802e+02,7.667376e-01,8.820741e-03
53,-2.144530e+02,7.550699e-01,8.820741e-03
54,-2.150086e+02,7.434004e-01,8.820741e-03
55,-2.155461e+02,7.317547e-01,8.820741e-03
56,-2.160703e+02,7.201055e-01,8.820741e-03
57,-2.165790e+02,7.084356e-01,8.820741e-03
58,-2.170745e+02,6.973480e-01,8.820741e-03
59,-2.175588e+02,6.867601e-01,8.820741e-03
60,-2.180311e+02,6.761766e-01,8.820741e-03
61,-2.184909e+02,6.656042e-01,8.820741e-03
62,-2.189434e+02,6.550320e-01,8.820741e-03
63,-2.193880e+02,6.475476e-01,8.820741e-03
64,-2.198170e+02,6.401329e-01,8.820741e-03
65,-2.202362e+02,6.327095e-01,8.820741e-03
66,-2.206510e+02,6.252894e-01,8.820741e-03
67,-2.210550e+02,6.178694e-01,8.820741e-03
68,-2.214502e+02,6.104294e-01,8.820741e-03
69,-2.218309e+02,6.029698e-01,8.820741e-03
70,-2.222057e+02,5.955060e-01,3.764591e-03
71,-2.225761e+02,5.881008e-01,3.764591e-03
72,-2.229397e+02,5.809694e-01,3.764591e-03
73,-2.232973e+02,5.738440e-01,3.764591e-03
74,-2.236489e+02,5.667304e-01,3.764591e-03
75,-2.239920e+02,5.596179e-01,3.764591e-03
76,-2.243279e+02,5.525105e-01,3.764591e-03
77,-2.246544e+02,5.454247e-01,3.764591e-03
78,-2.249734e+02,5.383429e-01,3.764591e-03
79,-2.252872e+02,5.316107e-01,3.764591e-03
80,-2.255957e+02,5.249211e-01,3.764591e-03
81,-2.258998e+02,5.182384e-01,3.764591e-03
82,-2.262007e+02,5.115625e-01,3.764591e-03
83,-2.264972e+02,5.048853e-01,3.764591e-03
84,-2.267876e+02,4.982017e-01,3.764591e-03
85,-2.270738e+02,4.915205e-01,3.764591e-03
86,-2.273555e+02,4.848393e-01,3.764591e-03
87,-2.276327e+02,4.781608e-01,3.764591e-03
88,-2.279053e+02,4.714898e-01,3.764591e-03
89,-2.281743e+02,4.648224e-01,3.764591e-03
90,-2.284407e+02,4.581640e-01,3.764591e-03
91,-2.287035e+02,4.518396e-01,3.764591e-03
92,-2.289586e+02,4.455120e-01,3.764591e-03
93,-2.292103e+02,4.395352e-01,3.764591e-03
94,-2.294581e+02,4.350408e-01,3.764591e-03
95,-2.297043e+02,4.305410e-01,3.764591e-03
96,-2.299487e+02,4.260346e-01,3.764591e-03
97,-2.301868e+02,4.215287e-01,3.764591e-03
98,-2.304214e+02,4.170158e-01,3.764591e-03
99,-2.306547e+02,4.124972e-01,3.764591e-03
100,-2.308860e+02,4.079824e-01,3.764591e-03
110,-2.329786e+02,3.644068e-01,3.764591e-03
120,-2.347587e+02,3.238538e-01,3.764591e-03
130,-2.363595e+02,2.991138e-01,3.764591e-03
140,-2.378012e+02,2.742983e-01,3.764591e-03
150,-2.390566e+02,2.560481e-01,3.764591e-03
160,-2.400899e+02,2.402903e-01,3.764591e-03
170,-2.409836e+02,2.245032e-01,3.764591e-03
180,-2.418152e+02,2.095102e-01,3.764591e-03
190,-2.425698e+02,1.968854e-01,3.764591e-03
200,-2.432475e+02,1.877978e-01,3.764591e-03
210,-2.438390e+02,1.804392e-01,3.764591e-03
220,-2.443832e+02,1.730950e-01,3.764591e-03
230,-2.449059e+02,1.657948e-01,3.764591e-03
238,-2.536959e+02,1.599864e-01,1.705303e-13
