iter,average value,advantage gap,greedy advantage gap
1,2.452844e-01,3.642049e+00,2.259652e-02
2,-5.263989e+01,3.168521e+00,2.259652e-02
3,-8.542622e+01,2.839825e+00,2.259652e-02
4,-1.046770e+02,2.648480e+00,2.259652e-02
5,-1.181209e+02,2.508477e+00,2.259652e-02
6,-1.282013e+02,2.384743e+00,2.259652e-02
7,-1.361178e+02,2.276422e+00,2.259652e-02
8,-1.427087e+02,2.183807e+00,2.259652e-02
9,-1.482912e+02,2.105902e+00,2.259652e-02
10,-1.531265e+02,2.033785e+00,2.259652e-02
11,-1.573991e+02,1.971500e+00,1.750475e-02
12,-1.612182e+02,1.915340e+00,1.750475e-02
13,-1.646713e+02,1.861309e+00,1.750475e-02
14,-1.678048e+02,1.811924e+00,1.750475e-02
15,-1.706565e+02,1.764182e+00,1.750475e-02
16,-1.732783e+02,1.718088e+00,1.750475e-02
17,-1.757158e+02,1.674126e+00,1.750475e-02
18,-1.780034e+02,1.630121e+00,1.750475e-02
19,-1.801316e+02,1.587113e+00,1.750475e-02
20,-1.821164e+02,1.545930e+00,2.273737e-13
20,-2.530923e+02,1.545930e+00,2.273737e-13
