iter,average value,advantage gap
1,1.000000e+01,2.100000e+01
2,8.320000e+00,1.890000e+02
3,5.296000e+00,1.701000e+02
4,-9.178935e-01,1.530900e+02
5,-1.038237e+01,1.377810e+02
6,-2.024916e+01,1.240029e+02
7,-2.360985e+01,3.504780e+01
8,-2.605187e+01,3.154302e+01
9,-2.826959e+01,2.876684e+01
10,-3.024108e+01,2.629025e+01
11,-3.206208e+01,2.409490e+01
12,-3.399013e+01,2.219479e+01
13,-3.635657e+01,2.065448e+01
14,-3.794297e+01,1.892758e+01
15,-3.909755e+01,1.733312e+01
16,-3.994156e+01,1.583035e+01
17,-4.052865e+01,3.552714e-14
18,-4.052865e+01,3.552714e-14
19,-4.052865e+01,3.552714e-14
19,-4.052865e+01,3.552714e-14
