iter,point value,point opt_lb,point uni_opt_lb,agg value,agg opt_lb,agg uni_opt_lb,true value,true opt_lb,true uni_opt_lb
1,3.912671e+01,-8.173284e+01,-2.645178e+02,3.912671e+01,-8.173284e+01,-2.645178e+02,3.949441e+01,4.384477e+00,-1.894208e+02
2,2.552047e+01,-1.041440e+02,-1.365712e+03,3.232359e+01,-6.665352e+01,-6.993065e+02,2.578039e+01,-2.271433e+01,-6.977721e+02
3,1.334066e+01,-1.047788e+02,-2.335861e+03,2.599595e+01,-6.232573e+01,-8.028996e+02,1.327321e+01,-4.491566e+01,-2.321237e+03
4,5.250295e+00,-6.996513e+01,-1.729517e+03,2.080954e+01,-5.446833e+01,-6.008621e+02,5.395498e+00,-3.938842e+01,-1.538750e+03
5,-3.220209e-01,-7.829968e+01,-1.529347e+03,1.658322e+01,-5.203269e+01,-4.807541e+02,-6.693143e-01,-4.305888e+01,-1.380230e+03
6,-6.502633e+00,-5.245130e+01,-1.654012e+03,1.273558e+01,-4.826237e+01,-4.793003e+02,-6.720433e+00,-3.530700e+01,-1.193727e+03
7,-9.774682e+00,-5.361249e+01,-1.636673e+03,9.519829e+00,-4.486070e+01,-4.122274e+02,-1.048310e+01,-2.455131e+01,-1.381735e+03
8,-1.098391e+01,-3.801370e+01,-1.426084e+03,6.956862e+00,-4.204536e+01,-3.620720e+02,-1.040323e+01,-2.560725e+01,-1.145069e+03
9,-1.177037e+01,-5.741172e+01,-1.540848e+03,4.876058e+00,-4.020880e+01,-3.231496e+02,-1.198578e+01,-2.868323e+01,-8.581498e+02
10,-1.571057e+01,-7.862144e+01,-1.505749e+03,2.817395e+00,-4.028350e+01,-2.924057e+02,-1.564459e+01,-3.648815e+01,-1.474659e+03
11,-2.010118e+01,-7.439141e+01,-1.549177e+03,7.338880e-01,-4.057892e+01,-2.676539e+02,-1.863883e+01,-4.290807e+01,-6.273591e+02
12,-1.972126e+01,-9.378361e+01,-2.078645e+03,-9.707074e-01,-4.114583e+01,-2.562227e+02,-1.797381e+01,-5.177004e+01,-1.458554e+03
13,-1.808663e+01,-1.057247e+02,-2.077031e+03,-2.287317e+00,-4.084461e+01,-2.698392e+02,-1.936786e+01,-5.734184e+01,-1.533419e+03
14,-2.414644e+01,-1.339637e+02,-1.553224e+03,-3.848683e+00,-4.154537e+01,-3.017423e+02,-2.523632e+01,-5.132435e+01,-6.687051e+02
15,-2.404369e+01,-1.045298e+02,-1.620149e+03,-5.195017e+00,-4.179900e+01,-2.832291e+02,-2.411252e+01,-5.090334e+01,-1.420051e+03
16,-2.204915e+01,-1.037486e+02,-1.873526e+03,-6.248400e+00,-4.173370e+01,-2.809893e+02,-2.149178e+01,-5.357865e+01,-1.418245e+03
17,-2.594809e+01,-1.303781e+02,-1.464798e+03,-7.407205e+00,-4.203579e+01,-2.753869e+02,-2.612090e+01,-4.832386e+01,-7.048061e+02
18,-2.545618e+01,-1.278364e+02,-1.400543e+03,-8.409926e+00,-4.228455e+01,-2.615018e+02,-2.560356e+01,-4.969918e+01,-7.196125e+02
19,-2.864404e+01,-1.567367e+02,-1.467716e+03,-9.474879e+00,-4.322655e+01,-2.492462e+02,-2.750811e+01,-6.394988e+01,-7.215586e+02
20,-2.938934e+01,-1.976073e+02,-2.203668e+03,-1.047060e+01,-4.441482e+01,-3.062925e+02,-3.026452e+01,-7.100667e+01,-1.455483e+03
21,-3.083240e+01,-1.768780e+02,-1.559909e+03,-1.144021e+01,-4.528539e+01,-2.931753e+02,-3.046473e+01,-6.261866e+01,-6.588108e+02
22,-2.799010e+01,-1.683441e+02,-1.859741e+03,-1.219248e+01,-4.558269e+01,-2.811214e+02,-2.837453e+01,-6.204048e+01,-1.349514e+03
23,-2.884996e+01,-2.223453e+02,-1.557927e+03,-1.291672e+01,-4.609350e+01,-2.701531e+02,-3.185915e+01,-6.101300e+01,-7.296037e+02
24,-2.973509e+01,-2.108047e+02,-1.699962e+03,-1.361748e+01,-4.672918e+01,-2.601357e+02,-3.105003e+01,-6.694164e+01,-1.049137e+03
25,-3.105335e+01,-1.842193e+02,-1.560130e+03,-1.431492e+01,-4.708613e+01,-2.509724e+02,-3.128641e+01,-5.650893e+01,-5.836190e+02
26,-3.113845e+01,-1.947686e+02,-1.560216e+03,-1.496198e+01,-4.738594e+01,-2.425173e+02,-3.141903e+01,-6.276708e+01,-6.204802e+02
27,-3.027842e+01,-1.815039e+02,-1.958282e+03,-1.552925e+01,-4.774287e+01,-2.346566e+02,-2.947757e+01,-6.083439e+01,-1.264980e+03
28,-2.852770e+01,-1.985032e+02,-1.627602e+03,-1.599348e+01,-4.822691e+01,-2.272948e+02,-3.091367e+01,-5.504656e+01,-8.227856e+02
29,-2.665767e+01,-2.007709e+02,-2.085082e+03,-1.636121e+01,-4.833338e+01,-2.203763e+02,-2.694400e+01,-7.079756e+01,-1.587441e+03
30,-2.777128e+01,-1.599511e+02,-1.569006e+03,-1.674155e+01,-4.844947e+01,-2.139561e+02,-2.850565e+01,-5.436689e+01,-8.058195e+02
31,-2.935934e+01,-1.840705e+02,-1.629179e+03,-1.714857e+01,-4.846204e+01,-2.080012e+02,-3.040321e+01,-5.807713e+01,-8.017109e+02
32,-3.387618e+01,-2.246626e+02,-1.371236e+03,-1.767131e+01,-4.876393e+01,-2.085094e+02,-3.463570e+01,-6.713420e+01,-6.076934e+02
33,-3.248998e+01,-2.190883e+02,-1.471567e+03,-1.812036e+01,-4.913043e+01,-2.186884e+02,-3.367806e+01,-6.700792e+01,-7.293052e+02
34,-2.995571e+01,-2.082678e+02,-1.559033e+03,-1.846846e+01,-4.904808e+01,-2.131358e+02,-3.198689e+01,-5.596876e+01,-7.266695e+02
35,-3.189370e+01,-2.106644e+02,-1.560971e+03,-1.885204e+01,-4.906471e+01,-2.080485e+02,-3.226442e+01,-5.690200e+01,-5.279007e+02
36,-3.145715e+01,-2.368209e+02,-1.560534e+03,-1.920218e+01,-4.944269e+01,-2.031431e+02,-3.441985e+01,-6.132552e+01,-1.009512e+03
37,-3.576339e+01,-2.121295e+02,-1.869397e+03,-1.964978e+01,-4.965384e+01,-1.986736e+02,-3.438852e+01,-6.611351e+01,-1.481061e+03
38,-3.534488e+01,-2.245573e+02,-1.564422e+03,-2.006281e+01,-4.980140e+01,-1.943755e+02,-3.612219e+01,-5.999691e+01,-5.946986e+02
39,-3.738892e+01,-2.246919e+02,-1.557172e+03,-2.050707e+01,-4.992854e+01,-1.903502e+02,-3.676989e+01,-6.146659e+01,-7.261188e+02
40,-3.178811e+01,-2.128905e+02,-1.631905e+03,-2.078910e+01,-4.993232e+01,-1.926873e+02,-3.363348e+01,-5.120784e+01,-8.175022e+02
41,-3.348681e+01,-2.440515e+02,-1.562564e+03,-2.109880e+01,-5.003334e+01,-1.898787e+02,-3.548083e+01,-5.853733e+01,-5.907627e+02
42,-3.886997e+01,-2.458415e+02,-1.572657e+03,-2.152192e+01,-5.045652e+01,-1.911846e+02,-3.920836e+01,-6.204263e+01,-6.173337e+02
43,-3.486001e+01,-2.176202e+02,-1.564573e+03,-2.183211e+01,-5.055435e+01,-1.875390e+02,-3.545454e+01,-6.163197e+01,-8.052236e+02
44,-3.486761e+01,-2.159555e+02,-1.614984e+03,-2.212837e+01,-5.056581e+01,-2.100571e+02,-3.703612e+01,-5.754525e+01,-7.792007e+02
45,-3.758212e+01,-2.361845e+02,-1.559814e+03,-2.247179e+01,-5.083196e+01,-2.141955e+02,-3.799858e+01,-5.928099e+01,-5.921933e+02
