iter,point value,point opt_lb,point uni_opt_lb,agg value,agg opt_lb,agg uni_opt_lb,true value,true opt_lb,true uni_opt_lb
1,3.940479e+01,-8.450896e+01,-3.761827e+02,3.940479e+01,-8.450896e+01,-3.761827e+02,3.949441e+01,4.384477e+00,-1.894208e+02
2,2.295101e+01,-9.759571e+01,-1.196839e+03,3.117790e+01,-6.771760e+01,-5.934262e+02,2.346800e+01,-2.143380e+01,-7.128800e+02
3,1.036998e+01,-9.864755e+01,-2.158543e+03,2.424193e+01,-6.029198e+01,-7.238859e+02,1.059525e+01,-4.638012e+01,-2.010493e+03
4,-2.983311e-01,-1.086902e+02,-2.415249e+03,1.810686e+01,-6.066108e+01,-5.612652e+02,1.964904e-01,-7.318790e+01,-2.415969e+03
5,-1.110021e+01,-7.329195e+01,-1.540163e+03,1.226545e+01,-5.712680e+01,-4.512322e+02,-1.120175e+01,-5.142020e+01,-1.369665e+03
6,-1.448841e+01,-7.473445e+01,-1.963317e+03,7.806470e+00,-5.552001e+01,-3.784416e+02,-1.426683e+01,-5.236326e+01,-1.236351e+03
7,-1.844374e+01,-7.994722e+01,-1.766303e+03,4.056440e+00,-5.414519e+01,-3.270777e+02,-1.876167e+01,-4.122567e+01,-1.203476e+03
8,-2.210207e+01,-8.892664e+01,-1.622049e+03,7.866261e-01,-5.279758e+01,-3.784341e+02,-2.172567e+01,-4.482242e+01,-8.061908e+02
9,-2.200430e+01,-1.088610e+02,-1.551081e+03,-1.745700e+00,-5.277328e+01,-3.389759e+02,-2.230472e+01,-4.805887e+01,-7.215440e+02
10,-1.911623e+01,-6.644661e+01,-1.548193e+03,-3.482752e+00,-5.056714e+01,-3.069900e+02,-1.912019e+01,-4.093975e+01,-1.327237e+03
11,-2.344055e+01,-1.087374e+02,-1.619862e+03,-5.297097e+00,-5.000307e+01,-3.463985e+02,-2.403862e+01,-4.743546e+01,-7.774907e+02
12,-2.537796e+01,-1.432622e+02,-1.464455e+03,-6.970502e+00,-5.107964e+01,-3.462814e+02,-2.547693e+01,-5.358312e+01,-6.932908e+02
13,-2.332122e+01,-1.282922e+02,-1.623497e+03,-8.228250e+00,-5.108126e+01,-3.353493e+02,-2.355925e+01,-6.467407e+01,-1.060604e+03
14,-2.317380e+01,-1.376678e+02,-1.552251e+03,-9.295789e+00,-5.120350e+01,-3.312411e+02,-2.283321e+01,-5.671762e+01,-1.306826e+03
15,-2.690072e+01,-1.688657e+02,-1.555978e+03,-1.046945e+01,-5.158816e+01,-3.111081e+02,-2.769715e+01,-6.481655e+01,-7.091152e+02
16,-2.730245e+01,-1.591803e+02,-1.556379e+03,-1.152151e+01,-5.169666e+01,-3.027580e+02,-2.813138e+01,-5.721246e+01,-7.191344e+02
17,-2.332799e+01,-1.225511e+02,-1.390292e+03,-1.221601e+01,-5.109327e+01,-2.945390e+02,-2.299292e+01,-5.325376e+01,-1.291008e+03
18,-2.466508e+01,-1.275324e+02,-1.463742e+03,-1.290763e+01,-5.064949e+01,-2.895738e+02,-2.431029e+01,-5.261910e+01,-1.112594e+03
19,-2.402997e+01,-1.085372e+02,-1.553107e+03,-1.349301e+01,-5.004555e+01,-2.762085e+02,-2.403313e+01,-4.690733e+01,-8.222021e+02
20,-2.107202e+01,-1.195168e+02,-1.990028e+03,-1.387196e+01,-4.940132e+01,-2.713380e+02,-2.166705e+01,-5.432247e+01,-1.476449e+03
21,-2.690430e+01,-1.189081e+02,-1.627597e+03,-1.449255e+01,-4.913968e+01,-2.614043e+02,-2.514364e+01,-5.265595e+01,-8.013147e+02
22,-2.750559e+01,-1.790282e+02,-1.466532e+03,-1.508405e+01,-4.917316e+01,-2.564669e+02,-2.882229e+01,-6.220311e+01,-7.226585e+02
23,-3.134577e+01,-2.020383e+02,-1.560423e+03,-1.579108e+01,-4.965544e+01,-2.665886e+02,-3.204665e+01,-6.112643e+01,-5.937310e+02
24,-2.954486e+01,-1.745342e+02,-1.558622e+03,-1.636416e+01,-4.963815e+01,-2.568161e+02,-2.992249e+01,-5.821351e+01,-7.234998e+02
25,-2.481022e+01,-1.319912e+02,-1.610262e+03,-1.670200e+01,-4.928408e+01,-2.920789e+02,-2.535960e+01,-4.599274e+01,-7.310175e+02
