iter,average value,advantage gap,greedy advantage gap
1,1.430245e+01,8.759158e+00,7.112802e+00
2,1.268652e+01,6.532564e+00,6.911113e+00
3,1.065180e+01,3.603718e+00,6.620659e+00
4,1.007433e+01,2.501719e+00,3.102763e+00
5,9.524992e+00,2.157522e+00,2.305070e+00
6,8.523242e+00,1.532066e+00,1.877677e+00
7,7.411310e+00,1.430403e+00,1.017259e+00
8,6.507370e+00,8.739646e-01,7.564212e-01
9,6.059846e+00,3.994660e-01,1.248308e-01
10,5.948158e+00,3.120835e-01,2.044344e-02
11,5.910975e+00,6.232940e-02,9.390992e-03
12,5.905074e+00,2.080368e-02,6.575648e-03
13,5.902718e+00,1.427980e-02,6.575479e-03
14,5.900956e+00,2.680864e-03,8.387299e-04
15,5.900144e+00,1.981432e-03,2.004759e-04
16,5.899713e+00,7.895006e-04,1.635533e-04
17,5.899534e+00,2.125834e-04,2.449733e-05
18,5.899492e+00,9.383699e-05,5.668713e-07
19,5.899480e+00,4.711166e-05,2.842171e-14
19,5.899459e+00,4.711166e-05,2.842171e-14
