iter,average value,advantage gap,greedy advantage gap
1,1.168282e+01,7.429547e+00,1.581631e-01
2,1.054753e+01,2.038609e+00,1.181015e-01
3,1.030039e+01,9.382713e-01,6.404367e-02
4,1.028079e+01,4.814937e-01,2.975338e-02
5,1.027833e+01,1.780276e-01,2.977715e-02
6,1.027623e+01,1.483156e-01,2.977715e-02
7,1.027466e+01,1.424599e-01,2.977017e-02
8,1.027306e+01,1.369220e-01,2.976632e-02
9,1.027154e+01,1.316731e-01,2.976626e-02
10,1.027005e+01,1.266872e-01,2.976626e-02
11,1.026851e+01,1.223025e-01,2.976626e-02
12,1.026689e+01,1.182281e-01,2.976577e-02
13,1.026516e+01,1.143613e-01,2.976577e-02
14,1.026337e+01,1.106981e-01,2.921890e-02
15,1.026218e+01,1.071023e-01,2.921886e-02
16,1.026132e+01,1.033768e-01,2.921886e-02
17,1.026047e+01,9.979604e-02,2.922028e-02
18,1.025964e+01,9.635020e-02,1.029277e-02
19,1.025883e+01,9.303031e-02,1.029277e-02
20,1.025802e+01,8.982826e-02,1.029277e-02
21,1.025723e+01,8.673664e-02,1.029277e-02
22,1.025645e+01,8.374868e-02,1.029282e-02
23,1.025568e+01,8.085820e-02,1.029282e-02
24,1.025492e+01,7.805952e-02,1.029282e-02
25,1.025417e+01,7.534742e-02,1.029282e-02
26,1.025344e+01,7.271710e-02,1.029282e-02
27,1.025273e+01,7.119954e-02,1.029282e-02
28,1.025203e+01,6.995166e-02,1.029282e-02
29,1.025134e+01,6.873524e-02,1.029278e-02
30,1.025066e+01,6.754898e-02,1.029278e-02
31,1.024999e+01,6.639163e-02,1.029278e-02
32,1.024934e+01,6.526204e-02,1.029278e-02
33,1.024870e+01,6.415909e-02,1.029278e-02
34,1.024807e+01,6.308175e-02,1.029278e-02
35,1.024745e+01,6.202903e-02,1.029278e-02
36,1.024686e+01,6.100000e-02,1.029278e-02
37,1.024629e+01,5.999377e-02,1.029278e-02
38,1.024573e+01,5.900951e-02,1.029278e-02
39,1.024519e+01,5.804641e-02,1.029278e-02
40,1.024466e+01,5.710373e-02,1.029278e-02
41,1.024413e+01,5.618074e-02,1.029278e-02
42,1.024362e+01,5.527675e-02,1.029278e-02
43,1.024171e+01,5.180571e-02,1.029278e-02
44,1.024002e+01,4.859924e-02,1.029278e-02
45,1.023842e+01,4.601175e-02,1.029278e-02
46,1.023704e+01,4.370275e-02,1.029278e-02
47,1.023594e+01,4.154106e-02,1.029277e-02
48,1.023497e+01,3.951159e-02,1.029277e-02
49,1.023406e+01,3.760135e-02,1.029277e-02
50,1.023318e+01,3.579908e-02,1.029277e-02
51,1.023236e+01,3.409491e-02,1.029277e-02
52,1.023162e+01,3.248021e-02,1.029277e-02
53,1.023092e+01,3.094749e-02,1.029281e-02
54,1.023026e+01,2.949000e-02,1.029281e-02
55,1.022966e+01,2.810176e-02,1.029281e-02
56,1.022910e+01,2.775354e-02,1.029281e-02
57,1.022858e+01,2.739097e-02,1.029281e-02
58,1.022810e+01,2.711842e-02,1.029281e-02
59,1.022765e+01,2.696482e-02,1.029281e-02
60,1.022723e+01,2.681122e-02,1.029277e-02
61,1.022685e+01,2.665609e-02,1.029277e-02
62,1.022649e+01,2.651977e-02,1.029277e-02
63,1.022613e+01,2.637972e-02,1.029277e-02
64,1.022579e+01,2.623409e-02,5.490892e-03
65,1.022545e+01,2.608168e-02,5.490888e-03
66,1.022517e+01,2.592117e-02,5.736931e-03
67,1.022489e+01,2.575396e-02,5.736931e-03
68,1.022463e+01,2.557991e-02,4.811812e-03
69,1.022440e+01,2.539790e-02,4.811812e-03
70,1.022419e+01,2.520754e-02,4.811812e-03
71,1.022399e+01,2.500860e-02,4.825464e-03
72,1.022379e+01,2.480047e-02,1.790514e-03
73,1.022360e+01,2.458245e-02,1.790547e-03
74,1.022343e+01,2.435329e-02,1.790547e-03
75,1.022327e+01,2.411230e-02,1.790547e-03
76,1.022312e+01,2.385903e-02,1.790547e-03
77,1.022298e+01,2.359243e-02,1.790547e-03
78,1.022283e+01,2.331135e-02,1.790548e-03
79,1.022269e+01,2.301441e-02,1.790543e-03
80,1.022255e+01,2.270016e-02,1.790540e-03
81,1.022241e+01,2.236687e-02,1.790540e-03
82,1.022228e+01,2.201258e-02,1.790609e-03
83,1.022215e+01,2.163514e-02,1.790614e-03
84,1.022166e+01,1.990360e-02,1.794020e-03
85,1.022120e+01,1.753939e-02,1.793998e-03
86,1.022083e+01,1.525162e-02,1.795197e-03
87,1.022044e+01,1.371183e-02,1.795207e-03
88,1.021999e+01,1.336830e-02,1.795208e-03
89,1.021973e+01,1.283572e-02,1.795206e-03
90,1.021951e+01,1.231762e-02,1.795204e-03
91,1.021938e+01,1.180077e-02,1.795241e-03
92,1.021928e+01,1.128927e-02,1.346706e-03
93,1.021917e+01,1.078875e-02,1.346707e-03
94,1.021909e+01,1.029916e-02,1.346707e-03
95,1.021902e+01,9.820026e-03,1.346707e-03
96,1.021897e+01,9.350384e-03,1.346707e-03
97,1.021891e+01,8.889421e-03,1.346707e-03
