iter,average value,advantage gap,greedy advantage gap
1,1.188312e+01,7.437026e+00,2.682362e-01
2,1.059593e+01,2.181746e+00,5.243913e-02
3,1.031341e+01,9.892886e-01,9.696392e-03
4,1.028819e+01,5.838916e-01,7.857251e-03
5,1.028469e+01,2.995559e-01,7.857517e-03
6,1.028139e+01,2.423143e-01,7.857517e-03
7,1.027848e+01,1.795617e-01,2.092003e-03
8,1.027447e+01,1.310786e-01,1.476909e-02
9,1.027179e+01,1.265215e-01,1.477699e-02
10,1.027023e+01,1.220168e-01,1.477699e-02
11,1.026861e+01,1.176809e-01,1.477699e-02
12,1.026690e+01,1.135029e-01,1.477703e-02
13,1.026508e+01,1.094730e-01,2.926108e-02
14,1.026320e+01,1.055816e-01,2.926336e-02
15,1.026227e+01,1.018145e-01,2.926336e-02
16,1.026136e+01,9.817013e-02,2.926336e-02
17,1.026045e+01,9.464128e-02,2.926336e-02
18,1.025956e+01,9.122247e-02,2.926336e-02
19,1.025869e+01,8.790677e-02,1.478055e-02
20,1.025782e+01,8.468838e-02,1.478094e-02
21,1.025696e+01,8.156220e-02,1.478094e-02
22,1.025614e+01,7.848271e-02,1.478094e-02
23,1.025532e+01,7.548747e-02,1.478094e-02
24,1.025450e+01,7.257320e-02,1.468208e-02
25,1.025370e+01,6.973598e-02,1.120021e-02
26,1.025294e+01,6.697233e-02,1.120021e-02
27,1.025221e+01,6.480935e-02,1.120035e-02
28,1.025151e+01,6.429833e-02,1.120037e-02
29,1.025084e+01,6.379335e-02,1.119897e-02
30,1.025019e+01,6.328610e-02,1.159183e-02
31,1.024955e+01,6.277585e-02,1.159192e-02
32,1.024892e+01,6.214485e-02,1.159140e-02
33,1.024830e+01,6.140953e-02,1.159140e-02
34,1.024768e+01,6.067574e-02,1.159164e-02
35,1.024708e+01,5.994578e-02,1.159148e-02
36,1.024653e+01,5.915457e-02,1.160539e-02
37,1.024598e+01,5.822709e-02,1.160293e-02
38,1.024547e+01,5.729709e-02,1.121881e-02
39,1.024497e+01,5.637477e-02,1.121852e-02
40,1.024449e+01,5.546623e-02,1.121852e-02
41,1.024405e+01,5.460112e-02,1.121852e-02
42,1.024365e+01,5.375004e-02,1.477150e-02
43,1.024217e+01,5.045805e-02,1.477166e-02
44,1.024092e+01,4.739654e-02,1.477178e-02
45,1.023979e+01,4.450209e-02,1.477199e-02
46,1.023876e+01,4.175781e-02,1.479149e-02
47,1.023778e+01,3.914745e-02,1.479151e-02
48,1.023685e+01,3.732230e-02,1.479204e-02
49,1.023597e+01,3.589982e-02,1.479174e-02
50,1.023514e+01,3.453746e-02,1.479198e-02
51,1.023437e+01,3.323130e-02,1.480501e-02
52,1.023369e+01,3.199267e-02,1.479224e-02
53,1.023308e+01,3.080370e-02,1.480509e-02
54,1.023251e+01,2.966007e-02,1.480518e-02
55,1.023198e+01,2.855906e-02,1.480483e-02
56,1.023150e+01,2.749813e-02,1.480484e-02
57,1.023106e+01,2.647506e-02,1.480494e-02
58,1.023065e+01,2.548792e-02,1.480494e-02
59,1.023028e+01,2.453484e-02,1.480495e-02
60,1.022993e+01,2.361414e-02,1.480530e-02
