iter,average value,advantage gap
1,3.950480e+01,2.289167e+01
2,-1.774150e+01,5.341838e+01
3,-1.835154e+01,4.807654e+01
4,-2.007739e+01,4.326888e+01
5,-2.229042e+01,3.894200e+01
6,-2.453801e+01,3.504780e+01
7,-2.676186e+01,3.154302e+01
8,-2.887812e+01,2.876684e+01
9,-3.089381e+01,2.629025e+01
10,-3.280891e+01,2.409490e+01
11,-3.497595e+01,2.234575e+01
12,-3.717058e+01,2.078515e+01
13,-3.865692e+01,1.909381e+01
14,-3.972331e+01,1.752005e+01
15,-4.040915e+01,1.598612e+01
16,-4.052865e+01,3.552714e-14
16,-4.052865e+01,3.552714e-14
