iter,average value,advantage gap,greedy advantage gap
1,1.127999e+01,7.085036e+00,4.141782e-01
2,1.098171e+01,4.917186e+00,2.742634e-01
3,1.060805e+01,2.802502e+00,9.038110e-02
4,1.028916e+01,1.048211e+00,2.212393e-02
5,1.027242e+01,1.546580e-01,2.212826e-02
6,1.026764e+01,1.309570e-01,2.212828e-02
7,1.025941e+01,9.518681e-02,5.140102e-03
8,1.024669e+01,6.010147e-02,5.923189e-03
9,1.023362e+01,3.681981e-02,9.738775e-03
10,1.022333e+01,2.513598e-02,9.760116e-03
11,1.021832e+01,1.771241e-02,3.619060e-03
12,1.021630e+01,6.692069e-03,7.282638e-04
13,1.021540e+01,3.978331e-03,7.282821e-04
14,1.021474e+01,1.197176e-03,4.315962e-04
15,1.021438e+01,7.507482e-04,4.851751e-04
16,1.021412e+01,5.292997e-04,2.467776e-04
17,1.021398e+01,2.167950e-04,1.466381e-04
18,1.021390e+01,8.586924e-05,8.568203e-06
19,1.021386e+01,4.814042e-05,8.568203e-06
20,1.021384e+01,2.605121e-05,8.439856e-06
21,1.021383e+01,1.372158e-05,6.427884e-06
22,1.021382e+01,5.826737e-06,1.437378e-06
23,1.021382e+01,4.793567e-06,9.078687e-07
24,1.021382e+01,1.401245e-06,5.723615e-07
25,1.021381e+01,8.981573e-07,3.382319e-07
26,1.021381e+01,3.539841e-07,1.004976e-07
27,1.021381e+01,1.912495e-07,2.332542e-08
28,1.021381e+01,1.065794e-07,2.332548e-08
29,1.021381e+01,5.141317e-08,4.003729e-09
30,1.021381e+01,1.940098e-08,4.003450e-09
31,1.021381e+01,9.974055e-09,2.332548e-08
32,1.021381e+01,6.089055e-09,3.999000e-09
33,1.021381e+01,3.832056e-09,3.999002e-09
34,1.021381e+01,1.772879e-09,5.329071e-15
34,1.021381e+01,1.772879e-09,5.329071e-15
