iter,average value,advantage gap,greedy advantage gap
1,1.336409e+01,7.406500e+00,2.930773e-01
2,1.253304e+01,5.162162e+00,2.930774e-01
3,1.100688e+01,4.198117e+00,8.576407e-02
4,1.055778e+01,1.639091e+00,4.057386e-01
5,1.044481e+01,2.683426e-01,1.989586e-02
6,1.040643e+01,1.330384e-01,1.991550e-02
7,1.039225e+01,1.078942e-01,2.246012e-02
8,1.037287e+01,6.886412e-02,2.246002e-02
9,1.035613e+01,3.806249e-02,5.120642e-03
10,1.034631e+01,2.362797e-02,2.491877e-03
11,1.034099e+01,1.895766e-02,1.855022e-03
12,1.033760e+01,5.672537e-03,1.840039e-03
13,1.033662e+01,5.115613e-03,1.828785e-03
14,1.033596e+01,2.674811e-03,9.495735e-04
15,1.033531e+01,1.270175e-03,9.516362e-04
16,1.033489e+01,9.101983e-04,1.834307e-04
17,1.033469e+01,4.274285e-04,3.373659e-04
18,1.033458e+01,2.426681e-04,3.373659e-04
19,1.033452e+01,7.770975e-05,1.190821e-05
20,1.033450e+01,5.761149e-05,3.787276e-06
21,1.033449e+01,2.256857e-05,2.892622e-06
22,1.033448e+01,7.032003e-06,2.803948e-06
23,1.033447e+01,4.068787e-06,1.272049e-06
24,1.033447e+01,1.475408e-06,7.577831e-07
25,1.033447e+01,1.071070e-06,7.519267e-07
26,1.033447e+01,5.688302e-07,4.226329e-08
27,1.033447e+01,2.539518e-07,3.128717e-09
28,1.033447e+01,1.216411e-07,1.776357e-14
28,1.033447e+01,1.216411e-07,1.776357e-14
