iter,average value,advantage gap,greedy advantage gap
1,1.250029e+01,7.307708e+00,5.430526e-01
2,1.186464e+01,5.066433e+00,2.816317e-01
3,1.078439e+01,2.888515e+00,2.666957e-01
4,1.042833e+01,1.242829e+00,3.468439e-02
5,1.038592e+01,3.730425e-01,2.655450e-02
6,1.036252e+01,1.593084e-01,1.365302e-02
7,1.035027e+01,1.190664e-01,1.364997e-02
8,1.033855e+01,7.082210e-02,1.415279e-02
9,1.032705e+01,3.616256e-02,8.571075e-03
10,1.031713e+01,2.405183e-02,6.501467e-03
11,1.031296e+01,1.959018e-02,7.220698e-03
12,1.030992e+01,1.066713e-02,7.287291e-03
13,1.030819e+01,5.632219e-03,1.231830e-03
14,1.030754e+01,2.932077e-03,1.231867e-03
15,1.030706e+01,1.405761e-03,4.823952e-04
16,1.030675e+01,8.826949e-04,2.621547e-04
17,1.030657e+01,3.422104e-04,9.895912e-05
18,1.030648e+01,2.861463e-04,1.951284e-04
19,1.030643e+01,7.919745e-05,1.956324e-04
20,1.030641e+01,2.080699e-04,9.349720e-06
21,1.030639e+01,2.491307e-05,3.387669e-07
22,1.030639e+01,1.404924e-05,3.387669e-07
23,1.030638e+01,2.872706e-06,3.387669e-07
24,1.030638e+01,1.267633e-06,3.387669e-07
25,1.030638e+01,6.240116e-07,5.711064e-08
26,1.030638e+01,3.684176e-07,2.144401e-08
27,1.030638e+01,1.680364e-07,2.163585e-08
28,1.030638e+01,1.095007e-07,2.163585e-08
29,1.030638e+01,4.070719e-08,2.163585e-08
30,1.030638e+01,1.873302e-08,3.123368e-11
31,1.030638e+01,9.114091e-09,3.123368e-11
32,1.030638e+01,5.297395e-09,3.123368e-11
33,1.030638e+01,2.119600e-09,4.289902e-12
34,1.030638e+01,9.968151e-10,4.114042e-12
35,1.030638e+01,6.897718e-10,4.114042e-12
36,1.030638e+01,3.547775e-10,4.289902e-12
37,1.030638e+01,1.214033e-10,4.289902e-12
38,1.030638e+01,6.745715e-11,4.114042e-12
39,1.030638e+01,3.297629e-11,4.114042e-12
40,1.030638e+01,1.527667e-11,2.486900e-14
40,1.030638e+01,1.527667e-11,2.486900e-14
