iter,point value,point opt_lb,point uni_opt_lb,agg value,agg opt_lb,agg uni_opt_lb,true value,true opt_lb,true uni_opt_lb
1,1.372843e+01,-2.045195e+01,-1.456193e+02,1.372843e+01,-2.045195e+01,-1.456193e+02,0.000000e+00,0.000000e+00,0.000000e+00
2,9.933352e+00,1.300505e+00,-1.431668e+02,1.183089e+01,-7.350974e+00,-8.805556e+01,0.000000e+00,0.000000e+00,0.000000e+00
3,9.182812e+00,1.788212e+00,-7.151856e+01,1.094820e+01,-2.896149e+00,-5.564277e+01,0.000000e+00,0.000000e+00,0.000000e+00
4,8.609695e+00,7.279772e-01,-1.226040e+02,1.036357e+01,-9.047142e-01,-3.957764e+01,0.000000e+00,0.000000e+00,0.000000e+00
5,8.274115e+00,-1.895632e+00,-1.088845e+02,9.945680e+00,1.162164e-01,-3.086757e+01,0.000000e+00,0.000000e+00,0.000000e+00
6,7.895556e+00,-2.061268e+00,-7.046737e+01,9.603993e+00,9.686006e-01,-2.458272e+01,0.000000e+00,0.000000e+00,0.000000e+00
7,7.791321e+00,-1.967754e+00,-7.722831e+01,9.345040e+00,1.620125e+00,-1.985369e+01,0.000000e+00,0.000000e+00,0.000000e+00
8,7.446556e+00,-2.522157e+00,-8.923468e+01,9.107729e+00,1.986687e+00,-1.651160e+01,0.000000e+00,0.000000e+00,0.000000e+00
9,7.197943e+00,-1.752160e+00,-7.937438e+01,8.895531e+00,2.294824e+00,-1.442788e+01,0.000000e+00,0.000000e+00,0.000000e+00
10,7.115960e+00,-2.018958e+00,-7.847287e+01,8.717574e+00,2.590535e+00,-1.228687e+01,0.000000e+00,0.000000e+00,0.000000e+00
11,7.063510e+00,-3.309998e+00,-9.596602e+01,8.567204e+00,2.806173e+00,-1.052889e+01,0.000000e+00,0.000000e+00,0.000000e+00
12,6.879843e+00,-2.318175e+00,-7.406726e+01,8.426591e+00,2.987118e+00,-9.835322e+00,0.000000e+00,0.000000e+00,0.000000e+00
13,6.794297e+00,-3.589384e+00,-9.837920e+01,8.301030e+00,3.098665e+00,-9.854594e+00,0.000000e+00,0.000000e+00,0.000000e+00
14,6.649933e+00,-3.689263e+00,-9.237509e+01,8.183094e+00,3.154708e+00,-1.222676e+01,0.000000e+00,0.000000e+00,0.000000e+00
15,6.518466e+00,-2.220852e+00,-1.211490e+02,8.072119e+00,3.236117e+00,-1.250029e+01,0.000000e+00,0.000000e+00,0.000000e+00
16,6.533456e+00,-4.049628e+00,-8.074932e+01,7.975953e+00,3.304249e+00,-1.212398e+01,0.000000e+00,0.000000e+00,0.000000e+00
17,6.426529e+00,-3.120289e+00,-1.074414e+02,7.884810e+00,3.310029e+00,-1.083258e+01,0.000000e+00,0.000000e+00,0.000000e+00
18,6.414215e+00,-3.623004e+00,-1.003322e+02,7.803110e+00,3.382720e+00,-1.089632e+01,0.000000e+00,0.000000e+00,0.000000e+00
19,6.322324e+00,-3.044780e+00,-1.099745e+02,7.725174e+00,3.439372e+00,-1.064702e+01,0.000000e+00,0.000000e+00,0.000000e+00
20,6.162611e+00,-1.839533e+00,-1.013921e+02,7.647046e+00,3.477441e+00,-9.501183e+00,0.000000e+00,0.000000e+00,0.000000e+00
21,6.245462e+00,-2.998250e+00,-1.149234e+02,7.580304e+00,3.524931e+00,-9.374809e+00,0.000000e+00,0.000000e+00,0.000000e+00
22,6.147617e+00,-3.241820e+00,-7.136164e+01,7.515182e+00,3.560891e+00,-9.639247e+00,0.000000e+00,0.000000e+00,0.000000e+00
23,6.013138e+00,-2.022783e+00,-1.048010e+02,7.449876e+00,3.584516e+00,-9.949386e+00,0.000000e+00,0.000000e+00,0.000000e+00
24,5.947197e+00,-2.344694e+00,-6.955302e+01,7.387264e+00,3.618514e+00,-1.029372e+01,0.000000e+00,0.000000e+00,0.000000e+00
25,5.939479e+00,-3.208898e+00,-1.216341e+02,7.329353e+00,3.639955e+00,-1.426281e+01,0.000000e+00,0.000000e+00,0.000000e+00
26,5.797197e+00,-2.311005e+00,-8.333707e+01,7.270424e+00,3.724632e+00,-1.142490e+01,0.000000e+00,0.000000e+00,0.000000e+00
27,6.025318e+00,-3.494089e+00,-1.034039e+02,7.224309e+00,3.746309e+00,-1.112820e+01,0.000000e+00,0.000000e+00,0.000000e+00
28,5.897880e+00,-4.305500e+00,-9.623688e+01,7.176936e+00,3.763292e+00,-1.197005e+01,0.000000e+00,0.000000e+00,0.000000e+00
29,5.853433e+00,-2.658841e+00,-9.533592e+01,7.131298e+00,3.817545e+00,-1.184486e+01,0.000000e+00,0.000000e+00,0.000000e+00
30,5.755853e+00,-3.195111e+00,-1.017029e+02,7.085450e+00,3.840483e+00,-1.061682e+01,0.000000e+00,0.000000e+00,0.000000e+00
31,5.671677e+00,-2.541813e+00,-1.016003e+02,7.039844e+00,3.864002e+00,-1.144285e+01,0.000000e+00,0.000000e+00,0.000000e+00
32,5.791586e+00,-3.178321e+00,-1.466356e+02,7.000836e+00,3.893057e+00,-1.115294e+01,0.000000e+00,0.000000e+00,0.000000e+00
33,5.689751e+00,-2.411912e+00,-9.810294e+01,6.961106e+00,3.908312e+00,-1.293363e+01,0.000000e+00,0.000000e+00,0.000000e+00
34,5.767483e+00,-3.263918e+00,-1.042016e+02,6.926000e+00,3.907494e+00,-1.486110e+01,0.000000e+00,0.000000e+00,0.000000e+00
35,5.788901e+00,-3.598656e+00,-8.998841e+01,6.893511e+00,3.917667e+00,-1.487514e+01,0.000000e+00,0.000000e+00,0.000000e+00
36,5.671843e+00,-2.517058e+00,-1.028184e+02,6.859576e+00,3.937737e+00,-1.185664e+01,0.000000e+00,0.000000e+00,0.000000e+00
37,5.666599e+00,-2.746247e+00,-1.344897e+02,6.827333e+00,3.959795e+00,-1.248438e+01,0.000000e+00,0.000000e+00,0.000000e+00
38,5.574789e+00,-2.620802e+00,-1.041780e+02,6.794372e+00,3.963259e+00,-1.298349e+01,0.000000e+00,0.000000e+00,0.000000e+00
39,5.776138e+00,-4.623698e+00,-1.124715e+02,6.768263e+00,3.971636e+00,-1.098203e+01,0.000000e+00,0.000000e+00,0.000000e+00
40,5.692649e+00,-3.423805e+00,-1.106601e+02,6.741373e+00,3.989335e+00,-1.216069e+01,0.000000e+00,0.000000e+00,0.000000e+00
41,5.625084e+00,-2.297624e+00,-1.459053e+02,6.714146e+00,4.001899e+00,-1.207647e+01,0.000000e+00,0.000000e+00,0.000000e+00
42,5.610536e+00,-2.471133e+00,-8.478607e+01,6.687870e+00,4.017749e+00,-1.102346e+01,0.000000e+00,0.000000e+00,0.000000e+00
43,5.553538e+00,-1.753139e+00,-8.867523e+01,6.661490e+00,4.034593e+00,-1.081844e+01,0.000000e+00,0.000000e+00,0.000000e+00
44,5.615943e+00,-2.171836e+00,-8.724051e+01,6.637728e+00,4.046635e+00,-1.087369e+01,0.000000e+00,0.000000e+00,0.000000e+00
45,5.534832e+00,-3.119921e+00,-8.259218e+01,6.613219e+00,4.059262e+00,-1.064853e+01,0.000000e+00,0.000000e+00,0.000000e+00
46,5.449340e+00,-1.694282e+00,-9.511514e+01,6.587917e+00,4.071065e+00,-1.085043e+01,0.000000e+00,0.000000e+00,0.000000e+00
47,5.520384e+00,-3.189003e+00,-6.706404e+01,6.565204e+00,4.083957e+00,-1.056016e+01,0.000000e+00,0.000000e+00,0.000000e+00
48,5.616829e+00,-2.791681e+00,-1.148550e+02,6.545446e+00,4.103899e+00,-1.083799e+01,0.000000e+00,0.000000e+00,0.000000e+00
49,5.381635e+00,-1.793658e+00,-9.676916e+01,6.521695e+00,4.132137e+00,-1.030740e+01,0.000000e+00,0.000000e+00,0.000000e+00
50,5.435591e+00,-2.152055e+00,-9.641938e+01,6.499972e+00,4.135255e+00,-1.023175e+01,0.000000e+00,0.000000e+00,0.000000e+00
