iter,average value,advantage gap,greedy advantage gap
1,1.079908e+02,1.051034e+01,3.819221e+00
2,1.067817e+02,8.731161e+00,2.085396e+00
3,1.059129e+02,7.494019e+00,2.085418e+00
4,1.052414e+02,6.566529e+00,2.004908e+00
5,1.046971e+02,5.836493e+00,2.003692e+00
6,1.042404e+02,5.241839e+00,2.003692e+00
7,1.038469e+02,4.744943e+00,2.003682e+00
8,1.035005e+02,4.321445e+00,2.003682e+00
9,1.032065e+02,3.954766e+00,1.399966e+00
10,1.029459e+02,3.633119e+00,1.400011e+00
11,1.027089e+02,3.347952e+00,1.399901e+00
12,1.024919e+02,3.092818e+00,1.399864e+00
13,1.023078e+02,2.862763e+00,1.399864e+00
14,1.021617e+02,2.661250e+00,1.399862e+00
15,1.020268e+02,2.478049e+00,1.399862e+00
16,1.019019e+02,2.310003e+00,1.399256e+00
17,1.017870e+02,2.154522e+00,1.399229e+00
18,1.016824e+02,2.010111e+00,1.399343e+00
19,1.015863e+02,1.880031e+00,1.399342e+00
20,1.014965e+02,1.771888e+00,1.399342e+00
21,1.014203e+02,1.669707e+00,1.399346e+00
22,1.013527e+02,1.572872e+00,1.399282e+00
23,1.012940e+02,1.480937e+00,1.399227e+00
24,1.012472e+02,1.393509e+00,1.399228e+00
25,1.012028e+02,1.310240e+00,1.399226e+00
26,1.011609e+02,1.230837e+00,1.399219e+00
27,1.011218e+02,1.157182e+00,1.399214e+00
28,1.010870e+02,1.094599e+00,1.399287e+00
29,1.010564e+02,1.036001e+00,1.400748e+00
30,1.010280e+02,9.794036e-01,1.400748e+00
31,1.010036e+02,9.245774e-01,1.400747e+00
32,1.009832e+02,8.713830e-01,1.400747e+00
33,1.009634e+02,8.200551e-01,1.400746e+00
34,1.009438e+02,7.795084e-01,1.400746e+00
35,1.009266e+02,7.567558e-01,1.400742e+00
36,1.009109e+02,7.341806e-01,1.400742e+00
37,1.008956e+02,7.115831e-01,4.227853e-01
38,1.008809e+02,6.889638e-01,4.227861e-01
39,1.008666e+02,6.663231e-01,4.227861e-01
40,1.008531e+02,6.436615e-01,3.889529e-01
41,1.008403e+02,6.209794e-01,3.889522e-01
42,1.008279e+02,5.983559e-01,3.887957e-01
43,1.008163e+02,5.757526e-01,3.887949e-01
44,1.008052e+02,5.531202e-01,3.887024e-01
45,1.007969e+02,5.304651e-01,3.887024e-01
46,1.007917e+02,5.077856e-01,3.887024e-01
47,1.007874e+02,4.898542e-01,3.887040e-01
48,1.007831e+02,4.861295e-01,3.887040e-01
49,1.007788e+02,4.821293e-01,3.887040e-01
50,1.007745e+02,4.778472e-01,3.887040e-01
51,1.007701e+02,4.732765e-01,3.599551e-01
52,1.007658e+02,4.684100e-01,3.599551e-01
53,1.007614e+02,4.632398e-01,3.599551e-01
54,1.007569e+02,4.577576e-01,3.599551e-01
55,1.007524e+02,4.519545e-01,3.599551e-01
56,1.007479e+02,4.458211e-01,3.599551e-01
57,1.007441e+02,4.393471e-01,3.599551e-01
58,1.007407e+02,4.325215e-01,3.599544e-01
59,1.007374e+02,4.253327e-01,3.599544e-01
60,1.007339e+02,4.177680e-01,3.599544e-01
61,1.007302e+02,4.098140e-01,3.599544e-01
62,1.007269e+02,4.014562e-01,3.599544e-01
63,1.007241e+02,3.926788e-01,3.599544e-01
64,1.007213e+02,3.819301e-01,3.599544e-01
65,1.007189e+02,3.671192e-01,3.599544e-01
66,1.007164e+02,3.630588e-01,3.599544e-01
67,1.007139e+02,3.604968e-01,3.599544e-01
68,1.007113e+02,3.578213e-01,3.599544e-01
69,1.007088e+02,3.550222e-01,3.599544e-01
70,1.007062e+02,3.520906e-01,3.599544e-01
71,1.007035e+02,3.490153e-01,3.599544e-01
72,1.007006e+02,3.457837e-01,3.599543e-01
73,1.006976e+02,3.423817e-01,3.599543e-01
74,1.006944e+02,3.387930e-01,3.599521e-01
75,1.006909e+02,3.349995e-01,3.599521e-01
76,1.006869e+02,3.309803e-01,3.599521e-01
77,1.006822e+02,3.267116e-01,3.599521e-01
78,1.006762e+02,3.221661e-01,3.599521e-01
79,1.006702e+02,3.173100e-01,3.599521e-01
80,1.006685e+02,3.120999e-01,3.599521e-01
81,1.006668e+02,3.064965e-01,3.599521e-01
82,1.006651e+02,3.004465e-01,3.599521e-01
83,1.006633e+02,2.938860e-01,3.599521e-01
84,1.006616e+02,2.867376e-01,3.599521e-01
85,1.006598e+02,2.789063e-01,3.599521e-01
86,1.006581e+02,2.702744e-01,3.599521e-01
87,1.006562e+02,2.606939e-01,3.599521e-01
88,1.006547e+02,2.499750e-01,3.599521e-01
89,1.006531e+02,2.405469e-01,3.599521e-01
90,1.006516e+02,2.407256e-01,3.599521e-01
91,1.006500e+02,2.413076e-01,3.599521e-01
92,1.006484e+02,2.419038e-01,3.599521e-01
93,1.006467e+02,2.425153e-01,3.599521e-01
94,1.006450e+02,2.431431e-01,3.599456e-01
95,1.006432e+02,2.437886e-01,3.599456e-01
96,1.006414e+02,2.444536e-01,3.599456e-01
97,1.006396e+02,2.451404e-01,3.599456e-01
98,1.006377e+02,2.458520e-01,3.599456e-01
99,1.006357e+02,2.465928e-01,3.599456e-01
100,1.006338e+02,2.473403e-01,3.599456e-01
110,1.006199e+02,2.549655e-01,4.225293e-01
120,1.006017e+02,2.645068e-01,4.225230e-01
130,1.005752e+02,2.768006e-01,6.117484e-02
140,1.005404e+02,2.933147e-01,6.138262e-02
150,1.005346e+02,3.169595e-01,6.006183e-02
160,1.005282e+02,3.545826e-01,6.006183e-02
170,1.005206e+02,4.284180e-01,6.006183e-02
180,1.005134e+02,4.278934e-01,6.006142e-02
190,1.005062e+02,3.895518e-01,5.994101e-02
200,1.004970e+02,3.504141e-01,5.994169e-02
210,1.004850e+02,3.721764e-01,5.994139e-02
220,1.004768e+02,5.760877e-01,5.994147e-02
230,1.004713e+02,6.432608e-01,5.995340e-02
240,1.004668e+02,6.039162e-01,5.995354e-02
250,1.004618e+02,5.622189e-01,5.995389e-02
260,1.004554e+02,5.154441e-01,5.995389e-02
270,1.004489e+02,4.678925e-01,5.995795e-02
280,1.004459e+02,4.293476e-01,5.995795e-02
290,1.004430e+02,3.890087e-01,5.995800e-02
300,1.004402e+02,3.465421e-01,5.995778e-02
310,1.004374e+02,3.015490e-01,5.995778e-02
320,1.004346e+02,2.535432e-01,5.995760e-02
330,1.004320e+02,2.019056e-01,5.995760e-02
340,1.004294e+02,1.498314e-01,5.986198e-02
350,1.004269e+02,1.475035e-01,5.810511e-02
360,1.004247e+02,1.452093e-01,5.810511e-02
370,1.004225e+02,1.429465e-01,5.810511e-02
380,1.004202e+02,1.407129e-01,5.811881e-02
390,1.004180e+02,1.385128e-01,5.826728e-02
400,1.004157e+02,1.363442e-01,5.826728e-02
410,1.004082e+02,1.284762e-01,5.826918e-02
420,1.004013e+02,1.200572e-01,4.566134e-02
430,1.003940e+02,1.110407e-01,4.570565e-02
440,1.003865e+02,1.037683e-01,4.574695e-02
450,1.003819e+02,9.769084e-02,4.577345e-02
460,1.003778e+02,9.182643e-02,4.576265e-02
470,1.003739e+02,8.613790e-02,4.571065e-02
480,1.003705e+02,8.057646e-02,4.575978e-02
490,1.003672e+02,7.510723e-02,4.577912e-02
500,1.003641e+02,6.969757e-02,4.577792e-02
510,1.003614e+02,6.431613e-02,4.577792e-02
520,1.003589e+02,5.893741e-02,4.578361e-02
530,1.003565e+02,5.353102e-02,4.578361e-02
540,1.003542e+02,4.804152e-02,4.578322e-02
550,1.003521e+02,4.497475e-02,4.579673e-02
560,1.003500e+02,4.373463e-02,4.586542e-02
570,1.003481e+02,4.251064e-02,4.733556e-02
580,1.003464e+02,4.131783e-02,4.733420e-02
590,1.003447e+02,4.015827e-02,4.732777e-02
600,1.003431e+02,3.903960e-02,4.734725e-02
610,1.003416e+02,3.795722e-02,4.737057e-02
620,1.003402e+02,3.690094e-02,4.737871e-02
630,1.003388e+02,3.587108e-02,4.743235e-02
