iter,average value,advantage gap,greedy advantage gap
1,1.732580e+00,4.107690e+00,3.733844e-02
2,-4.575487e+01,3.569690e+00,3.733844e-02
3,-7.852371e+01,3.165355e+00,4.599603e-02
4,-9.838926e+01,2.910667e+00,3.733844e-02
5,-1.121008e+02,2.731752e+00,3.733844e-02
6,-1.225000e+02,2.579892e+00,3.733844e-02
7,-1.309362e+02,2.445895e+00,3.733844e-02
8,-1.379570e+02,2.325358e+00,3.733844e-02
9,-1.438962e+02,2.213702e+00,3.733844e-02
10,-1.489994e+02,2.108377e+00,3.733844e-02
11,-1.534973e+02,2.024749e+00,3.733844e-02
12,-1.575197e+02,1.962408e+00,3.733844e-02
13,-1.611269e+02,1.903761e+00,3.733844e-02
14,-1.644088e+02,1.846778e+00,3.733844e-02
15,-1.674136e+02,1.790428e+00,4.599603e-02
16,-1.701735e+02,1.737070e+00,4.599603e-02
17,-1.727394e+02,1.685667e+00,4.599603e-02
18,-1.751132e+02,1.636503e+00,4.599603e-02
19,-1.773303e+02,1.591839e+00,4.599603e-02
20,-1.794167e+02,1.547997e+00,3.733844e-02
21,-1.813567e+02,1.504143e+00,3.733844e-02
22,-1.831894e+02,1.460286e+00,3.733844e-02
23,-1.849283e+02,1.417017e+00,3.733844e-02
24,-1.865763e+02,1.375311e+00,5.225813e-02
25,-1.881405e+02,1.334232e+00,5.225813e-02
26,-1.896362e+02,1.293180e+00,5.225813e-02
27,-1.910557e+02,1.252151e+00,5.225813e-02
28,-1.924146e+02,1.215290e+00,5.225813e-02
29,-1.937202e+02,1.186400e+00,5.225813e-02
30,-1.949609e+02,1.157513e+00,5.225813e-02
31,-1.961383e+02,1.128658e+00,5.225813e-02
32,-1.972761e+02,1.101307e+00,5.225813e-02
33,-1.983763e+02,1.078005e+00,5.225813e-02
34,-1.994452e+02,1.054923e+00,5.225813e-02
35,-2.004766e+02,1.033706e+00,5.225813e-02
36,-2.014762e+02,1.012461e+00,5.225813e-02
37,-2.024436e+02,9.913626e-01,2.028292e-02
38,-2.033704e+02,9.722249e-01,2.028292e-02
39,-2.042636e+02,9.530750e-01,2.028292e-02
40,-2.051150e+02,9.339008e-01,2.028292e-02
41,-2.059330e+02,9.147021e-01,2.028292e-02
42,-2.067178e+02,8.954786e-01,2.028292e-02
43,-2.074730e+02,8.762303e-01,2.028292e-02
44,-2.082073e+02,8.575208e-01,2.028292e-02
45,-2.089244e+02,8.455069e-01,2.028292e-02
46,-2.096261e+02,8.339776e-01,2.028292e-02
47,-2.103143e+02,8.226886e-01,2.028292e-02
48,-2.109919e+02,8.114097e-01,2.028292e-02
49,-2.116477e+02,8.001396e-01,2.028292e-02
50,-2.122833e+02,7.888780e-01,2.028292e-02
51,-2.128970e+02,7.776262e-01,2.028292e-02
52,-2.134944e+02,7.663843e-01,2.028292e-02
53,-2.140732e+02,7.551523e-01,2.028292e-02
54,-2.146373e+02,7.441564e-01,2.028292e-02
55,-2.151919e+02,7.340136e-01,2.028292e-02
56,-2.157314e+02,7.245759e-01,2.028292e-02
57,-2.162599e+02,7.151367e-01,2.028292e-02
58,-2.167804e+02,7.056961e-01,2.028292e-02
59,-2.172907e+02,6.962540e-01,2.028292e-02
60,-2.177910e+02,6.868104e-01,2.028292e-02
61,-2.182799e+02,6.773674e-01,2.028292e-02
62,-2.187607e+02,6.686026e-01,2.028292e-02
63,-2.192334e+02,6.598370e-01,2.028292e-02
64,-2.196911e+02,6.517151e-01,2.028292e-02
65,-2.201433e+02,6.436577e-01,2.028292e-02
66,-2.205879e+02,6.355990e-01,2.028292e-02
67,-2.210247e+02,6.275376e-01,2.028292e-02
68,-2.214505e+02,6.194726e-01,2.028292e-02
69,-2.218623e+02,6.114064e-01,2.028292e-02
70,-2.222660e+02,6.033389e-01,2.028292e-02
71,-2.226636e+02,5.952701e-01,2.028292e-02
72,-2.230540e+02,5.879235e-01,2.028292e-02
73,-2.234385e+02,5.806953e-01,2.028292e-02
74,-2.238157e+02,5.734662e-01,2.028292e-02
75,-2.241850e+02,5.662383e-01,2.028292e-02
76,-2.245486e+02,5.590117e-01,2.028292e-02
77,-2.249069e+02,5.517837e-01,2.028292e-02
78,-2.252559e+02,5.445563e-01,2.028292e-02
79,-2.256011e+02,5.373303e-01,2.028292e-02
80,-2.259421e+02,5.301057e-01,2.028292e-02
81,-2.262815e+02,5.228824e-01,2.028292e-02
82,-2.266176e+02,5.156604e-01,2.028292e-02
83,-2.269463e+02,5.085849e-01,2.028292e-02
84,-2.272694e+02,5.021198e-01,2.028292e-02
85,-2.275852e+02,4.956561e-01,2.028292e-02
86,-2.278965e+02,4.891938e-01,2.028292e-02
87,-2.282055e+02,4.827330e-01,2.028292e-02
88,-2.285084e+02,4.762736e-01,2.028292e-02
89,-2.288024e+02,4.698157e-01,2.028292e-02
90,-2.290911e+02,4.633591e-01,2.028292e-02
91,-2.293720e+02,4.569040e-01,2.028292e-02
92,-2.296499e+02,4.504504e-01,2.028292e-02
93,-2.299222e+02,4.439981e-01,2.028292e-02
94,-2.301912e+02,4.375473e-01,2.028292e-02
95,-2.304587e+02,4.333469e-01,2.028292e-02
96,-2.307234e+02,4.296049e-01,2.028292e-02
97,-2.309854e+02,4.258610e-01,2.028292e-02
98,-2.312451e+02,4.221152e-01,2.028292e-02
99,-2.315016e+02,4.183676e-01,2.028292e-02
100,-2.317556e+02,4.146181e-01,2.028292e-02
106,-2.550823e+02,3.920819e-01,5.684342e-14
