iter,average value,advantage gap,greedy advantage gap
1,-2.521677e-01,3.746936e+00,7.189126e-02
2,-5.161568e+01,3.072790e+00,7.189126e-02
3,-8.415151e+01,2.628083e+00,7.189126e-02
4,-1.034564e+02,2.393053e+00,7.189126e-02
5,-1.165465e+02,2.223772e+00,7.189126e-02
6,-1.264020e+02,2.102516e+00,7.189126e-02
7,-1.342983e+02,2.008047e+00,4.337953e-02
8,-1.408420e+02,1.922819e+00,4.337953e-02
9,-1.463871e+02,1.847281e+00,4.337953e-02
10,-1.511968e+02,1.778911e+00,4.337953e-02
11,-1.554144e+02,1.720221e+00,4.337953e-02
12,-1.591651e+02,1.671049e+00,4.337953e-02
13,-1.625673e+02,1.625193e+00,4.337953e-02
14,-1.656410e+02,1.580604e+00,4.337953e-02
15,-1.684295e+02,1.544484e+00,4.337953e-02
16,-1.710029e+02,1.511653e+00,4.337953e-02
17,-1.733851e+02,1.482078e+00,4.337953e-02
18,-1.755974e+02,1.453341e+00,4.337953e-02
19,-1.776590e+02,1.425590e+00,4.337953e-02
20,-1.795842e+02,1.398448e+00,4.337953e-02
21,-1.813805e+02,1.371872e+00,4.337953e-02
22,-1.830947e+02,1.346165e+00,4.337953e-02
23,-1.847244e+02,1.320705e+00,4.337953e-02
24,-1.862620e+02,1.296579e+00,4.337953e-02
25,-1.877217e+02,1.272705e+00,4.337953e-02
26,-1.890899e+02,1.249330e+00,4.337953e-02
27,-1.903855e+02,1.226436e+00,4.337953e-02
28,-1.916379e+02,1.203522e+00,4.337953e-02
29,-1.928396e+02,1.180580e+00,4.337953e-02
30,-1.939785e+02,1.157609e+00,4.337953e-02
31,-1.950748e+02,1.134612e+00,4.337953e-02
32,-1.961304e+02,1.111868e+00,4.337953e-02
33,-1.971439e+02,1.089393e+00,4.337953e-02
34,-1.981241e+02,1.066897e+00,4.337953e-02
35,-1.990766e+02,1.044386e+00,4.337953e-02
36,-1.999993e+02,1.022158e+00,4.337953e-02
37,-2.008885e+02,1.000200e+00,4.337953e-02
38,-2.017389e+02,9.783967e-01,4.337953e-02
39,-2.025661e+02,9.569161e-01,4.337953e-02
40,-2.033611e+02,9.354027e-01,4.337953e-02
41,-2.041351e+02,9.138564e-01,4.337953e-02
42,-2.048842e+02,8.927040e-01,4.337953e-02
43,-2.056019e+02,8.719017e-01,4.337953e-02
44,-2.062994e+02,8.512917e-01,4.337953e-02
45,-2.069750e+02,8.310692e-01,2.761958e-02
46,-2.076320e+02,8.121505e-01,2.761958e-02
47,-2.082695e+02,7.940582e-01,2.761958e-02
48,-2.088880e+02,7.759474e-01,2.761958e-02
49,-2.094914e+02,7.578180e-01,2.761958e-02
50,-2.100769e+02,7.396700e-01,2.761958e-02
51,-2.106468e+02,7.299263e-01,2.761958e-02
52,-2.112016e+02,7.212484e-01,2.761958e-02
53,-2.117392e+02,7.125744e-01,2.761958e-02
54,-2.122639e+02,7.039044e-01,2.761958e-02
55,-2.127773e+02,6.952386e-01,2.761958e-02
56,-2.132728e+02,6.865771e-01,2.761958e-02
57,-2.137540e+02,6.779198e-01,2.761958e-02
58,-2.142242e+02,6.692667e-01,2.761958e-02
59,-2.146895e+02,6.606085e-01,2.761958e-02
60,-2.151468e+02,6.519439e-01,2.761958e-02
61,-2.155923e+02,6.432843e-01,2.761958e-02
62,-2.160301e+02,6.346298e-01,2.761958e-02
63,-2.164536e+02,6.259805e-01,2.761958e-02
64,-2.168670e+02,6.173362e-01,2.761958e-02
65,-2.172743e+02,6.086970e-01,2.761958e-02
66,-2.176703e+02,6.000627e-01,2.761958e-02
67,-2.180568e+02,5.914332e-01,2.761958e-02
68,-2.184343e+02,5.828084e-01,2.761958e-02
69,-2.187963e+02,5.741885e-01,2.761958e-02
70,-2.191520e+02,5.655737e-01,2.761958e-02
71,-2.195013e+02,5.569640e-01,2.761958e-02
72,-2.198453e+02,5.483471e-01,2.761958e-02
73,-2.201841e+02,5.397323e-01,2.761958e-02
74,-2.205193e+02,5.311231e-01,2.761958e-02
75,-2.208481e+02,5.225198e-01,2.761958e-02
76,-2.211706e+02,5.139223e-01,2.761958e-02
77,-2.214815e+02,5.053306e-01,2.761958e-02
78,-2.217894e+02,4.967448e-01,2.761958e-02
79,-2.220877e+02,4.882884e-01,2.761958e-02
80,-2.223768e+02,4.801520e-01,2.761958e-02
81,-2.226598e+02,4.720085e-01,2.761958e-02
82,-2.229407e+02,4.638703e-01,2.761958e-02
83,-2.232174e+02,4.557381e-01,2.761958e-02
84,-2.234898e+02,4.476803e-01,2.761958e-02
85,-2.237569e+02,4.400354e-01,2.761958e-02
86,-2.240174e+02,4.323951e-01,2.761958e-02
87,-2.242749e+02,4.247594e-01,2.761958e-02
88,-2.245290e+02,4.173718e-01,2.761958e-02
89,-2.247796e+02,4.103348e-01,2.761958e-02
90,-2.250242e+02,4.062462e-01,2.761958e-02
91,-2.252663e+02,4.026868e-01,2.761958e-02
92,-2.255018e+02,3.991274e-01,2.761958e-02
93,-2.257310e+02,3.955681e-01,2.761958e-02
94,-2.259559e+02,3.920096e-01,2.761958e-02
95,-2.261791e+02,3.884513e-01,2.761958e-02
96,-2.263991e+02,3.848931e-01,2.761958e-02
97,-2.266168e+02,3.813350e-01,2.761958e-02
98,-2.268297e+02,3.777769e-01,2.761958e-02
99,-2.270417e+02,3.742189e-01,2.761958e-02
100,-2.272496e+02,3.706610e-01,2.761958e-02
110,-2.291969e+02,3.378675e-01,5.193727e-03
120,-2.309485e+02,3.127293e-01,5.193727e-03
130,-2.325402e+02,2.887544e-01,5.193727e-03
140,-2.339474e+02,2.668724e-01,5.193727e-03
150,-2.351634e+02,2.465124e-01,5.193727e-03
160,-2.362295e+02,2.311367e-01,5.193727e-03
170,-2.371791e+02,2.157744e-01,5.193727e-03
180,-2.380140e+02,2.004175e-01,5.193727e-03
190,-2.387629e+02,1.850658e-01,5.193727e-03
200,-2.394245e+02,1.704374e-01,5.193727e-03
210,-2.400482e+02,1.612298e-01,5.193727e-03
220,-2.406227e+02,1.550284e-01,5.193727e-03
230,-2.411279e+02,1.493620e-01,5.193727e-03
240,-2.415443e+02,1.445445e-01,5.193727e-03
250,-2.419433e+02,1.401293e-01,5.193727e-03
260,-2.423277e+02,1.357145e-01,5.193727e-03
270,-2.426874e+02,1.313003e-01,5.193727e-03
280,-2.430188e+02,1.269045e-01,5.193727e-03
290,-2.433208e+02,1.225123e-01,5.193727e-03
300,-2.436095e+02,1.181173e-01,4.798750e-03
310,-2.438890e+02,1.137195e-01,4.798750e-03
320,-2.441293e+02,1.093190e-01,4.798750e-03
330,-2.443580e+02,1.049157e-01,4.798750e-03
340,-2.445601e+02,1.005097e-01,4.798750e-03
350,-2.447495e+02,9.653294e-02,4.798750e-03
360,-2.449188e+02,9.291095e-02,4.798750e-03
370,-2.450858e+02,8.928778e-02,4.798750e-03
380,-2.452517e+02,8.650446e-02,4.798750e-03
390,-2.454143e+02,8.397958e-02,4.798750e-03
400,-2.455701e+02,8.145969e-02,4.798750e-03
401,-2.489749e+02,8.120797e-02,5.684342e-14
