iter,average value,advantage gap
1,3.943987e+02,1.478604e+01
2,8.878280e+01,2.983577e+01
3,8.801145e+01,3.007104e+01
4,8.651095e+01,3.087475e+01
5,8.398932e+01,3.264167e+01
6,7.958142e+01,3.612195e+01
7,6.885716e+01,4.601005e+01
8,6.400589e+01,4.818730e+01
9,6.034734e+01,4.915790e+01
10,5.722192e+01,5.021802e+01
11,5.190359e+01,5.392017e+01
12,3.884012e+01,6.540848e+01
13,1.878041e+01,8.334557e+01
14,-4.383546e+00,1.037425e+02
15,-3.654087e+01,1.320325e+02
16,-7.335445e+01,8.526513e-14
16,-7.335445e+01,8.526513e-14
