iter,average value,advantage gap
1,3.972754e+02,2.385365e+01
2,-3.030332e+02,9.885071e+02
3,-3.148361e+02,9.786220e+02
4,-3.421205e+02,9.688358e+02
5,-3.843840e+02,9.591474e+02
6,-4.450284e+02,9.495559e+02
7,-5.182288e+02,9.400604e+02
8,-5.924940e+02,9.544430e+02
9,-6.683239e+02,9.758046e+02
10,-7.642547e+02,1.025306e+03
11,-8.879296e+02,1.096107e+03
12,-1.085382e+03,1.226643e+03
13,-1.234544e+03,1.298727e+03
14,-1.370764e+03,1.379923e+03
15,-1.491246e+03,1.457890e+03
16,-1.612418e+03,2.501110e-12
17,-1.612418e+03,2.501110e-12
18,-1.612418e+03,2.501110e-12
19,-1.612418e+03,2.501110e-12
20,-1.612418e+03,2.501110e-12
20,-1.612418e+03,2.501110e-12
