iter,average value,advantage gap,greedy advantage gap
1,1.411514e+02,1.968117e+01,9.149635e+00
2,1.391441e+02,1.831254e+01,9.155408e+00
3,1.354853e+02,1.596377e+01,1.056133e+01
4,1.293404e+02,1.243999e+01,1.089180e+01
5,1.203515e+02,9.864306e+00,1.113351e+01
6,1.096801e+02,6.637093e+00,1.110589e+01
7,1.006916e+02,3.366382e+00,1.245289e+01
8,9.878845e+01,3.318188e+00,3.381220e+00
9,9.642090e+01,2.385726e+00,2.340825e+00
10,8.748063e+01,2.951437e+00,8.277541e-01
11,6.041600e+01,1.945575e+00,8.362580e-01
12,4.589286e+01,3.609969e-01,1.288577e-01
13,4.431843e+01,2.394844e-01,3.584203e-02
14,4.398999e+01,7.709036e-02,3.425836e-02
15,4.375168e+01,7.013080e-02,6.361977e-03
16,4.360813e+01,4.459565e-02,8.625192e-03
17,4.356262e+01,1.258583e-02,6.396712e-03
18,4.354576e+01,5.417575e-03,3.825807e-04
19,4.352992e+01,2.516013e-03,7.169863e-04
20,4.352322e+01,1.103233e-03,6.147059e-05
21,4.352014e+01,7.910018e-04,4.188536e-05
22,4.351994e+01,3.639527e-04,4.008579e-05
23,4.351981e+01,1.204790e-04,2.414176e-06
24,4.351975e+01,4.587427e-05,2.814726e-06
25,4.351968e+01,2.101653e-05,4.859451e-06
26,4.351965e+01,1.246855e-05,2.814726e-06
27,4.351962e+01,5.300832e-06,2.842171e-14
27,4.351962e+01,5.300832e-06,2.842171e-14
