iter,average value,advantage gap,greedy advantage gap
1,1.444229e+02,9.368531e+00,9.870432e+00
2,1.405498e+02,8.965857e+00,1.024963e+01
3,1.338401e+02,8.183585e+00,1.006041e+01
4,1.235612e+02,6.712399e+00,1.228272e+01
5,1.107470e+02,4.911882e+00,1.324188e+01
6,1.002374e+02,2.738638e+00,1.821235e+01
7,9.773976e+01,1.759567e+00,3.411635e+00
8,9.390287e+01,3.342813e+00,1.310250e+00
9,8.102784e+01,4.430303e+00,1.096375e+00
10,5.352216e+01,1.776982e+00,6.444586e-01
11,3.979890e+01,6.834762e-01,1.443627e-01
12,3.897403e+01,1.223102e-01,4.568677e-02
13,3.849976e+01,8.388729e-02,4.571184e-02
14,3.816493e+01,6.649712e-02,1.783631e-02
15,3.808193e+01,8.641900e-02,1.785665e-03
16,3.804088e+01,8.644963e-03,1.719636e-03
17,3.801669e+01,3.897532e-03,1.305822e-03
18,3.801005e+01,2.124359e-03,5.100772e-04
19,3.800431e+01,9.351711e-04,5.090733e-04
20,3.800085e+01,4.420693e-04,5.410289e-05
21,3.800044e+01,2.839001e-04,5.410289e-05
22,3.800023e+01,1.088242e-04,5.410289e-05
23,3.800005e+01,6.794999e-05,4.263256e-14
23,3.799997e+01,6.794999e-05,4.263256e-14
