iter,average value,advantage gap,greedy advantage gap
1,1.429936e+02,1.697077e+01,9.411798e+00
2,1.408073e+02,1.571336e+01,9.411887e+00
3,1.367810e+02,1.348481e+01,9.412013e+00
4,1.299403e+02,9.971951e+00,9.412409e+00
5,1.199560e+02,8.108243e+00,9.471874e+00
6,1.086751e+02,5.775435e+00,9.923221e+00
7,1.010916e+02,2.918912e+00,1.879643e+01
8,9.978225e+01,2.227770e+00,2.495529e+01
9,9.738172e+01,1.853232e+00,4.404197e+00
10,8.911047e+01,3.447825e+00,8.363449e-01
11,6.509112e+01,1.926757e+00,1.034413e+00
12,5.117409e+01,4.908597e-01,1.476506e-01
13,4.976511e+01,1.711234e-01,4.286126e-02
14,4.950773e+01,8.573266e-02,4.286899e-02
15,4.938543e+01,8.320997e-02,2.650598e-03
16,4.933612e+01,1.064528e-02,2.528517e-03
17,4.930814e+01,6.833739e-03,9.278018e-04
18,4.928791e+01,4.067777e-03,9.629084e-04
19,4.927313e+01,2.092893e-03,4.212647e-04
20,4.926871e+01,1.238832e-03,2.169877e-04
21,4.926616e+01,4.998444e-04,6.756810e-05
22,4.926541e+01,3.198511e-04,6.756810e-05
23,4.926525e+01,2.196061e-04,6.756810e-05
24,4.926510e+01,4.286907e-05,6.583100e-06
25,4.926501e+01,1.981789e-05,6.583100e-06
26,4.926495e+01,4.355304e-06,7.105427e-14
26,4.926495e+01,4.355304e-06,7.105427e-14
