iter,average value,advantage gap,greedy advantage gap
1,1.421111e+03,1.207922e+01,9.822207e+00
2,1.416971e+03,1.206092e+01,9.822207e+00
3,1.408862e+03,1.201963e+01,9.822163e+00
4,1.393300e+03,1.192008e+01,9.822191e+00
5,1.364559e+03,1.166538e+01,9.927315e+00
6,1.314990e+03,1.101084e+01,9.926915e+00
7,1.238546e+03,9.499559e+00,1.012740e+01
8,1.139219e+03,6.816698e+00,1.013484e+01
9,1.042767e+03,4.686842e+00,1.042897e+01
10,1.001761e+03,4.087215e+00,9.353690e+01
11,9.925177e+02,2.431103e+00,1.302183e+00
12,9.461565e+02,2.406972e+00,3.434854e-01
13,7.454062e+02,1.429680e+00,4.001491e-01
14,5.321588e+02,6.081899e-01,3.979795e-01
15,4.489588e+02,3.665033e-01,3.745778e-02
16,4.402780e+02,1.186856e-01,3.569549e-02
17,4.374280e+02,6.828601e-02,3.345619e-02
18,4.366147e+02,4.852385e-02,3.623460e-03
19,4.364368e+02,2.541062e-02,3.798044e-02
20,4.362952e+02,2.199132e-02,3.807097e-02
21,4.360997e+02,1.809486e-02,1.222513e-04
22,4.359545e+02,1.233602e-03,1.222513e-04
23,4.359101e+02,9.281091e-04,8.990087e-05
24,4.359006e+02,2.678746e-04,1.479329e-05
25,4.358994e+02,5.240775e-05,1.479329e-05
26,4.358983e+02,4.203043e-05,1.479329e-05
27,4.358967e+02,2.310213e-05,2.232340e-06
28,4.358955e+02,9.795490e-06,2.232340e-06
29,4.358952e+02,6.087656e-06,3.410605e-13
29,4.358949e+02,6.087656e-06,3.410605e-13
