iter,average value,advantage gap,greedy advantage gap
1,1.401995e+03,2.394630e+01,1.142964e+01
2,1.399493e+03,2.375311e+01,1.143137e+01
3,1.394542e+03,2.337408e+01,1.162569e+01
4,1.384858e+03,2.264438e+01,1.162590e+01
5,1.366311e+03,2.129004e+01,1.171767e+01
6,1.332207e+03,1.894417e+01,1.190340e+01
7,1.273982e+03,1.535168e+01,1.179435e+01
8,1.186692e+03,1.196355e+01,1.167970e+01
9,1.085158e+03,8.799829e+00,1.175940e+01
10,1.017238e+03,5.088557e+00,1.316728e+01
11,1.000000e+03,3.464560e+00,3.389685e+01
12,9.953941e+02,6.401561e+00,4.423637e+00
13,9.683184e+02,6.935979e+00,8.888829e+00
14,7.765826e+02,2.805303e+00,8.454228e-01
15,4.964502e+02,1.084951e+00,7.966331e-01
16,4.087381e+02,5.505697e-01,1.338217e-01
17,4.045776e+02,1.088403e-01,1.337749e-01
18,4.018204e+02,1.130338e-01,4.086875e-02
19,3.997597e+02,9.979875e-02,9.350614e-03
20,3.987322e+02,5.547800e-02,1.059359e-02
21,3.984244e+02,1.038513e-02,6.963024e-03
22,3.982398e+02,5.687934e-03,7.313752e-04
23,3.981146e+02,5.405592e-03,3.228985e-04
24,3.980539e+02,9.283358e-04,4.347128e-05
25,3.980421e+02,6.589811e-04,1.926632e-04
26,3.980403e+02,2.560467e-04,4.218656e-05
27,3.980393e+02,8.977701e-05,3.077174e-06
28,3.980386e+02,4.067321e-05,5.304889e-06
29,3.980380e+02,1.949473e-05,3.077174e-06
30,3.980376e+02,6.504678e-06,2.577915e-06
31,3.980375e+02,5.168775e-06,2.842171e-13
31,3.980375e+02,5.168775e-06,2.842171e-13
