iter,average value,advantage gap
1,1.463143e+03,1.417028e+01
2,1.000488e+03,9.803386e+00
3,9.749023e+02,3.275033e+01
4,9.020361e+02,9.813625e+01
5,3.001294e+02,8.491537e+00
6,2.677335e+02,8.229943e+00
7,2.562123e+02,1.755566e+00
8,2.534992e+02,1.490010e+00
9,2.528875e+02,6.461502e-02
10,2.528565e+02,6.128701e-02
11,2.528057e+02,2.273737e-13
11,2.528057e+02,2.273737e-13
