iter,average value,advantage gap,greedy advantage gap
1,1.423706e+01,9.044016e+00,7.045879e+00
2,1.038720e+01,3.383192e+00,4.424239e+00
3,1.018018e+01,2.639069e+00,1.406691e+00
4,1.005508e+01,2.348632e+00,1.415943e+00
5,9.935686e+00,1.738071e+00,1.419913e+00
6,9.820648e+00,1.452219e+00,1.418687e+00
7,9.705754e+00,1.367330e+00,1.418535e+00
8,9.596038e+00,1.296907e+00,1.418099e+00
9,9.490266e+00,1.249513e+00,1.418011e+00
10,9.387442e+00,1.062731e+00,1.417702e+00
11,9.287920e+00,9.911683e-01,1.418629e+00
12,9.193711e+00,8.905328e-01,1.420299e+00
13,9.102557e+00,7.562016e-01,1.420494e+00
14,9.016128e+00,7.029573e-01,1.424989e+00
15,8.934748e+00,6.366496e-01,1.425045e+00
16,8.858107e+00,5.669221e-01,1.002139e+00
17,8.783931e+00,5.320561e-01,9.222157e-01
18,8.712809e+00,4.846468e-01,9.234731e-01
19,8.644689e+00,4.519104e-01,9.281114e-01
20,8.579920e+00,4.232591e-01,9.038238e-01
21,8.520135e+00,3.874655e-01,8.125123e-01
22,8.463615e+00,3.635631e-01,8.020027e-01
23,8.409848e+00,3.430063e-01,8.021888e-01
24,8.360147e+00,3.200761e-01,8.024274e-01
25,8.313827e+00,2.951581e-01,8.027966e-01
26,8.270683e+00,2.722879e-01,5.890086e-01
27,8.230344e+00,2.584868e-01,5.753232e-01
28,8.192062e+00,2.452587e-01,5.339080e-01
29,8.156435e+00,2.416688e-01,4.594823e-01
30,8.122629e+00,2.457332e-01,4.604830e-01
31,8.090332e+00,2.490429e-01,4.605947e-01
32,8.060500e+00,2.497240e-01,3.637868e-01
33,8.033715e+00,2.480599e-01,2.053653e-01
34,8.008052e+00,2.441007e-01,2.053655e-01
35,7.983589e+00,2.379746e-01,2.053649e-01
36,7.960711e+00,2.492194e-01,2.053649e-01
37,7.939826e+00,2.634590e-01,2.053649e-01
38,7.920217e+00,2.753050e-01,2.053649e-01
39,7.901349e+00,2.848087e-01,2.053649e-01
40,7.883480e+00,2.924471e-01,1.195287e-01
41,7.866911e+00,2.983813e-01,1.195273e-01
42,7.852049e+00,3.017320e-01,1.195041e-01
43,7.800452e+00,2.958337e-01,1.131785e-01
44,7.760522e+00,2.599650e-01,1.131765e-01
45,7.727885e+00,2.173722e-01,1.131765e-01
46,7.701493e+00,1.738722e-01,1.131765e-01
47,7.680981e+00,1.706709e-01,1.131781e-01
48,7.663485e+00,1.688244e-01,1.131781e-01
49,7.648900e+00,1.632869e-01,6.875052e-02
50,7.635985e+00,1.550197e-01,6.875052e-02
51,7.625124e+00,1.440177e-01,6.875050e-02
52,7.615453e+00,1.332981e-01,6.874934e-02
53,7.606583e+00,1.224689e-01,6.875325e-02
54,7.598779e+00,1.097277e-01,6.875325e-02
55,7.591702e+00,1.009023e-01,6.875301e-02
56,7.585325e+00,9.740802e-02,6.798030e-02
57,7.579654e+00,9.327574e-02,6.798030e-02
58,7.574462e+00,8.862678e-02,6.798028e-02
59,7.569835e+00,8.316008e-02,6.376727e-02
60,7.565523e+00,7.761713e-02,6.376726e-02
61,7.561612e+00,7.224022e-02,6.374205e-02
62,7.558140e+00,6.784909e-02,6.374205e-02
63,7.555144e+00,6.523599e-02,6.374203e-02
64,7.552477e+00,6.225340e-02,1.858064e-02
65,7.549994e+00,5.946476e-02,1.858065e-02
66,7.547802e+00,5.690683e-02,1.858063e-02
67,7.545701e+00,5.444213e-02,1.858063e-02
68,7.543869e+00,5.203042e-02,1.858102e-02
69,7.542181e+00,4.940463e-02,1.858103e-02
70,7.540647e+00,4.697256e-02,1.858103e-02
71,7.539231e+00,4.468318e-02,1.858103e-02
72,7.537878e+00,4.253372e-02,1.858134e-02
73,7.536610e+00,4.047618e-02,1.072155e-02
74,7.535577e+00,3.848555e-02,1.072155e-02
75,7.534619e+00,3.666691e-02,1.072154e-02
76,7.533728e+00,3.493014e-02,1.072154e-02
77,7.532942e+00,3.328597e-02,1.072151e-02
78,7.532224e+00,3.168526e-02,1.072151e-02
79,7.531544e+00,3.011874e-02,1.072151e-02
80,7.530910e+00,2.859107e-02,1.072150e-02
81,7.530313e+00,2.709255e-02,1.072150e-02
82,7.529770e+00,2.611356e-02,1.072155e-02
83,7.529282e+00,2.578244e-02,1.072155e-02
84,7.527768e+00,2.476197e-02,1.072176e-02
85,7.526719e+00,2.372361e-02,9.255615e-03
86,7.525893e+00,2.270488e-02,3.318335e-03
87,7.525270e+00,2.168368e-02,3.318335e-03
88,7.524803e+00,2.067634e-02,3.363900e-03
89,7.524476e+00,1.968435e-02,3.363915e-03
90,7.524256e+00,1.870981e-02,3.363912e-03
91,7.524062e+00,1.775297e-02,3.363916e-03
92,7.523880e+00,1.681480e-02,3.363915e-03
93,7.523709e+00,1.589651e-02,3.318349e-03
94,7.523559e+00,1.500249e-02,3.318326e-03
95,7.523430e+00,1.413541e-02,3.318326e-03
96,7.523313e+00,1.328883e-02,3.318326e-03
97,7.523201e+00,1.246312e-02,3.318326e-03
98,7.523095e+00,1.165861e-02,3.318326e-03
99,7.522991e+00,1.087568e-02,3.318326e-03
100,7.522888e+00,1.011464e-02,3.318326e-03
110,7.521973e+00,4.788403e-03,3.318326e-03
120,7.521302e+00,4.155421e-03,3.302114e-03
130,7.520093e+00,2.972942e-03,1.485119e-03
140,7.519414e+00,2.474331e-03,9.969585e-04
150,7.518971e+00,2.410460e-03,1.004661e-03
160,7.518625e+00,2.295317e-03,1.004553e-03
170,7.518195e+00,1.792468e-03,3.028603e-04
180,7.517880e+00,1.349995e-03,7.972646e-05
190,7.517717e+00,6.377013e-04,1.622142e-05
200,7.517619e+00,5.707404e-04,4.427662e-06
210,7.517582e+00,4.413201e-04,4.426126e-06
