iter,average value,advantage gap,greedy advantage gap
1,1.433459e+01,8.021829e+00,6.209392e+00
2,1.023920e+01,3.028921e+00,4.077125e+00
3,9.981515e+00,2.036045e+00,4.019703e+00
4,9.713500e+00,1.702638e+00,2.426281e+00
5,9.445306e+00,1.455150e+00,2.339572e+00
6,9.202803e+00,1.415360e+00,2.187382e+00
7,8.990660e+00,1.236569e+00,1.730007e+00
8,8.803868e+00,1.136354e+00,1.927706e+00
9,8.634871e+00,1.049895e+00,1.671273e+00
10,8.478945e+00,9.198314e-01,1.221979e+00
11,8.344156e+00,9.167569e-01,1.076017e+00
12,8.218735e+00,8.537424e-01,9.821437e-01
13,8.105966e+00,7.423365e-01,8.027319e-01
14,8.002206e+00,6.970841e-01,8.176027e-01
15,7.909457e+00,7.411734e-01,6.404723e-01
16,7.826553e+00,7.689603e-01,5.380420e-01
17,7.747284e+00,7.372280e-01,4.316327e-01
18,7.672288e+00,6.741854e-01,3.009523e-01
19,7.606311e+00,5.867379e-01,3.228766e-01
20,7.543781e+00,6.008892e-01,3.236010e-01
21,7.486181e+00,5.966120e-01,3.236057e-01
22,7.434882e+00,5.652213e-01,3.262711e-01
23,7.385791e+00,5.169954e-01,3.191449e-01
24,7.338734e+00,4.801948e-01,3.201404e-01
25,7.295908e+00,4.637873e-01,3.202688e-01
26,7.254970e+00,4.447189e-01,3.202759e-01
27,7.217099e+00,4.394896e-01,3.204393e-01
28,7.181595e+00,4.246988e-01,3.205808e-01
29,7.148095e+00,4.041608e-01,3.205746e-01
30,7.116074e+00,4.062303e-01,3.205932e-01
31,7.085297e+00,4.085131e-01,3.205371e-01
32,7.056000e+00,4.058539e-01,3.205368e-01
33,7.028278e+00,3.976000e-01,3.205070e-01
34,7.004054e+00,3.856684e-01,3.205028e-01
35,6.981812e+00,3.737808e-01,3.205028e-01
36,6.961475e+00,3.592709e-01,3.208149e-01
37,6.943506e+00,3.421128e-01,3.208149e-01
38,6.927773e+00,3.197114e-01,1.207297e-01
39,6.912899e+00,2.974453e-01,1.207298e-01
40,6.899179e+00,2.756085e-01,1.207299e-01
41,6.886595e+00,2.548274e-01,1.207299e-01
42,6.874769e+00,2.424844e-01,1.207299e-01
43,6.835503e+00,2.136823e-01,9.115695e-02
44,6.804721e+00,1.785892e-01,9.174811e-02
45,6.782230e+00,1.512461e-01,9.181647e-02
46,6.764466e+00,1.326347e-01,2.988140e-02
47,6.751406e+00,1.165629e-01,3.498704e-02
48,6.741170e+00,1.036840e-01,3.498633e-02
49,6.733303e+00,8.959795e-02,3.494501e-02
50,6.726616e+00,8.464088e-02,3.494498e-02
51,6.720889e+00,7.915832e-02,3.494442e-02
52,6.715826e+00,7.446278e-02,3.494451e-02
53,6.711352e+00,6.945441e-02,3.494502e-02
54,6.707399e+00,6.462290e-02,3.494502e-02
55,6.703802e+00,5.994504e-02,2.704542e-02
56,6.700324e+00,5.830799e-02,2.704546e-02
57,6.697005e+00,5.788293e-02,2.704547e-02
58,6.693795e+00,5.735529e-02,2.704611e-02
59,6.690714e+00,5.736324e-02,2.685719e-02
60,6.687771e+00,5.668371e-02,2.685722e-02
61,6.684898e+00,5.590688e-02,2.685738e-02
62,6.682193e+00,5.505681e-02,1.487842e-02
63,6.679766e+00,5.343294e-02,1.487842e-02
64,6.677595e+00,5.124432e-02,1.487867e-02
65,6.675622e+00,4.923769e-02,1.487896e-02
66,6.673826e+00,4.710806e-02,1.487936e-02
67,6.672200e+00,4.483067e-02,1.487986e-02
68,6.670581e+00,4.244660e-02,1.487984e-02
69,6.669043e+00,3.994597e-02,1.487984e-02
70,6.667584e+00,3.756853e-02,1.487984e-02
71,6.666278e+00,3.719906e-02,1.487984e-02
72,6.665216e+00,3.665469e-02,1.488014e-02
73,6.664292e+00,3.610166e-02,1.488016e-02
74,6.663420e+00,3.554501e-02,1.488015e-02
75,6.662691e+00,3.477760e-02,1.488018e-02
76,6.662003e+00,3.398641e-02,1.488018e-02
77,6.661337e+00,3.319449e-02,1.488010e-02
78,6.660711e+00,3.240924e-02,1.488012e-02
79,6.660108e+00,3.161855e-02,1.488039e-02
80,6.659506e+00,3.081982e-02,4.142394e-03
81,6.658952e+00,2.998995e-02,4.142391e-03
82,6.658462e+00,2.911824e-02,4.142391e-03
