iter,average value,advantage gap,greedy advantage gap
1,1.422716e+01,1.083342e+01,3.888871e+00
2,1.045286e+01,3.622396e+00,5.385669e+00
3,1.015965e+01,2.388383e+00,4.195343e+00
4,9.985270e+00,2.337120e+00,3.453682e+00
5,9.816665e+00,1.807002e+00,2.916211e+00
6,9.660979e+00,1.597377e+00,2.308548e+00
7,9.521965e+00,1.469442e+00,2.253484e+00
8,9.394142e+00,1.290364e+00,1.881457e+00
9,9.280744e+00,1.227663e+00,1.888958e+00
10,9.180114e+00,1.046059e+00,1.877201e+00
11,9.081459e+00,1.010335e+00,1.877875e+00
12,8.987697e+00,9.180220e-01,1.876514e+00
13,8.899299e+00,9.187652e-01,1.552797e+00
14,8.817854e+00,8.999760e-01,1.557229e+00
15,8.739007e+00,8.444689e-01,1.557523e+00
16,8.663226e+00,7.784448e-01,1.557790e+00
17,8.591044e+00,7.553808e-01,1.562202e+00
18,8.521967e+00,7.322161e-01,1.573154e+00
19,8.456670e+00,6.928954e-01,1.576663e+00
20,8.393003e+00,6.766894e-01,1.327363e+00
21,8.331004e+00,6.477194e-01,1.327657e+00
22,8.269949e+00,6.091967e-01,1.105157e+00
23,8.212161e+00,5.655775e-01,3.547997e-01
24,8.156442e+00,5.188831e-01,3.555206e-01
25,8.103783e+00,4.780765e-01,3.555206e-01
26,8.053088e+00,4.743964e-01,3.240346e-01
27,8.004806e+00,4.790001e-01,3.240401e-01
28,7.957952e+00,4.786128e-01,3.242587e-01
29,7.913674e+00,4.686119e-01,3.242354e-01
30,7.870994e+00,4.490878e-01,1.684046e-01
31,7.830260e+00,4.268893e-01,1.673725e-01
32,7.791571e+00,4.031922e-01,1.673908e-01
33,7.754331e+00,3.789461e-01,1.766812e-01
34,7.719028e+00,3.683957e-01,1.766816e-01
35,7.686151e+00,3.699210e-01,1.766735e-01
36,7.656000e+00,3.694245e-01,1.756802e-01
37,7.627289e+00,3.675434e-01,1.756813e-01
38,7.600101e+00,3.642940e-01,1.757080e-01
39,7.575450e+00,3.607947e-01,1.736426e-01
40,7.551848e+00,3.562124e-01,1.747123e-01
41,7.529545e+00,3.508037e-01,1.748602e-01
42,7.508642e+00,3.452925e-01,1.748611e-01
