iter,average value,advantage gap,greedy advantage gap
1,1.424086e+01,8.362745e+00,7.134733e+00
2,1.026639e+01,3.365875e+00,3.894211e+00
3,1.002075e+01,3.076912e+00,3.893639e+00
4,9.739077e+00,2.679728e+00,3.106494e+00
5,9.422116e+00,1.898823e+00,2.409386e+00
6,9.095457e+00,1.606027e+00,2.192314e+00
7,8.775137e+00,1.254087e+00,1.825502e+00
8,8.467419e+00,1.038151e+00,1.712636e+00
9,8.179601e+00,1.072760e+00,1.693768e+00
10,7.916313e+00,1.014046e+00,1.488264e+00
11,7.672685e+00,8.792103e-01,4.540684e-01
12,7.451599e+00,7.820194e-01,6.147053e-01
13,7.258051e+00,7.188163e-01,3.931707e-01
14,7.087962e+00,6.676883e-01,3.893278e-01
15,6.936592e+00,6.166053e-01,3.176989e-01
16,6.803865e+00,5.733116e-01,3.177145e-01
17,6.686311e+00,5.223598e-01,3.178637e-01
18,6.583890e+00,5.064676e-01,3.178698e-01
19,6.494412e+00,4.879913e-01,3.003043e-01
20,6.414129e+00,4.841131e-01,3.002927e-01
21,6.342727e+00,4.687273e-01,2.986619e-01
22,6.281101e+00,4.656781e-01,2.986608e-01
23,6.226540e+00,4.678170e-01,3.016605e-01
24,6.176973e+00,4.595434e-01,3.017406e-01
25,6.134739e+00,4.476343e-01,3.017443e-01
26,6.097260e+00,4.310104e-01,3.017742e-01
27,6.063458e+00,4.107982e-01,3.025109e-01
28,6.034808e+00,3.856746e-01,1.164363e-01
29,6.010915e+00,3.550700e-01,1.164363e-01
30,5.989655e+00,3.262008e-01,1.145214e-01
31,5.969920e+00,2.992770e-01,1.145214e-01
32,5.952819e+00,2.739806e-01,1.005987e-01
33,5.937878e+00,2.508055e-01,1.005987e-01
34,5.924684e+00,2.302250e-01,9.989896e-02
35,5.913074e+00,2.179188e-01,9.986827e-02
36,5.903385e+00,2.121030e-01,9.989524e-02
37,5.894386e+00,2.063197e-01,9.989524e-02
38,5.886436e+00,2.006282e-01,9.989517e-02
39,5.879183e+00,1.950852e-01,9.989517e-02
40,5.872581e+00,1.895621e-01,1.033549e-01
41,5.866929e+00,1.871220e-01,1.033549e-01
42,5.861834e+00,1.871191e-01,1.033551e-01
43,5.844841e+00,1.932146e-01,2.745006e-02
44,5.833291e+00,1.862850e-01,2.745020e-02
45,5.825045e+00,1.620506e-01,2.745057e-02
46,5.818635e+00,1.502968e-01,2.745051e-02
47,5.813362e+00,1.409034e-01,2.745061e-02
48,5.808918e+00,1.311898e-01,2.745061e-02
49,5.804931e+00,1.211920e-01,2.745061e-02
50,5.801440e+00,1.097214e-01,2.745037e-02
51,5.798282e+00,9.605174e-02,2.745037e-02
52,5.795275e+00,8.329501e-02,2.745050e-02
53,5.792598e+00,7.164882e-02,2.745062e-02
54,5.790170e+00,6.189610e-02,2.745143e-02
55,5.787811e+00,5.228051e-02,2.430402e-02
56,5.785546e+00,4.279262e-02,2.430458e-02
57,5.783337e+00,3.913558e-02,2.430482e-02
58,5.781273e+00,3.843142e-02,2.430482e-02
59,5.779348e+00,3.773163e-02,2.430498e-02
60,5.777491e+00,3.703604e-02,2.430516e-02
61,5.775730e+00,3.634469e-02,2.430517e-02
62,5.774012e+00,3.565748e-02,2.430521e-02
63,5.772375e+00,3.497444e-02,1.563334e-02
64,5.770821e+00,3.429556e-02,1.563332e-02
65,5.769320e+00,3.362077e-02,1.563332e-02
66,5.767883e+00,3.295008e-02,1.563358e-02
67,5.766506e+00,3.228345e-02,1.563335e-02
68,5.765160e+00,3.162085e-02,1.563335e-02
69,5.763837e+00,3.096224e-02,1.563336e-02
70,5.762615e+00,3.030774e-02,1.563275e-02
71,5.761515e+00,2.965733e-02,1.563289e-02
72,5.760587e+00,2.901266e-02,1.563289e-02
73,5.759668e+00,2.837665e-02,1.563331e-02
74,5.758774e+00,2.774423e-02,1.563356e-02
75,5.757966e+00,2.711547e-02,1.563357e-02
76,5.757175e+00,2.649027e-02,1.563364e-02
77,5.756401e+00,2.586864e-02,1.563349e-02
78,5.755668e+00,2.525060e-02,1.563350e-02
79,5.755006e+00,2.463619e-02,1.563350e-02
80,5.754379e+00,2.402535e-02,1.563352e-02
81,5.753832e+00,2.341803e-02,1.563369e-02
82,5.753302e+00,2.281424e-02,1.563369e-02
83,5.752771e+00,2.221402e-02,1.563369e-02
84,5.750802e+00,1.983810e-02,1.563342e-02
85,5.749356e+00,1.751827e-02,1.157111e-02
86,5.748128e+00,1.596446e-02,6.442423e-03
87,5.747314e+00,1.449719e-02,6.439441e-03
88,5.746660e+00,1.305563e-02,6.439441e-03
89,5.746047e+00,1.292648e-02,6.439460e-03
90,5.745434e+00,1.283831e-02,6.439460e-03
91,5.744832e+00,1.270566e-02,6.076876e-03
92,5.744275e+00,1.253001e-02,6.076876e-03
93,5.743731e+00,1.231297e-02,6.076874e-03
94,5.743286e+00,1.191213e-02,6.076481e-03
95,5.742911e+00,1.120198e-02,6.076482e-03
96,5.742549e+00,1.052408e-02,6.076482e-03
97,5.742242e+00,9.926800e-03,6.073175e-03
98,5.741988e+00,9.401372e-03,6.096341e-03
99,5.741766e+00,8.978616e-03,6.096341e-03
100,5.741558e+00,8.562035e-03,6.096341e-03
110,5.740024e+00,6.191286e-03,6.085314e-03
120,5.739146e+00,5.616972e-03,1.619386e-03
130,5.738311e+00,4.102244e-03,1.619415e-03
140,5.737634e+00,2.646306e-03,5.151101e-04
150,5.737156e+00,2.425976e-03,5.151100e-04
160,5.736800e+00,2.285405e-03,5.151095e-04
170,5.736311e+00,1.159783e-03,9.002751e-05
180,5.736054e+00,7.040373e-04,9.002033e-05
190,5.735925e+00,5.622540e-04,7.342987e-05
200,5.735844e+00,4.249650e-04,7.342987e-05
210,5.735750e+00,1.445368e-04,5.843653e-05
220,5.735703e+00,1.144170e-04,1.489943e-06
230,5.735696e+00,9.637944e-05,1.489943e-06
240,5.735693e+00,7.867642e-05,1.489943e-06
250,5.735690e+00,5.261127e-05,1.489943e-06
260,5.735684e+00,2.852204e-05,4.374731e-06
270,5.735681e+00,2.441151e-05,1.489943e-06
280,5.735679e+00,2.040963e-05,1.489943e-06
290,5.735677e+00,1.423333e-05,1.489943e-06
300,5.735675e+00,7.967569e-06,1.489943e-06
310,5.735674e+00,4.383527e-06,1.489943e-06
320,5.735674e+00,2.885382e-06,1.489943e-06
330,5.735673e+00,2.332699e-06,1.489943e-06
334,5.735673e+00,2.045374e-06,1.421085e-14
